size,time
9.0,1.00000761449337e-06
18.0,9.999785106629133e-07
27.0,1.300009898841381e-06
36.0,2.0999868866056204e-06
45.0,2.900022082030773e-06
54.0,2.800021320581436e-06
63.0,3.6999990697950125e-06
72.0,4.6000059228390455e-06
81.0,5.099980626255274e-06
90.0,5.89998671784997e-06
99.0,5.5000127758830786e-06
108.0,6.100017344579101e-06
117.0,6.799993570894003e-06
126.0,7.100024959072471e-06
135.0,8.199975127354264e-06
144.0,8.90000956133008e-06
153.0,1.2400007108226418e-05
162.0,1.5700003132224083e-05
171.0,1.200000406242907e-05
180.0,1.2299977242946625e-05
189.0,1.3599987141788006e-05
198.0,1.4100020052865148e-05
207.0,1.550000160932541e-05
216.0,1.650000922381878e-05
225.0,1.8099992303177714e-05
234.0,1.8799997633323073e-05
243.0,1.9800005247816443e-05
252.0,2.1000014385208488e-05
261.0,2.1899992134422064e-05
270.0,2.340000355616212e-05
279.0,2.370000584051013e-05
288.0,2.5899993488565087e-05
297.0,2.920001861639321e-05
306.0,2.8399983420968056e-05
315.0,3.3100019209086895e-05
324.0,3.250001464039087e-05
333.0,3.309999010525644e-05
342.0,3.480000304989517e-05
351.0,3.6500015994533896e-05
360.0,3.840000135824084e-05
369.0,3.950000973418355e-05
378.0,4.0799990529194474e-05
387.0,4.290000651963055e-05
396.0,4.4100015657022595e-05
405.0,4.6200002543628216e-05
414.0,4.709998029284179e-05
423.0,4.990000161342323e-05
432.0,5.180001608096063e-05
441.0,5.299999611452222e-05
450.0,5.6200020480901e-05
459.0,5.8399979025125504e-05
468.0,5.9900019550696015e-05
477.0,6.10999995842576e-05
486.0,6.33999879937619e-05
495.0,6.480002775788307e-05
504.0,6.830002530477941e-05
513.0,6.940000457689166e-05
522.0,7.340000593103468e-05
531.0,7.599999662488699e-05
540.0,7.680000271648169e-05
549.0,7.890001870691776e-05
558.0,0.00010309999925084412
567.0,8.38999985717237e-05
576.0,8.789999992586672e-05
585.0,0.00011290001566521823
594.0,0.00011500000255182385
603.0,9.419998968951404e-05
612.0,9.57000011112541e-05
621.0,0.00010160001693293452
630.0,0.00010220002150163054
639.0,0.00010540001676417887
648.0,0.00010950001887977123
657.0,0.00011190000805072486
666.0,0.00011509997420944273
675.0,0.00011789999553002417
684.0,0.00012059998698532581
693.0,0.00012370001059025526
702.0,0.00012499999138526618
711.0,0.00012620000052265823
720.0,0.0001314000110141933
729.0,0.00013600001693703234
738.0,0.0001365999924018979
747.0,0.00014249997911974788
756.0,0.00014480002573691308
765.0,0.00014519999967887998
774.0,0.00015300000086426735
783.0,0.00015639999764971435
792.0,0.00015999999595806003
801.0,0.00016369999502785504
810.0,0.0001716000260785222
819.0,0.0001686000032350421
828.0,0.00017389998538419604
837.0,0.00017899999511428177
846.0,0.00017820001812651753
855.0,0.0001894999877549708
864.0,0.00023519998649135232
873.0,0.00023540001711808145
882.0,0.00019630001042969525
891.0,0.00020300000323913991
900.0,0.00020379998022690415
