size,time
1.0,7.599592208862305e-07
2.0,7.599592208862305e-07
3.0,8.00006091594696e-07
4.0,8.00006091594696e-07
5.0,8.00006091594696e-07
6.0,8.400529623031616e-07
7.0,8.798670023679733e-07
8.0,8.798670023679733e-07
9.0,8.800998330116272e-07
10.0,9.200302883982658e-07
11.0,9.599607437849045e-07
12.0,1.00000761449337e-06
13.0,1.0599615052342415e-06
14.0,1.0801013559103012e-06
15.0,1.119915395975113e-06
16.0,1.1600786820054054e-06
17.0,1.200009137392044e-06
18.0,1.2799864634871483e-06
19.0,1.2801028788089752e-06
20.0,1.3599637895822525e-06
21.0,1.4398247003555298e-06
22.0,1.4799879863858223e-06
23.0,1.519918441772461e-06
24.0,1.5600817278027534e-06
25.0,1.6405247151851654e-06
26.0,1.7201527953147888e-06
27.0,1.7798738554120064e-06
28.0,1.8798746168613434e-06
29.0,1.920037902891636e-06
30.0,1.9602011889219284e-06
31.0,2.0400620996952057e-06
32.0,2.120155841112137e-06
33.0,2.2400636225938797e-06
34.0,2.300017513334751e-06
35.0,2.3600878193974495e-06
36.0,2.4801120162010193e-06
37.0,2.5599729269742966e-06
38.0,2.619926817715168e-06
39.0,2.719927579164505e-06
40.0,2.819928340613842e-06
41.0,2.8798822313547134e-06
42.0,3.019929863512516e-06
43.0,3.119930624961853e-06
44.0,3.239838406443596e-06
45.0,3.2800016924738884e-06
46.0,3.3800024539232254e-06
47.0,3.4800032153725624e-06
48.0,3.5599805414676666e-06
49.0,3.6801211535930634e-06
50.0,3.720051608979702e-06
51.0,3.919936716556549e-06
52.0,4.100031219422817e-06
53.0,4.119938239455223e-06
54.0,4.21993900090456e-06
55.0,4.320056177675724e-06
56.0,4.420056939125061e-06
57.0,4.500034265220165e-06
58.0,4.740431904792786e-06
59.0,4.859874024987221e-06
60.0,4.8798974603414536e-06
61.0,4.9798982217907906e-06
62.0,5.100038833916187e-06
63.0,5.43985515832901e-06
64.0,5.440087988972664e-06
65.0,5.45999500900507e-06
66.0,5.659996531903744e-06
67.0,5.720066837966442e-06
68.0,5.779904313385487e-06
69.0,5.980371497571468e-06
70.0,6.160000339150429e-06
71.0,6.1998143792152405e-06
72.0,6.260117515921593e-06
73.0,6.480026058852673e-06
74.0,6.660004146397114e-06
75.0,6.8999361246824265e-06
76.0,7.00005330145359e-06
77.0,6.9999368861317635e-06
78.0,7.1999384090304375e-06
79.0,7.180031388998032e-06
80.0,7.480615749955177e-06
81.0,7.67991878092289e-06
82.0,7.739989086985588e-06
83.0,7.91996717453003e-06
84.0,8.039991371333599e-06
85.0,8.060014806687832e-06
86.0,8.319970220327377e-06
87.0,8.600065484642982e-06
88.0,8.719973266124725e-06
89.0,8.740462362766266e-06
90.0,8.9199747890234e-06
91.0,9.239884093403816e-06
92.0,9.199953638017178e-06
93.0,9.599840268492699e-06
94.0,9.980052709579468e-06
95.0,9.899958968162537e-06
96.0,1.0240473784506321e-05
97.0,9.97993629425764e-06
98.0,1.0240008123219013e-05
99.0,1.0399962775409222e-05
100.0,1.0499963536858559e-05
101.0,1.070008147507906e-05
102.0,1.0779942385852337e-05
103.0,1.0960036888718605e-05
104.0,1.1179945431649685e-05
105.0,1.15599250420928e-05
106.0,1.1600437574088573e-05
107.0,1.2059928849339485e-05
108.0,1.170008908957243e-05
109.0,1.2060045264661312e-05
110.0,1.221999991685152e-05
111.0,1.2500444427132607e-05
112.0,1.2640026398003101e-05
113.0,1.3039913028478622e-05
114.0,1.2799864634871483e-05
115.0,1.309998333454132e-05
116.0,1.3179960660636425e-05
117.0,1.3400102034211159e-05
118.0,1.3540033251047134e-05
119.0,1.3860058970749378e-05
120.0,1.4100456610321999e-05
121.0,1.4200573787093163e-05
122.0,1.4279969036579132e-05
123.0,1.4360528439283371e-05
124.0,1.4859950169920921e-05
125.0,1.492002047598362e-05
126.0,1.4980440028011799e-05
127.0,1.542060635983944e-05
128.0,1.5380093827843666e-05
129.0,1.5800585970282555e-05
130.0,1.5999889001250267e-05
131.0,1.604005228728056e-05
132.0,1.637998502701521e-05
133.0,1.6459962353110313e-05
134.0,1.6660080291330814e-05
135.0,1.697998959571123e-05
136.0,1.71000137925148e-05
137.0,1.7400016076862812e-05
138.0,1.755997072905302e-05
139.0,1.7559854313731194e-05
140.0,1.7821090295910835e-05
141.0,1.8159858882427216e-05
142.0,1.8279999494552612e-05
143.0,1.860060729086399e-05
144.0,1.8919934518635273e-05
145.0,1.8900493159890175e-05
146.0,1.9200029782950878e-05
147.0,1.9239960238337517e-05
148.0,1.986045390367508e-05
149.0,1.9740546122193336e-05
150.0,2.0140432752668858e-05
151.0,2.0320061594247818e-05
152.0,2.0440085791051388e-05
153.0,2.0940089598298073e-05
154.0,2.0960113033652306e-05
155.0,2.1240091882646084e-05
156.0,2.143997699022293e-05
157.0,2.144044265151024e-05
158.0,2.1799933165311813e-05
159.0,2.2020423784852028e-05
160.0,2.2239983081817627e-05
161.0,2.2360007278621197e-05
162.0,2.286047674715519e-05
163.0,2.300064079463482e-05
164.0,2.3260945454239845e-05
165.0,2.3380503989756107e-05
166.0,2.3760483600199223e-05
167.0,2.3860367946326733e-05
168.0,2.4119974114000797e-05
169.0,2.4399952962994576e-05
170.0,2.468004822731018e-05
171.0,2.486049197614193e-05
172.0,2.5180517695844173e-05
173.0,2.5540590286254883e-05
174.0,2.6459922082722187e-05
175.0,2.5900546461343765e-05
176.0,2.6399968191981316e-05
177.0,2.6540597900748253e-05
178.0,2.6600435376167297e-05
179.0,2.680043689906597e-05
180.0,2.7140486054122448e-05
181.0,2.7279951609671116e-05
182.0,2.7499976567924023e-05
183.0,2.7699978090822697e-05
184.0,2.7899863198399544e-05
185.0,2.8280424885451794e-05
186.0,2.868007868528366e-05
187.0,2.884003333747387e-05
188.0,2.9400456696748734e-05
189.0,2.9340037144720554e-05
190.0,2.9940041713416576e-05
191.0,3.0240043997764587e-05
192.0,3.0239811167120934e-05
193.0,3.042106982320547e-05
194.0,3.0900584533810616e-05
195.0,3.0880444683134556e-05
196.0,3.1240517273545265e-05
197.0,3.148044925183058e-05
198.0,3.176054451614618e-05
199.0,3.220001235604286e-05
200.0,3.224005922675133e-05
201.0,3.2660551369190216e-05
202.0,3.308092709630728e-05
203.0,3.333995118737221e-05
204.0,3.332050982862711e-05
205.0,3.3760443329811096e-05
206.0,3.4340424463152885e-05
207.0,3.420095890760422e-05
208.0,3.48405446857214e-05
209.0,3.518105950206518e-05
210.0,3.524101339280605e-05
211.0,3.5619945265352726e-05
212.0,3.574055153876543e-05
213.0,3.671995364129543e-05
214.0,3.6640441976487637e-05
215.0,3.7079909816384315e-05
216.0,3.7379912100732327e-05
217.0,3.784091677516699e-05
218.0,3.804056905210018e-05
219.0,3.848050255328417e-05
220.0,3.806047607213259e-05
221.0,3.9000529795885086e-05
222.0,3.896048292517662e-05
223.0,3.92404617741704e-05
224.0,3.954046405851841e-05
225.0,4.008051473647356e-05
226.0,4.002102650702e-05
227.0,4.020007327198982e-05
228.0,4.0760496631264687e-05
229.0,4.090042784810066e-05
230.0,4.127994179725647e-05
231.0,4.1780644096434116e-05
232.0,4.224095027893782e-05
233.0,4.2460509575903416e-05
234.0,4.2479950934648514e-05
235.0,4.299997817724943e-05
236.0,4.3100444599986076e-05
237.0,4.3400097638368607e-05
238.0,4.372093826532364e-05
239.0,4.421989433467388e-05
240.0,4.448043182492256e-05
241.0,4.46405028924346e-05
242.0,4.518055357038975e-05
243.0,4.539999645203352e-05
244.0,4.608056042343378e-05
245.0,4.602049011737108e-05
246.0,4.638056270778179e-05
247.0,4.6700588427484035e-05
248.0,4.690058995038271e-05
249.0,4.742061719298363e-05
250.0,4.7580571845173836e-05
251.0,4.805997014045715e-05
252.0,4.844099748879671e-05
253.0,4.882051143795252e-05
254.0,4.8800953663885593e-05
255.0,4.928046837449074e-05
256.0,4.964054096490145e-05
257.0,5.0160568207502365e-05
258.0,5.052040796726942e-05
259.0,5.068059545010328e-05
260.0,5.1220529712736607e-05
