size,time
1.0,300.0
2.0,300.0
3.0,300.0
4.0,300.0
5.0,400.0
6.0,500.0
7.0,500.0
8.0,500.0
9.0,600.0
10.0,800.0
11.0,700.0
12.0,800.0
13.0,900.0
14.0,900.0
15.0,1150.0
16.0,1100.0
17.0,1200.0
18.0,1200.0
19.0,1300.0
20.0,1600.0
21.0,1600.0
22.0,1600.0
23.0,1800.0
24.0,1900.0
25.0,1950.0
26.0,2500.0
27.0,2500.0
28.0,2400.0
29.0,2700.0
30.0,3050.0
31.0,3300.0
32.0,3400.0
33.0,3300.0
34.0,3250.0
35.0,3300.0
36.0,3550.0
37.0,3600.0
38.0,3800.0
39.0,3900.0
40.0,4100.0
41.0,4200.0
42.0,4400.0
43.0,5200.0
44.0,5600.0
45.0,5400.0
46.0,5750.0
47.0,5250.0
48.0,5500.0
49.0,5550.0
50.0,5800.0
51.0,6000.0
52.0,6300.0
53.0,6500.0
54.0,7450.0
55.0,7500.0
56.0,8200.0
57.0,7200.0
58.0,7400.0
59.0,7500.0
60.0,7900.0
61.0,8100.0
62.0,8450.0
63.0,8450.0
64.0,8800.0
65.0,9100.0
66.0,9250.0
67.0,9750.0
68.0,10950.0
69.0,10100.0
70.0,10350.0
71.0,11850.0
72.0,10700.0
73.0,11100.0
74.0,11250.0
75.0,11950.0
76.0,11800.0
77.0,12100.0
78.0,12300.0
79.0,12500.0
80.0,13450.0
81.0,14300.0
82.0,14100.0
83.0,15500.0
84.0,16250.0
85.0,14200.0
86.0,14500.0
87.0,14700.0
88.0,15300.0
89.0,16800.0
90.0,15700.0
91.0,16200.0
92.0,16050.0
93.0,16750.0
94.0,16600.0
95.0,17050.0
96.0,17500.0
97.0,18150.0
98.0,18000.0
99.0,18950.0
100.0,19050.0
101.0,21300.0
102.0,19550.0
103.0,19850.0
104.0,20000.0
105.0,20250.0
106.0,20450.0
107.0,20950.0
108.0,21200.0
109.0,22550.0
110.0,22050.0
111.0,21950.0
112.0,22500.0
113.0,23450.0
114.0,25700.0
115.0,23050.0
116.0,24000.0
117.0,24450.0
118.0,24400.0
119.0,25100.0
120.0,25800.0
121.0,25100.0
122.0,29600.0
123.0,26400.0
124.0,29200.0
125.0,27200.0
126.0,27300.0
127.0,27700.0
128.0,27850.0
129.0,31100.0
130.0,28950.0
131.0,29200.0
132.0,33150.0
133.0,29650.0
134.0,34500.0
135.0,30600.0
136.0,31450.0
137.0,31250.0
138.0,32300.0
139.0,35100.0
140.0,35900.0
141.0,32750.0
142.0,33300.0
143.0,38550.0
144.0,33800.0
145.0,34400.0
146.0,34550.0
147.0,35250.0
148.0,35700.0
149.0,36400.0
150.0,36400.0
151.0,36300.0
152.0,37250.0
153.0,43100.0
154.0,39350.0
155.0,38500.0
156.0,39200.0
157.0,40050.0
158.0,45100.0
159.0,39950.0
160.0,40550.0
161.0,42850.0
162.0,42700.0
163.0,42250.0
164.0,47900.0
165.0,42750.0
166.0,43400.0
167.0,43600.0
168.0,43450.0
169.0,45000.0
170.0,45050.0
171.0,48800.0
172.0,46300.0
173.0,51600.0
174.0,45600.0
175.0,47200.0
176.0,47600.0
177.0,52650.0
178.0,47800.0
179.0,48150.0
180.0,48350.0
181.0,55500.0
182.0,49850.0
183.0,50550.0
184.0,50850.0
185.0,50700.0
186.0,51700.0
187.0,51800.0
188.0,52850.0
189.0,53850.0
190.0,58550.0
191.0,53800.0
192.0,56650.0
193.0,57150.0
194.0,58250.0
195.0,55150.0
196.0,57000.0
197.0,62700.0
198.0,61950.0
199.0,63950.0
200.0,58600.0
201.0,65250.0
202.0,59650.0
203.0,59300.0
204.0,60300.0
205.0,65100.0
206.0,61000.0
207.0,61100.0
208.0,63400.0
209.0,63900.0
210.0,68300.0
211.0,65650.0
212.0,69650.0
213.0,65250.0
214.0,65800.0
215.0,65300.0
216.0,65450.0
217.0,66750.0
218.0,68000.0
219.0,74400.0
220.0,74200.0
221.0,76800.0
222.0,74550.0
223.0,69100.0
224.0,69350.0
225.0,69850.0
226.0,77500.0
227.0,71550.0
228.0,80050.0
229.0,81050.0
230.0,73550.0
231.0,73700.0
232.0,74800.0
233.0,76850.0
234.0,83900.0
235.0,83450.0
236.0,84600.0
237.0,78350.0
238.0,83900.0
239.0,77800.0
240.0,78550.0
241.0,87500.0
242.0,79200.0
243.0,82700.0
244.0,81250.0
245.0,82300.0
246.0,82700.0
247.0,91500.0
248.0,82550.0
249.0,93000.0
250.0,86700.0
251.0,85500.0
252.0,93350.0
253.0,85900.0
254.0,86700.0
255.0,87100.0
256.0,97950.0
257.0,88050.0
258.0,98750.0
259.0,99300.0
260.0,99950.0
261.0,99650.0
262.0,101600.0
263.0,101650.0
264.0,101150.0
265.0,104800.0
266.0,104900.0
267.0,105750.0
268.0,104750.0
269.0,102950.0
270.0,103850.0
271.0,105650.0
272.0,107400.0
273.0,107850.0
274.0,107400.0
275.0,109400.0
276.0,113550.0
277.0,104550.0
278.0,111400.0
279.0,111300.0
280.0,105850.0
281.0,109950.0
282.0,114300.0
283.0,111800.0
284.0,115600.0
285.0,116600.0
286.0,117400.0
287.0,115150.0
288.0,116100.0
289.0,110200.0
290.0,119800.0
291.0,118350.0
292.0,109100.0
293.0,119300.0
294.0,121800.0
295.0,122000.0
296.0,123350.0
297.0,124500.0
298.0,116350.0
299.0,124800.0
300.0,127000.0
301.0,126400.0
302.0,128400.0
303.0,129300.0
304.0,127850.0
305.0,129400.0
306.0,129250.0
307.0,132400.0
308.0,132200.0
309.0,131450.0
310.0,132450.0
311.0,133550.0
312.0,128150.0
313.0,136750.0
314.0,137050.0
315.0,136450.0
316.0,136850.0
317.0,138450.0
318.0,139850.0
319.0,139250.0
320.0,142550.0
321.0,141650.0
322.0,144600.0
323.0,143250.0
324.0,142350.0
325.0,144200.0
326.0,144900.0
327.0,146500.0
328.0,145900.0
329.0,149400.0
330.0,147700.0
331.0,151250.0
332.0,150500.0
333.0,150700.0
334.0,149150.0
335.0,150650.0
336.0,153700.0
337.0,151550.0
338.0,154600.0
339.0,154450.0
340.0,155600.0
341.0,154650.0
342.0,157150.0
343.0,156350.0
344.0,157050.0
345.0,159600.0
346.0,160950.0
347.0,160500.0
348.0,159900.0
349.0,162050.0
350.0,162500.0
351.0,163500.0
352.0,163600.0
353.0,158550.0
354.0,164300.0
355.0,166150.0
356.0,168250.0
357.0,167150.0
358.0,167400.0
359.0,170650.0
360.0,169900.0
361.0,169750.0
362.0,171150.0
363.0,161300.0
364.0,167400.0
365.0,165450.0
366.0,177350.0
367.0,175150.0
368.0,177150.0
369.0,174850.0
370.0,176550.0
