size,min_val,max_val,time,resolution,stdev,mad
100,1,1000,1960.0,78.281,43.013,0.0
599,1,1000,2880.0,75.625,619.324,0.0
1098,1,1000,3800.0,76.25,1649.749,40.0
1597,1,1000,4720.0,76.562,797.014,40.0
2096,1,1000,5640.0,77.5,1248.549,0.0
2595,1,1000,6560.0,76.719,620.044,1.0
3094,1,1000,7480.0,82.031,1395.904,40.0
3593,1,1000,8440.0,78.438,2147.481,39.0
4092,1,1000,9360.0,77.977,358.579,20.0
4591,1,1000,10280.0,77.344,2392.447,40.0
5090,1,1000,11400.0,80.156,2311.582,40.0
5589,1,1000,12200.0,79.531,1169.271,40.0
6088,1,1000,13121.0,132.5,1636.393,39.0
6587,1,1000,14081.0,78.906,1474.693,39.0
7086,1,1000,15040.0,77.812,1114.622,40.0
7585,1,1000,16000.0,80.312,1895.91,40.0
8084,1,1000,16961.0,83.75,1264.334,39.0
8583,1,1000,17921.0,87.031,2799.93,39.0
9082,1,1000,18880.0,80.469,1506.05,40.0
9581,1,1000,19840.5,81.875,2043.115,40.5
10080,1,1000,20801.0,77.656,1629.945,40.0
10579,1,1000,21760.0,86.406,2385.225,40.0
11078,1,1000,22720.0,79.375,2322.134,40.0
11577,1,1000,23720.0,80.625,2057.047,40.0
12076,1,1000,24680.0,83.289,1211.332,40.0
12575,1,1000,25680.0,82.031,2643.551,40.0
13074,1,1000,26760.0,82.188,2106.949,40.0
13573,1,1000,27800.0,80.0,1051.461,40.0
14072,1,1000,28880.0,80.312,2771.862,40.0
14571,1,1000,29920.0,82.344,862.06,40.0
15070,1,1000,31000.0,92.031,2397.056,79.0
15569,1,1000,32040.0,83.281,2271.867,40.0
16068,1,1000,33120.0,83.281,2236.931,40.0
16567,1,1000,34160.0,83.75,2636.955,40.0
17066,1,1000,35240.0,82.812,1869.402,79.0
17565,1,1000,36280.0,84.531,2446.769,79.5
18064,1,1000,37320.0,87.5,2297.2,79.0
18563,1,1000,38401.0,88.438,2421.562,159.0
19062,1,1000,39361.0,86.875,2659.665,80.0
19561,1,1000,40400.0,84.688,3155.661,119.0
20060,1,1000,41441.0,130.629,3551.783,81.0
20559,1,1000,42400.0,85.938,4627.246,80.0
21058,1,1000,43400.0,88.125,2703.007,60.0
21557,1,1000,44401.0,87.344,2763.815,79.0
22056,1,1000,45480.5,84.535,3567.089,79.5
22555,1,1000,46481.0,87.031,3226.56,80.0
23054,1,1000,47520.0,85.781,3788.502,120.0
23553,1,1000,48520.0,87.969,4291.572,81.0
24052,1,1000,49521.0,90.629,4055.089,81.0
24551,1,1000,50521.0,87.031,3241.01,81.0
25050,1,1000,51561.0,87.344,4141.755,121.0
25549,1,1000,52641.0,89.531,4384.521,240.0
26048,1,1000,53600.5,86.879,5086.135,120.5
26547,1,1000,54601.0,88.281,3839.447,121.0
27046,1,1000,55561.0,88.441,4164.907,120.0
27545,1,1000,56580.5,88.445,8380.2,139.5
28044,1,1000,57601.0,87.344,4297.964,120.0
28543,1,1000,58641.0,90.156,4396.496,200.0
29042,1,1000,59580.5,89.691,4788.605,140.5
29541,1,1000,60620.5,101.254,5056.225,219.5
30040,1,1000,61521.0,91.41,3387.661,80.5
30539,1,1000,62560.0,139.844,4223.308,119.0
31038,1,1000,63561.0,91.41,4176.085,120.0
31537,1,1000,64521.0,89.219,4118.408,81.0
32036,1,1000,65521.0,96.562,4292.118,120.0
32535,1,1000,66561.0,97.035,4151.199,120.0
33034,1,1000,67540.5,92.035,4305.951,99.5
33533,1,1000,68481.0,96.406,3556.191,120.0
34032,1,1000,69500.5,94.375,4206.997,100.5
34531,1,1000,70520.0,95.938,4784.741,119.5
35030,1,1000,71520.0,94.375,4642.33,120.0
35529,1,1000,72481.0,96.875,5301.096,120.0
36028,1,1000,73481.0,92.66,6727.242,120.0
36527,1,1000,74481.0,102.352,4246.094,81.0
37026,1,1000,75481.0,93.129,4774.838,120.0
37525,1,1000,76521.0,92.191,4862.671,120.0
38024,1,1000,77561.0,95.0,4439.639,120.0
38523,1,1000,78561.0,97.816,3834.153,120.0
39022,1,1000,79521.0,93.914,4326.916,120.0
39521,1,1000,80521.0,99.539,4322.856,120.0
40020,1,1000,81561.0,101.25,5147.438,120.0
40519,1,1000,82601.0,93.441,5417.574,160.0
41018,1,1000,83561.0,94.844,5293.58,120.0
41517,1,1000,84620.5,97.969,4650.952,140.5
42016,1,1000,85600.0,100.938,5344.082,159.0
42515,1,1000,86561.0,100.469,5027.5,120.0
43014,1,1000,87600.5,93.438,5597.996,159.5
43513,1,1000,88561.0,96.719,5394.362,160.0
44012,1,1000,89561.0,101.723,4922.283,121.0
44511,1,1000,90601.0,102.973,5948.164,160.0
45010,1,1000,91561.0,104.219,5144.961,160.0
45509,1,1000,92641.0,98.281,4750.135,160.0
46008,1,1000,93680.5,97.973,4511.319,160.5
46507,1,1000,94681.0,100.469,3982.815,160.0
47006,1,1000,95801.0,102.66,7105.665,160.0
47505,1,1000,96881.0,103.906,5047.235,240.0
48004,1,1000,97821.0,94.688,5291.828,180.0
48503,1,1000,98841.0,135.469,7753.626,200.0
49002,1,1000,100201.0,101.406,6672.753,600.0
