size,min_val,max_val,time,resolution,stdev,mad
100,1,1000,1960.0,75.0,696.817,0.0
102,1,1000,1960.0,74.375,194.843,0.0
104,1,1000,1960.0,76.094,448.639,0.0
107,1,1000,1960.0,170.0,296.306,0.0
109,1,1000,1961.0,75.781,393.013,39.0
112,1,1000,2000.0,74.062,972.302,0.0
114,1,1000,2000.0,76.254,1190.883,0.0
117,1,1000,2000.0,77.031,458.536,0.0
120,1,1000,2000.0,74.062,405.735,0.0
123,1,1000,2000.0,88.125,127.331,0.0
125,1,1000,2000.0,75.625,853.198,0.0
128,1,1000,2000.0,74.848,1489.161,0.0
131,1,1000,2000.0,76.562,551.359,0.0
134,1,1000,2040.0,75.938,293.833,40.0
138,1,1000,2040.0,75.312,362.399,0.0
141,1,1000,2040.0,75.633,513.736,0.0
144,1,1000,2040.0,76.566,601.871,0.0
147,1,1000,2040.0,74.844,712.495,0.0
151,1,1000,2040.0,75.625,451.363,0.0
154,1,1000,2040.0,75.156,554.715,0.0
158,1,1000,2080.0,88.594,219.056,0.0
162,1,1000,2080.0,76.094,369.362,0.0
165,1,1000,2080.0,85.469,623.966,0.0
169,1,1000,2080.0,74.844,249.476,0.0
173,1,1000,2080.0,76.719,465.888,0.0
177,1,1000,2080.0,98.125,425.146,0.0
181,1,1000,2120.0,76.406,1654.783,0.0
186,1,1000,2120.0,74.844,382.384,0.0
190,1,1000,2120.0,82.348,403.542,0.0
194,1,1000,2120.0,76.562,515.515,0.0
199,1,1000,2160.0,74.688,1387.299,20.0
204,1,1000,2160.0,74.062,561.18,0.0
208,1,1000,2160.0,75.312,832.138,0.0
213,1,1000,2160.0,75.469,689.98,0.0
218,1,1000,2160.0,75.781,34.327,0.0
223,1,1000,2200.0,74.844,40.275,0.5
229,1,1000,2200.0,75.625,59.153,0.0
234,1,1000,2200.0,74.375,49.31,0.0
239,1,1000,2200.0,77.031,2057.125,0.0
245,1,1000,2240.0,75.938,1625.6,40.0
251,1,1000,2240.0,74.844,41.196,0.0
257,1,1000,2240.0,75.0,42.574,0.0
263,1,1000,2240.0,73.754,53.118,0.0
269,1,1000,2280.0,74.848,1843.617,0.0
275,1,1000,2280.0,102.812,2198.129,0.0
281,1,1000,2280.0,75.781,413.606,0.0
288,1,1000,2280.0,73.906,530.862,0.0
295,1,1000,2320.0,106.41,2253.055,0.0
301,1,1000,2320.0,74.375,1307.558,0.0
309,1,1000,2320.0,76.094,702.252,1.0
316,1,1000,2360.0,75.312,1309.443,0.0
323,1,1000,2360.0,76.098,2769.776,0.0
331,1,1000,2360.0,73.75,45.509,0.0
338,1,1000,2400.0,76.562,56.444,0.0
346,1,1000,2400.0,75.156,401.219,0.0
354,1,1000,2400.0,75.625,1050.734,1.0
363,1,1000,2440.0,73.125,865.272,0.0
371,1,1000,2440.0,77.031,1870.581,0.0
380,1,1000,2480.0,78.125,584.821,0.0
389,1,1000,2480.0,77.656,331.752,0.0
398,1,1000,2520.0,89.688,1118.274,40.0
407,1,1000,2520.0,75.781,45.429,0.0
416,1,1000,2520.0,74.375,250.219,0.0
426,1,1000,2560.0,75.312,31.891,0.0
436,1,1000,2560.0,75.629,494.557,0.0
446,1,1000,2600.0,75.0,388.864,0.0
457,1,1000,2600.0,75.473,883.291,0.0
467,1,1000,2640.0,73.75,989.287,0.0
478,1,1000,2640.0,75.625,546.755,40.0
489,1,1000,2680.0,76.094,483.776,0.0
501,1,1000,2680.0,77.5,1091.501,0.0
512,1,1000,2720.0,77.031,508.782,0.0
524,1,1000,2720.0,75.312,462.051,1.0
537,1,1000,2760.0,76.094,36.719,0.0
549,1,1000,2760.0,75.312,887.308,0.0
562,1,1000,2800.0,74.691,1275.163,0.0
575,1,1000,2840.0,76.719,875.472,0.0
588,1,1000,2840.0,90.781,1287.188,0.0
602,1,1000,2880.0,77.191,627.241,0.0
616,1,1000,2920.0,75.938,780.524,0.0
630,1,1000,2920.0,73.438,970.417,0.0
645,1,1000,2960.0,75.0,756.41,0.0
660,1,1000,3000.0,86.875,150.011,1.0
676,1,1000,3000.0,75.312,424.968,0.0
691,1,1000,3040.0,74.844,373.422,0.0
707,1,1000,3080.0,75.004,1569.578,0.0
724,1,1000,3080.0,75.941,1316.91,1.0
741,1,1000,3120.0,77.031,1515.732,0.0
758,1,1000,3160.0,75.781,1184.79,0.0
776,1,1000,3200.0,137.191,1199.797,0.0
794,1,1000,3240.0,74.844,1390.888,0.0
812,1,1000,3280.0,74.223,37.379,40.0
831,1,1000,3320.0,75.785,442.657,0.0
851,1,1000,3320.0,83.281,1070.93,0.0
870,1,1000,3360.0,77.656,2644.289,0.0
