size,min_val,max_val,time,resolution,stdev
100,1,100000,171341.5,76.25,59660.791
109,1,100000,174362.0,81.25,10456.225
118,1,100000,173082.0,80.0,10345.235
127,1,100000,171921.5,85.625,9491.648
136,1,100000,171122.0,83.125,9501.841
145,1,100000,172622.0,78.125,9727.078
154,1,100000,171522.0,88.125,9250.56
163,1,100000,171861.0,85.0,9252.185
172,1,100000,172241.0,82.5,9499.157
181,1,100000,173882.0,78.75,8182.461
190,1,100000,173282.0,81.875,9449.681
199,1,100000,173422.0,83.125,9206.908
208,1,100000,173742.0,80.625,8974.358
217,1,100000,174042.0,83.125,9970.812
226,1,100000,173002.0,80.0,7127.952
235,1,100000,172222.0,78.75,10132.362
244,1,100000,172681.5,76.875,9906.622
253,1,100000,172801.5,82.5,20514.541
262,1,100000,172021.5,86.25,8570.598
271,1,100000,173062.0,93.141,7986.67
280,1,100000,173882.0,78.125,8141.418
289,1,100000,168381.5,78.141,9128.686
298,1,100000,168402.0,88.125,9659.487
307,1,100000,172381.5,87.5,10451.885
316,1,100000,168322.0,80.0,10185.593
325,1,100000,168281.0,78.75,59657.692
334,1,100000,168942.0,81.875,6426.495
343,1,100000,168862.0,79.375,8237.605
352,1,100000,168502.0,74.391,9725.23
361,1,100000,168542.0,86.25,8627.835
370,1,100000,168902.0,82.5,9267.688
379,1,100000,168601.5,83.75,7560.32
388,1,100000,168742.0,80.625,51845.905
397,1,100000,168641.5,77.5,7253.499
406,1,100000,168782.0,76.25,9591.376
415,1,100000,168842.0,80.0,11328.546
424,1,100000,170221.5,81.875,8955.966
433,1,100000,169322.0,79.375,9327.552
442,1,100000,169002.0,78.125,9642.017
451,1,100000,169022.0,82.5,9159.74
460,1,100000,175101.5,79.375,5806.575
469,1,100000,169162.0,77.5,8461.172
478,1,100000,169142.0,79.375,9472.726
487,1,100000,169142.0,80.0,8305.39
496,1,100000,169341.5,82.5,8587.017
505,1,100000,169202.0,78.125,8663.331
514,1,100000,169522.0,75.625,10086.859
523,1,100000,169322.0,79.375,8842.391
532,1,100000,169422.0,82.5,8997.956
541,1,100000,169582.0,96.25,9060.256
550,1,100000,169401.5,74.375,9888.14
559,1,100000,169421.5,77.5,9305.862
568,1,100000,169382.0,77.5,9688.74
577,1,100000,169901.0,78.125,10657.73
586,1,100000,169922.0,84.391,53242.056
595,1,100000,169542.0,83.125,14589.697
604,1,100000,169641.5,81.25,11239.505
613,1,100000,174302.0,86.875,7623.808
622,1,100000,169881.5,79.375,8416.908
631,1,100000,169722.0,85.0,90861.264
640,1,100000,169801.0,81.875,13018.641
649,1,100000,169761.5,88.125,12776.058
658,1,100000,169662.0,80.0,7867.631
667,1,100000,169722.0,80.625,8460.404
676,1,100000,169942.0,78.125,10005.928
685,1,100000,170361.5,78.125,8217.499
694,1,100000,176642.0,80.0,11090.106
703,1,100000,170082.0,80.625,9525.424
712,1,100000,170362.0,77.5,8277.337
721,1,100000,170442.0,78.75,11772.944
730,1,100000,170622.0,79.375,6922.915
739,1,100000,170201.5,81.25,11505.447
748,1,100000,170402.0,79.375,9938.451
757,1,100000,170422.0,77.5,10796.323
766,1,100000,177682.0,80.625,11931.583
775,1,100000,171042.0,84.375,9357.95
784,1,100000,171102.0,78.125,13192.432
793,1,100000,172461.5,185.0,9035.656
802,1,100000,174242.0,80.0,9219.2
811,1,100000,170662.0,75.625,6396.258
820,1,100000,170722.0,79.375,19676.24
829,1,100000,170961.0,77.5,8655.69
838,1,100000,170962.0,75.0,56347.201
847,1,100000,171362.0,78.75,9499.251
856,1,100000,171062.0,76.25,9524.045
865,1,100000,170962.0,75.625,10752.997
874,1,100000,171361.5,75.625,8469.847
883,1,100000,171561.5,78.75,7242.272
892,1,100000,172022.0,76.875,11394.161
901,1,100000,171002.0,82.5,52982.28
910,1,100000,171121.5,76.875,9779.64
919,1,100000,171101.5,81.875,9498.141
928,1,100000,171042.0,74.391,10697.217
937,1,100000,171161.0,78.125,10941.781
946,1,100000,171142.0,77.5,9625.419
955,1,100000,171642.0,78.125,11269.798
964,1,100000,171262.0,80.0,56873.396
973,1,100000,171002.0,76.25,10363.41
982,1,100000,171161.5,75.641,7695.07
991,1,100000,176101.5,78.125,7231.761
1000,1,100000,175301.5,82.516,9291.65
1009,1,100000,175382.0,77.5,7582.591
1018,1,100000,177841.5,78.75,7407.127
1027,1,100000,174661.5,78.141,8504.521
1036,1,100000,175162.0,77.5,9176.51
1045,1,100000,175982.0,73.125,9589.247
1054,1,100000,172402.0,80.0,8154.837
1063,1,100000,171482.0,77.5,8288.659
1072,1,100000,171521.5,85.625,9389.661
1081,1,100000,175282.0,76.875,9393.144
1090,1,100000,179042.0,75.625,6618.761
1099,1,100000,177242.0,76.25,7642.419
1108,1,100000,179542.0,76.875,9313.801
1117,1,100000,175962.0,81.25,9569.488
1126,1,100000,177582.0,76.25,8720.259
1135,1,100000,176562.0,81.25,18052.63
1144,1,100000,178002.0,75.625,8643.612
1153,1,100000,176822.0,78.75,13614.946
1162,1,100000,177662.0,78.75,8217.044
1171,1,100000,174001.5,79.375,8957.793
1180,1,100000,172442.0,77.5,5819.487
1189,1,100000,173302.0,88.75,7329.755
1198,1,100000,172382.0,81.25,12342.349
1207,1,100000,172382.0,79.375,7855.638
1216,1,100000,179582.0,78.125,54386.364
1225,1,100000,177961.5,79.375,8634.67
1234,1,100000,177542.0,78.125,6945.4
1243,1,100000,180522.0,76.25,9600.781
1252,1,100000,176201.5,75.625,7413.817
1261,1,100000,172401.0,75.625,12125.603
1270,1,100000,177022.0,75.0,21810.258
1279,1,100000,178982.0,183.75,53210.402
1288,1,100000,178361.5,77.5,10625.711
1297,1,100000,172502.0,80.625,6168.751
1306,1,100000,172802.0,79.375,9761.546
1315,1,100000,173142.0,78.125,9844.96
1324,1,100000,172982.0,81.25,8930.4
1333,1,100000,172502.0,78.125,12684.97
1342,1,100000,172441.5,76.25,53721.636
1351,1,100000,172501.5,80.625,7630.139
1360,1,100000,172662.0,73.75,8916.222
1369,1,100000,172642.0,77.5,10288.331
1378,1,100000,173042.0,80.0,12619.703
1387,1,100000,172662.0,78.75,7404.938
1396,1,100000,173122.0,77.5,8860.141
1405,1,100000,172922.0,74.375,10587.498
1414,1,100000,178082.0,77.5,8567.905
1423,1,100000,173402.0,82.5,11699.904
1432,1,100000,176262.0,76.875,9575.806
1441,1,100000,172882.0,79.375,8082.766
1450,1,100000,173022.0,75.641,9879.06
1459,1,100000,172982.0,81.25,9314.231
1468,1,100000,173522.0,75.625,8140.649
1477,1,100000,173202.0,209.375,10465.767
1486,1,100000,172922.0,76.875,9442.797
1495,1,100000,173041.5,81.25,10218.993
1504,1,100000,173362.0,77.5,8504.236
1513,1,100000,174941.5,79.375,9617.451
1522,1,100000,180482.0,79.375,54269.409
1531,1,100000,173842.0,71.875,9899.543
1540,1,100000,176902.0,76.875,6274.444
1549,1,100000,177781.5,74.375,8473.28
1558,1,100000,176702.0,77.5,8809.894
1567,1,100000,178181.5,75.625,9599.8
1576,1,100000,179482.0,78.75,10633.002
1585,1,100000,175082.0,76.875,7988.199
1594,1,100000,178761.0,76.266,9828.178
1603,1,100000,178562.0,78.125,45550.392
1612,1,100000,176321.0,76.25,7781.305
1621,1,100000,179242.0,78.75,60286.87
1630,1,100000,174702.0,84.375,20942.112
1639,1,100000,178962.0,78.125,8032.981
1648,1,100000,179362.0,78.125,8519.11
1657,1,100000,177802.0,80.0,7690.259
1666,1,100000,176082.0,76.875,11105.0
1675,1,100000,177501.5,78.125,9813.011
1684,1,100000,177361.5,77.516,6429.138
1693,1,100000,177982.0,75.0,7142.791
1702,1,100000,179762.0,77.5,10974.55
1711,1,100000,179962.0,78.125,10547.585
1720,1,100000,179782.0,79.375,9110.581
1729,1,100000,175362.0,76.25,10470.393
