size,min_val,max_val,time,resolution,stdev
10000,10,10,62101.0,87.5,3590.166
10000,10,109,19120.0,85.625,1825.434
10000,10,208,19161.0,95.0,2414.272
10000,10,307,19360.0,83.125,2830.103
10000,10,406,19560.0,83.125,1088.168
10000,10,505,19721.0,78.75,2582.262
10000,10,604,19960.0,86.875,1446.912
10000,10,703,20120.0,78.125,1204.825
10000,10,802,20320.0,80.625,2906.108
10000,10,901,20480.0,83.75,1626.572
10000,10,1000,20680.0,80.0,2707.901
10000,10,1099,20880.0,82.5,3673.053
10000,10,1198,21041.0,81.25,3008.769
10000,10,1297,21200.0,82.5,1624.021
10000,10,1396,21400.5,88.75,1910.951
10000,10,1495,21600.0,76.875,1758.535
10000,10,1594,21721.0,80.625,2740.312
10000,10,1693,21940.5,85.0,2557.251
10000,10,1792,22080.0,86.25,1008.053
10000,10,1891,22280.0,76.875,2406.475
10000,10,1990,22480.0,86.875,1639.88
10000,10,2089,22640.0,81.875,3385.428
10000,10,2188,22800.0,85.641,2792.381
10000,10,2287,23000.5,79.375,2420.785
10000,10,2386,23200.0,80.625,1288.66
10000,10,2485,23400.0,75.0,2418.523
10000,10,2584,23520.5,83.766,4080.805
10000,10,2683,23800.0,80.0,1210.554
10000,10,2782,23880.0,80.625,1275.511
10000,10,2881,24041.0,93.75,2199.516
10000,10,2980,24240.5,91.875,3304.833
10000,10,3079,24440.0,93.125,2401.048
10000,10,3178,24560.0,91.266,5541.712
10000,10,3277,24720.0,89.391,1892.905
10000,10,3376,24940.5,80.016,3547.583
10000,10,3475,25160.0,83.75,2580.624
10000,10,3574,25320.0,76.25,1051.082
10000,10,3673,25520.0,72.5,1912.193
10000,10,3772,25720.0,77.5,4220.187
10000,10,3871,25880.0,78.75,2783.28
10000,10,3970,26080.0,83.125,2476.915
10000,10,4069,26280.0,88.75,1148.937
10000,10,4168,26481.0,80.625,3634.782
10000,10,4267,26680.0,85.625,2805.426
10000,10,4366,26880.0,80.625,1773.001
10000,10,4465,27060.5,86.25,3374.95
10000,10,4564,27220.5,83.125,1529.14
10000,10,4663,27480.0,90.625,1808.783
10000,10,4762,27680.0,82.5,2925.11
10000,10,4861,27860.5,87.5,1641.078
10000,10,4960,28120.0,92.5,1910.282
10000,10,5059,28360.0,80.0,2983.472
10000,10,5158,28481.0,88.125,1615.284
10000,10,5257,28660.0,80.625,2833.296
10000,10,5356,28820.5,76.891,3703.368
10000,10,5455,29040.0,77.5,4568.144
10000,10,5554,29241.0,80.016,3628.92
10000,10,5653,29440.0,85.625,4173.385
10000,10,5752,29600.5,92.5,4341.674
10000,10,5851,29761.0,87.5,4583.472
10000,10,5950,29960.5,80.625,3337.746
10000,10,6049,30161.0,81.875,1717.759
10000,10,6148,30400.0,80.625,2887.299
10000,10,6247,30600.0,86.25,4101.314
10000,10,6346,30480.0,82.5,2566.312
10000,10,6445,30801.0,80.625,4189.96
10000,10,6544,31200.0,81.875,3907.282
10000,10,6643,31320.0,87.5,1736.205
10000,10,6742,31360.0,80.0,3415.622
10000,10,6841,31480.0,91.25,2831.813
10000,10,6940,31860.5,83.125,1451.166
10000,10,7039,32060.0,79.375,4084.81
10000,10,7138,32180.5,84.375,1701.626
10000,10,7237,32320.0,82.5,3446.737
10000,10,7336,32681.0,83.75,5077.282
10000,10,7435,32920.0,85.641,2193.767
10000,10,7534,33040.0,78.75,1737.234
10000,10,7633,33240.5,80.625,2176.961
10000,10,7732,33440.0,79.375,2342.652
10000,10,7831,33600.0,80.031,1637.931
10000,10,7930,33800.0,81.875,4132.404
10000,10,8029,34000.0,78.125,1675.014
10000,10,8128,34161.0,82.5,5674.863
10000,10,8227,34400.0,85.0,4056.69
10000,10,8326,34600.5,81.875,3034.923
10000,10,8425,34801.0,81.25,5131.133
10000,10,8524,35040.0,91.875,3919.789
10000,10,8623,35340.5,83.75,2355.489
10000,10,8722,35520.0,86.25,3946.362
10000,10,8821,35681.0,83.125,1999.04
10000,10,8920,35920.0,85.625,2642.076
10000,10,9019,36120.0,85.0,3263.704
10000,10,9118,36401.0,89.391,4439.808
10000,10,9217,36641.0,83.75,2475.885
10000,10,9316,36881.0,91.25,3788.724
10000,10,9415,36961.0,81.25,2691.874
10000,10,9514,37201.0,81.875,4048.621
10000,10,9613,37400.0,80.625,3046.09
10000,10,9712,37601.0,81.875,4223.276
10000,10,9811,37801.0,79.375,2926.161
10000,10,9910,38060.5,86.875,1265.205
10000,10,10009,38320.5,82.5,4150.761
10000,10,10108,38520.0,85.0,4065.036
10000,10,10207,38640.5,80.625,4689.185
10000,10,10306,38881.0,80.625,3753.658
10000,10,10405,39120.0,82.5,4955.086
10000,10,10504,39241.0,81.25,3807.616
10000,10,10603,39481.0,83.75,3025.173
10000,10,10702,39680.0,80.0,2955.42
10000,10,10801,39880.0,80.0,4290.304
10000,10,10900,40040.5,83.75,3881.388
10000,10,10999,40321.0,85.0,1981.212
10000,10,11098,40521.0,79.375,2600.772
10000,10,11197,40680.0,90.625,3902.5
10000,10,11296,40881.0,81.25,3993.388
10000,10,11395,41160.0,80.625,2156.395
10000,10,11494,41280.5,90.0,2256.031
10000,10,11593,41480.0,78.75,1983.799
10000,10,11692,41680.0,83.125,1455.331
10000,10,11791,41920.0,81.25,5293.62
10000,10,11890,42180.5,162.5,1877.613
10000,10,11989,42280.0,79.391,3328.265
10000,10,12088,42561.0,79.375,2611.665
10000,10,12187,42721.0,80.0,2305.748
10000,10,12286,42920.5,90.625,2711.762
10000,10,12385,43121.0,83.125,4952.026
10000,10,12484,43361.0,78.75,2175.412
10000,10,12583,43561.0,81.875,2568.744
10000,10,12682,43760.0,83.125,4034.221
10000,10,12781,43980.5,83.766,2108.108
10000,10,12880,44201.0,80.0,3540.498
10000,10,12979,44401.0,78.75,2888.417
10000,10,13078,44640.0,86.25,5086.375
10000,10,13177,44800.0,83.125,5735.413
10000,10,13276,45041.0,79.375,2221.368
10000,10,13375,45281.0,78.75,3616.858
10000,10,13474,45441.0,79.375,5177.865
10000,10,13573,45641.0,85.625,2310.43
10000,10,13672,45841.0,83.125,4864.667
10000,10,13771,46080.0,79.375,3106.981
10000,10,13870,46320.0,80.625,4539.658
10000,10,13969,46600.0,82.5,3648.733
