size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,62240.0,75.625,4636.167,679.0
10000,10,11,42880.0,76.25,3447.062,1320.0
10000,10,12,36641.0,76.258,3643.931,600.0
10000,10,14,29280.0,85.0,3329.596,560.0
10000,10,15,27121.0,79.688,2045.328,440.0
10000,10,17,24200.0,81.562,3050.043,300.0
10000,10,19,22921.0,78.438,2484.313,361.0
10000,10,22,21801.0,76.25,3252.085,319.0
10000,10,25,21040.0,76.562,2312.93,240.0
10000,10,28,20600.0,121.25,1749.483,160.0
10000,10,31,20300.0,78.438,1616.839,180.0
10000,10,35,20040.0,77.188,3113.216,160.0
10000,10,39,19801.0,75.312,2404.321,140.0
10000,10,44,19601.0,79.062,1425.205,159.0
10000,10,50,19480.0,77.188,2735.885,159.0
10000,10,56,19440.0,83.438,3302.656,120.0
10000,10,63,19320.0,76.25,2841.029,80.0
10000,10,70,19240.0,77.188,2601.921,120.0
10000,10,79,19201.0,126.25,1666.52,81.0
10000,10,89,19200.0,85.938,3537.254,100.0
10000,10,99,19160.0,77.508,2497.072,80.0
10000,10,112,19120.0,94.375,3065.192,80.0
10000,10,125,19081.0,76.875,1972.0,80.0
10000,10,141,19081.0,80.0,1882.564,79.0
10000,10,158,19081.0,94.062,2542.058,79.0
10000,10,177,19120.0,79.688,2708.246,80.0
10000,10,199,19160.0,78.125,1776.604,79.5
10000,10,223,19161.0,77.188,2014.46,79.0
10000,10,251,19240.0,76.57,2597.657,40.0
10000,10,281,19300.5,97.5,1575.293,59.5
10000,10,316,19321.0,79.375,1658.781,41.0
10000,10,354,19440.0,78.75,1210.451,40.0
10000,10,398,19520.0,81.562,1242.029,40.0
10000,10,446,19601.0,75.625,2801.009,41.0
10000,10,501,19720.5,78.438,12977.008,40.5
10000,10,562,19880.0,77.82,1698.125,40.0
10000,10,630,20000.0,82.82,1941.889,41.0
10000,10,707,20121.0,81.562,4100.521,41.0
10000,10,794,20300.5,81.25,1996.546,60.5
10000,10,891,20441.0,77.5,2602.511,41.0
10000,10,999,20640.0,76.875,1762.67,40.0
10000,10,1122,20880.0,77.5,1897.397,40.0
10000,10,1258,21120.0,79.375,2659.806,40.0
10000,10,1412,21400.0,87.5,1829.22,40.0
10000,10,1584,21681.0,82.812,3346.349,41.0
10000,10,1778,22040.0,85.938,2502.316,40.0
10000,10,1995,22400.0,82.5,4424.322,40.0
10000,10,2238,22840.0,80.312,1879.99,40.0
10000,10,2511,23320.0,77.5,1104.185,40.0
10000,10,2818,23880.0,85.312,2833.363,40.0
10000,10,3162,24520.0,78.75,1290.567,40.0
10000,10,3548,25240.0,86.25,3417.37,41.0
10000,10,3981,26121.0,77.812,1382.657,40.0
10000,10,4466,27120.0,81.25,3141.99,79.0
10000,10,5011,28160.0,78.125,3827.167,80.0
10000,10,5623,29280.0,77.5,2214.639,80.0
10000,10,6309,30401.0,79.375,2907.351,41.0
10000,10,7079,32000.0,76.25,3350.065,41.0
10000,10,7943,33801.0,76.875,2337.961,41.0
10000,10,8912,35881.0,113.445,2756.999,80.0
10000,10,9999,38200.0,79.375,3814.665,80.0
10000,10,11220,40681.0,76.875,5423.778,79.0
10000,10,12589,43641.0,79.688,2866.967,81.0
10000,10,14125,46801.0,81.25,3326.226,80.0
10000,10,15848,50600.0,76.562,10873.377,239.0
10000,10,17782,54740.5,78.125,3876.974,200.0
10000,10,19952,59160.0,77.812,4550.859,120.5
10000,10,22387,64281.0,79.688,3731.335,340.5
10000,10,25118,69321.0,74.375,4717.571,320.0
10000,10,28183,75681.0,76.25,4147.663,1020.0
10000,10,31622,81401.0,76.875,6825.354,280.5
10000,10,35481,88781.0,89.062,5486.585,600.0
10000,10,39810,98261.0,77.812,5599.918,2180.0
10000,10,44668,107181.0,78.125,5928.357,2240.0
10000,10,50118,118361.0,78.75,4970.201,3420.0
10000,10,56234,128641.5,80.312,8155.46,3260.5
10000,10,63095,141582.0,223.445,6359.147,3620.5
10000,10,70794,155881.5,80.625,7681.224,3699.5
10000,10,79432,173042.0,81.562,8028.059,3400.5
10000,10,89125,191402.0,77.188,8674.677,5360.0
10000,10,99999,212162.0,81.562,9663.151,5540.0
10000,10,112201,236682.0,85.0,11137.055,7019.5
10000,10,125892,263902.5,84.375,14986.251,9600.0
10000,10,141253,302003.5,98.438,16229.522,7940.5
10000,10,158489,338824.0,114.375,84272.787,8920.0
10000,10,177827,379444.0,113.438,15853.618,10360.0
10000,10,199526,419225.0,108.75,67170.406,12601.0
10000,10,223872,475745.0,144.375,21289.765,14500.5
10000,10,251188,538885.5,114.688,74210.62,12260.5
10000,10,281838,601206.5,137.812,16954.76,11960.0
10000,10,316227,675467.0,138.438,109180.135,12420.0
10000,10,354813,751148.0,139.383,124778.075,12900.0
10000,10,398107,825928.5,140.625,111648.654,18320.5
10000,10,446683,931590.0,136.25,191721.35,9220.0
10000,10,501187,1032691.0,139.688,133241.025,12960.5
10000,10,562341,1145612.0,153.141,154113.404,16340.5
10000,10,630957,1266093.0,163.438,175900.519,13420.0
10000,10,707945,1405095.0,158.758,197675.578,14420.0
10000,10,794328,1564216.0,159.688,209627.016,16039.5
10000,10,891250,1730378.0,146.25,270603.68,14140.0
