size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,61860.5,75.938,4414.46,299.5
10000,10,10009,38280.0,85.32,3451.968,80.0
10000,10,20008,59200.0,81.25,2777.614,81.0
10000,10,30007,78541.0,79.062,3498.499,220.0
10000,10,40006,96881.0,78.125,5803.515,320.0
10000,10,50005,114721.0,78.438,4299.238,480.0
10000,10,60004,132661.0,79.062,7330.538,820.0
10000,10,70003,152021.0,78.438,9661.642,1440.0
10000,10,80002,170702.0,84.375,7889.082,1340.0
10000,10,90001,188062.0,82.188,8646.63,1620.0
10000,10,100000,206522.0,82.5,11954.109,2240.0
10000,10,109999,225382.0,87.5,11677.894,2699.5
10000,10,119998,244622.5,83.75,14685.899,3880.0
10000,10,129997,263083.0,105.938,42492.579,5080.5
10000,10,139996,291083.0,98.438,14926.602,4440.0
10000,10,149995,311623.0,97.195,14850.664,4960.0
10000,10,159994,347243.0,95.312,15164.261,15660.5
10000,10,169993,349024.0,98.75,51861.333,9820.5
10000,10,179992,368683.0,107.5,20654.25,13239.0
10000,10,189991,403444.0,123.438,14933.177,9920.0
10000,10,199990,423984.0,118.438,18088.929,15540.0
10000,10,209989,446725.0,122.195,60980.281,17361.0
10000,10,219988,464125.0,120.0,18061.916,15580.0
10000,10,229987,480165.0,121.578,17850.747,14660.0
10000,10,239986,507985.5,128.438,22004.058,19580.0
10000,10,249985,522785.0,132.188,74837.707,16640.5
10000,10,259984,549965.0,131.57,18227.468,12019.0
10000,10,269983,573366.0,170.938,18229.978,12480.0
10000,10,279982,596166.0,130.0,17097.34,9780.0
10000,10,289981,621966.0,136.875,79568.787,11459.5
10000,10,299980,637286.0,136.25,16568.493,12100.5
10000,10,309979,658187.0,140.312,19050.731,11860.0
10000,10,319978,682547.5,132.812,19538.347,13860.0
10000,10,329977,703707.0,130.0,91356.423,9460.0
10000,10,339976,725828.0,136.562,16850.477,10659.5
10000,10,349975,741288.0,132.812,18740.746,10740.0
10000,10,359974,770448.0,131.875,18332.081,10140.0
10000,10,369973,789948.0,141.875,108111.53,10800.0
10000,10,379972,797788.0,152.5,18562.41,10680.5
10000,10,389971,820909.0,129.688,17566.765,10000.5
10000,10,399970,842329.0,129.375,16578.085,9860.0
10000,10,409969,860269.0,133.75,107433.116,13400.0
10000,10,419968,879129.0,138.125,18020.742,10960.0
10000,10,429967,895129.5,145.0,18346.537,10620.5
10000,10,439966,920129.5,130.0,28692.778,20460.0
10000,10,449965,944010.0,132.188,121656.548,14180.5
10000,10,459964,960810.0,133.75,18064.994,10540.5
10000,10,469963,978330.0,154.375,21037.474,10499.5
10000,10,479962,987170.5,139.375,23977.396,16159.5
10000,10,489961,1002190.5,132.812,143645.686,14320.0
10000,10,499960,1020511.0,139.062,16966.049,12180.0
10000,10,509959,1044771.0,134.688,21831.498,15900.5
10000,10,519958,1066131.0,135.312,19567.134,13560.5
10000,10,529957,1083731.5,189.375,146774.974,10780.5
10000,10,539956,1100171.5,139.688,18268.403,10740.5
10000,10,549955,1099011.0,135.938,21315.923,15381.0
10000,10,559954,1139672.0,143.125,18121.324,12400.0
10000,10,569953,1155152.0,140.312,151391.951,11620.0
10000,10,579952,1173912.5,145.312,17143.831,10320.0
10000,10,589951,1191872.0,134.062,19503.211,14480.5
10000,10,599950,1208972.5,139.375,19642.612,12480.5
10000,10,609949,1225493.0,136.562,190762.634,14900.0
10000,10,619948,1245513.0,164.062,32822.417,12120.0
10000,10,629947,1263113.0,147.188,17243.099,12080.0
10000,10,639946,1282473.0,149.688,174870.72,13440.5
10000,10,649945,1289633.5,144.062,20648.497,11980.0
10000,10,659944,1315233.5,141.883,18648.795,10479.5
10000,10,669943,1328274.0,137.82,23320.175,13620.0
10000,10,679942,1340434.0,141.25,186078.432,16140.5
10000,10,689941,1365535.0,142.188,18852.093,13380.5
10000,10,699940,1386354.5,140.312,29886.272,13920.5
10000,10,709939,1404374.5,145.312,15870.325,9080.0
10000,10,719938,1421374.5,155.625,207105.771,11860.5
10000,10,729937,1432255.0,152.195,24435.597,15560.0
10000,10,739936,1458495.0,145.938,26322.614,16360.5
10000,10,749935,1473835.0,142.82,211111.258,12299.5
10000,10,759934,1485795.5,184.062,25832.683,17880.5
10000,10,769933,1514356.0,146.562,23567.398,12700.0
10000,10,779932,1525655.5,161.25,207154.249,12540.0
10000,10,789931,1546176.5,153.758,19684.365,13080.5
10000,10,799930,1545416.0,154.062,19232.998,12960.0
10000,10,809929,1587336.5,141.562,23845.123,18860.5
10000,10,819928,1598536.5,172.195,234620.872,16180.0
10000,10,829927,1613937.0,145.008,20481.274,13000.0
10000,10,839926,1625297.0,142.828,21799.749,15140.0
10000,10,849925,1655437.0,149.078,19279.395,13740.0
10000,10,859924,1669857.5,161.562,224181.008,14320.0
10000,10,869923,1691238.0,150.625,17937.216,12080.0
10000,10,879922,1716518.0,150.32,22302.023,16400.0
10000,10,889921,1729678.0,149.062,245163.266,12000.0
10000,10,899920,1737538.5,145.625,30953.311,12959.5
10000,10,909919,1762978.0,141.562,23437.653,15440.5
10000,10,919918,1783638.0,148.438,275023.415,17839.5
10000,10,929917,1791899.0,157.812,23881.137,16520.0
10000,10,939916,1802958.5,170.0,24031.488,19240.0
10000,10,949915,1816339.0,138.75,297782.863,11980.0
10000,10,959914,1844260.0,140.625,24958.707,14720.5
10000,10,969913,1859859.5,143.445,19496.51,14060.0
10000,10,979912,1883640.0,149.062,21519.473,14560.5
10000,10,989911,1897259.5,157.5,266244.444,18120.5
