size,time,resolution
1,500,120
1,400,120
1,600,120
1,600,120
1,500,120
1,800,180
1,500,120
1,400,140
1,700,120
1,500,180
1,600,100
2,600,120
2,700,120
2,600,100
2,600,180
2,900,100
3,700,140
3,800,100
3,800,120
3,900,160
3,700,140
4,700,100
4,800,120
4,800,120
5,700,140
5,700,100
6,700,120
6,700,140
6,800,160
7,900,160
7,700,100
8,800,100
9,800,100
9,700,120
10,700,120
11,700,160
12,700,100
12,800,120
13,800,160
14,700,120
15,800,140
16,700,140
18,700,120
19,800,100
20,700,120
22,700,100
23,700,120
25,700,100
27,800,180
29,800,160
31,700,100
33,800,140
36,800,140
38,900,160
41,800,100
44,800,120
47,900,160
51,800,100
54,800,140
58,800,120
63,1000,260
67,1000,140
72,900,160
77,900,120
83,800,120
89,900,120
95,900,100
102,1000,120
109,1000,120
117,900,100
125,1000,120
134,900,180
144,1000,160
154,1100,120
165,1100,140
177,1000,100
190,1100,120
204,1200,120
218,1200,120
234,1300,160
251,1100,100
269,1200,120
288,1500,120
309,1300,140
331,1300,100
354,1400,140
380,1400,180
407,1600,120
436,2100,200
467,1800,140
501,1900,120
537,1900,140
575,2300,180
616,2500,140
660,2200,140
707,2600,160
758,2200,180
812,2300,120
870,2700,120
933,2300,140
