size,time,resolution
1.0,9600.0,83.75
2.0,15240.5,76.25
3.0,15920.0,76.25
4.0,16980.0,78.75
5.0,17180.5,88.75
6.0,17560.5,276.25
7.0,18460.0,80.0
8.0,18960.0,76.25
9.0,19481.0,80.0
10.0,18920.0,78.75
11.0,19280.0,80.0
12.0,19120.0,77.5
13.0,19060.0,80.0
14.0,18860.0,78.75
15.0,19580.0,81.25
16.0,19500.5,725.03125
17.0,19760.0,82.5
18.0,19580.0,80.0
19.0,19800.0,76.25
20.0,19580.5,82.5
21.0,19400.5,77.5
22.0,19680.5,77.5
23.0,19940.0,81.25
24.0,19800.5,78.78125
25.0,19920.5,76.25
26.0,19740.0,80.0
27.0,19880.0,78.75
28.0,19800.0,80.0
29.0,19820.0,75.0
30.0,19940.0,81.25
31.0,19800.5,77.5
32.0,19840.0,517.5
33.0,19860.0,75.0
34.0,19820.5,75.0
35.0,19940.5,82.5
36.0,20040.0,82.5
37.0,19820.0,78.75
38.0,19860.5,78.75
39.0,20140.5,80.0
40.0,20040.0,81.25
41.0,19980.5,77.5
42.0,20000.5,82.5
43.0,20000.0,77.5
44.0,20080.0,83.75
45.0,19980.0,78.75
46.0,20120.0,90.0
47.0,20080.0,87.5
48.0,20120.0,76.25
49.0,20020.0,82.5
50.0,20140.0,80.0
51.0,20000.0,80.0
52.0,20060.5,76.25
53.0,20100.0,80.0
54.0,20061.0,81.25
55.0,20160.0,78.75
56.0,20120.0,72.5
57.0,20040.0,78.75
58.0,20020.0,82.5
59.0,20120.0,81.25
60.0,20060.0,83.75
61.0,20041.0,78.75
62.0,20140.5,81.25
63.0,20100.0,80.0
64.0,20180.0,73.75
65.0,20220.0,78.75
66.0,20160.0,82.5
67.0,20100.5,78.75
68.0,20180.0,77.5
69.0,20200.0,76.25
70.0,20160.5,81.25
71.0,20140.0,78.75
72.0,20100.5,78.75
73.0,20160.0,80.0
74.0,20260.5,77.53125
75.0,20200.0,75.0
76.0,20121.0,78.78125
77.0,20140.0,78.75
78.0,20160.5,82.5
79.0,20140.0,80.0
80.0,20241.0,83.75
81.0,20200.5,85.03125
82.0,20080.0,77.5
83.0,20160.0,86.25
84.0,20200.0,81.25
85.0,20220.0,78.75
86.0,20180.5,78.75
87.0,20140.0,77.5
88.0,20240.0,82.5
89.0,20300.5,86.25
90.0,20240.0,82.5
91.0,20161.0,77.5
92.0,20201.0,76.25
93.0,20220.5,77.5
94.0,20200.0,80.0
95.0,20240.0,76.25
96.0,20240.0,83.75
97.0,20240.5,76.25
98.0,20200.5,81.25
99.0,20280.5,77.5
100.0,20240.0,73.75
101.0,20280.0,78.75
102.0,20321.0,82.5
103.0,20300.0,75.0
104.0,20360.0,78.75
105.0,20420.5,77.5
106.0,20360.0,77.5
107.0,20320.0,81.25
108.0,20361.0,77.5
109.0,20360.0,77.5
110.0,20320.0,82.5
111.0,20320.0,83.75
112.0,20380.0,80.0
113.0,20320.0,76.25
114.0,20360.0,82.5
115.0,20360.0,81.25
116.0,20340.5,76.25
117.0,20380.5,75.0
118.0,20340.5,76.25
119.0,20360.0,76.25
120.0,20440.0,80.0
121.0,20320.0,82.5
122.0,20340.0,77.5
123.0,20300.0,77.5
124.0,20300.5,80.0
125.0,20360.0,75.0
126.0,20360.0,78.75
127.0,20340.0,82.5
128.0,20321.0,80.0
129.0,20360.0,77.5
130.0,20380.5,75.0
131.0,20340.5,80.0
132.0,20400.0,77.5
133.0,20380.0,82.5
134.0,20460.0,86.25
135.0,20400.5,76.25
136.0,20380.5,82.5
137.0,20440.0,512.5
138.0,20440.0,83.75
139.0,20360.0,82.5
140.0,20400.0,80.0
141.0,20360.0,78.75
142.0,20360.0,75.0
143.0,20420.0,75.0
144.0,20400.0,77.5
145.0,20400.0,82.5
146.0,20420.5,75.0
147.0,20440.0,80.0
148.0,20380.5,78.75
149.0,20400.0,78.75
150.0,20440.0,83.75
151.0,20400.0,77.5
152.0,20380.0,77.5
153.0,20480.0,81.25
154.0,20480.5,80.0
155.0,20480.0,78.75
156.0,20440.5,77.5
157.0,20440.0,78.75
158.0,20560.0,81.25
159.0,20440.5,77.5
160.0,20441.0,78.75
161.0,20440.0,81.25
162.0,20440.0,78.75
163.0,20380.0,243.75
164.0,20440.0,77.5
165.0,20480.0,78.75
166.0,20481.0,80.0
167.0,20440.0,82.5
168.0,20481.0,80.0
169.0,20520.0,78.75
170.0,20480.0,87.5
171.0,20460.0,81.25
172.0,20440.0,83.75
173.0,20401.0,82.5
174.0,20480.0,75.0
175.0,20500.5,85.0
176.0,20520.0,77.5
177.0,20480.0,90.0
178.0,20520.0,78.78125
179.0,20500.0,78.75
180.0,20480.0,77.5
181.0,20440.0,77.5
182.0,20481.0,76.25
183.0,20520.0,76.25
184.0,20540.0,75.0
185.0,20480.0,83.75
186.0,20460.0,80.0
187.0,20500.5,78.75
188.0,20480.0,78.75
189.0,20540.0,78.75
190.0,20500.5,77.5
191.0,20560.0,75.0
192.0,20500.5,80.0
193.0,20600.0,87.5
194.0,20520.0,76.25
195.0,20560.0,75.0
196.0,20640.0,77.5
197.0,20560.0,78.75
198.0,20560.0,82.5
199.0,20460.5,77.5
200.0,20600.5,78.75
201.0,20560.0,83.75
202.0,20560.5,82.5
203.0,20560.0,78.75
204.0,20560.0,80.0
205.0,20560.0,82.5
206.0,20560.0,83.75
207.0,20600.0,80.0
208.0,20600.5,75.0
209.0,20600.0,78.75
210.0,20560.0,76.25
211.0,20521.0,77.5
212.0,20600.0,77.5
213.0,20620.5,80.0
214.0,20480.5,81.25
215.0,20580.0,80.0
216.0,20560.0,80.0
217.0,20560.0,80.0
218.0,20600.0,76.25
219.0,20600.0,80.0
220.0,20580.5,80.0
221.0,20600.0,83.75
222.0,20640.5,80.0
223.0,20580.0,82.5
224.0,20600.0,77.5
225.0,20560.0,77.5
226.0,20560.0,77.5
227.0,20640.5,82.5
228.0,20640.0,80.0
229.0,20620.5,80.0
230.0,20640.0,80.0
231.0,20640.0,76.25
232.0,20561.0,73.75
233.0,20640.0,83.75
234.0,20681.0,75.0
235.0,20680.0,77.5
236.0,20580.5,76.25
237.0,20640.0,78.75
238.0,20680.0,80.0
239.0,20620.5,73.75
240.0,20560.5,83.75
241.0,20680.0,78.75
242.0,20660.5,76.25
243.0,20640.0,76.25
244.0,20681.0,80.0
245.0,20620.0,80.0
246.0,20660.0,237.53125
247.0,20600.0,83.75
248.0,20680.5,76.25
249.0,20640.0,77.5
250.0,20641.0,73.75
251.0,20720.0,76.25
252.0,20640.0,82.5
253.0,20600.0,81.25
254.0,20640.0,80.0
255.0,20640.0,77.5
256.0,20680.0,78.75
257.0,20680.0,73.75
258.0,20720.0,78.75
259.0,20680.0,75.0
260.0,20720.0,80.0
261.0,20640.5,80.0
262.0,20620.5,77.5
263.0,20640.0,81.25
264.0,20680.5,73.75
265.0,20720.0,78.75
266.0,20740.5,76.25
267.0,20640.0,75.0
268.0,20680.0,82.5
269.0,20720.0,77.53125
270.0,20680.0,81.25
271.0,20700.5,77.5
272.0,20720.0,77.5
273.0,20720.0,78.75
274.0,20680.5,76.25
275.0,20680.0,75.0
276.0,20700.0,78.75
277.0,20720.0,81.25
278.0,20700.5,80.0
279.0,20720.5,80.0
280.0,20720.0,81.25
281.0,20760.0,80.0
282.0,20740.0,78.75
283.0,20680.0,80.0
284.0,20720.0,83.75
285.0,20720.0,80.0
286.0,20720.0,90.0
287.0,20681.0,77.5
288.0,20780.0,81.25
289.0,20760.0,83.75
290.0,20760.0,81.25
291.0,20800.0,83.75
292.0,20680.0,76.25
293.0,20720.0,78.75
294.0,20780.5,78.75
295.0,20720.5,78.75
296.0,20720.5,80.0
297.0,20760.0,78.75
298.0,20800.0,78.75
299.0,20761.0,585.0
300.0,20720.0,81.28125
301.0,20780.0,77.5
302.0,20780.5,77.5
303.0,20760.5,81.25
304.0,20800.0,78.75
305.0,20760.0,78.75
306.0,20760.5,80.0
307.0,20721.0,86.25
308.0,20800.0,85.0
309.0,20760.0,81.25
310.0,20820.0,77.5
311.0,20800.0,81.25
312.0,20840.0,77.5
313.0,20760.0,78.75
314.0,20800.0,78.75
315.0,20760.0,77.5
316.0,20740.5,83.75
317.0,20800.5,80.0
318.0,20740.5,78.75
319.0,20760.0,78.75
320.0,20880.0,80.0
321.0,20800.5,80.0
322.0,20761.0,78.75
323.0,20800.0,78.75
324.0,20800.0,80.0
325.0,20760.0,77.5
326.0,20760.0,76.25
327.0,20761.0,77.5
328.0,20860.0,80.0
329.0,20840.0,82.5
330.0,20800.0,81.25
331.0,20840.0,82.5
332.0,20800.0,75.0
333.0,20860.5,80.0
334.0,20800.5,77.5
335.0,20800.0,76.25
336.0,20840.0,81.25
337.0,20840.0,80.0
338.0,20880.0,78.75
339.0,20840.0,82.5
340.0,20840.5,77.5
341.0,20841.0,78.75
342.0,20800.0,81.25
343.0,20880.5,81.25
344.0,20880.0,81.25
345.0,20840.5,81.25
346.0,20880.0,81.25
347.0,20880.0,77.5
348.0,20840.5,78.75
349.0,20840.0,77.5
350.0,20880.5,80.0
351.0,20840.5,73.75
352.0,20900.5,81.25
353.0,20880.0,82.5
354.0,20860.0,80.0
355.0,20880.0,77.5
356.0,20840.5,80.0
357.0,20840.0,78.75
358.0,20920.0,85.0
359.0,20920.0,81.25
360.0,20920.0,658.75
361.0,20880.0,75.0
362.0,20840.0,78.78125
363.0,20940.5,81.25
364.0,20880.5,77.5
365.0,20880.0,76.25
366.0,20880.5,78.75
367.0,20880.0,77.5
368.0,20880.0,78.75
369.0,20940.5,81.25
370.0,20920.0,81.25
371.0,20920.0,77.5
372.0,20880.0,77.5
373.0,20940.5,86.25
374.0,20920.5,85.0
375.0,20900.5,77.5
376.0,20940.5,83.75
377.0,20880.5,76.25
378.0,20881.0,77.5
379.0,20920.0,83.75
380.0,20900.0,83.75
381.0,20921.0,83.75
382.0,20940.5,85.0
383.0,20960.0,78.75
384.0,20920.0,81.25
385.0,21000.0,83.75
386.0,20920.0,76.25
387.0,21000.0,83.75
388.0,21000.0,80.0
389.0,20960.0,77.5
390.0,20920.5,81.25
391.0,20960.0,81.25
392.0,20920.0,77.5
393.0,20920.0,71.25
394.0,20960.5,81.25
395.0,20920.5,80.0
396.0,20920.0,76.25
397.0,20960.0,77.5
398.0,20960.5,77.5
399.0,20960.0,78.75
400.0,20920.0,76.25
401.0,21020.5,75.0
402.0,21000.0,80.0
403.0,20920.0,81.25
404.0,20960.0,81.25
405.0,20960.0,77.5
406.0,20980.5,85.0
407.0,20960.0,85.0
408.0,20960.0,82.5
409.0,20940.5,80.0
410.0,21020.5,80.0
411.0,20960.0,81.25
412.0,20960.0,78.75
413.0,20961.0,77.5
414.0,21000.0,78.75
415.0,20960.5,87.5
416.0,21040.0,82.5
417.0,21020.5,81.25
418.0,21000.0,83.75
419.0,21000.0,85.0
420.0,21000.5,82.5
421.0,21040.0,75.0
422.0,21040.0,76.25
423.0,21000.0,83.75
424.0,21000.5,85.0
425.0,21060.5,77.5
426.0,21000.0,82.5
427.0,21020.0,78.75
428.0,21040.0,81.25
429.0,21040.5,81.25
430.0,21080.5,81.25
431.0,21001.0,87.5
432.0,21040.5,77.5
