size,time,resolution
1,920.0,80.625
2,1280.0,75.625
3,1440.0,77.5
4,1500.0,78.75
5,1520.0,77.5
6,1560.0,78.75
7,1600.0,75.625
8,1640.0,76.875
9,1680.0,75.0
10,1660.0,77.5
11,1680.0,77.5
12,1680.0,78.75
13,1720.0,81.875
14,1720.0,83.75
15,1760.0,76.25
16,1760.0,74.375
17,1720.0,73.75
18,1760.0,77.5
19,1760.0,77.5
20,1720.5,72.5
21,1760.0,75.625
22,1760.0,77.5
23,1760.0,73.75
24,1760.0,76.875
25,1800.0,76.875
26,1760.0,75.625
27,1800.0,79.375
28,1800.0,76.875
29,1800.0,77.5
30,1800.0,77.5
31,1800.0,78.125
32,1800.0,79.375
33,1800.0,76.25
34,1840.0,73.75
35,1800.0,74.375
36,1800.0,77.5
37,1800.0,76.875
38,1840.0,74.375
39,1800.0,73.75
40,1840.0,77.515625
41,1840.0,76.25
42,1840.0,76.875
43,1840.0,78.125
44,1840.0,80.0
45,1840.0,78.75
46,1840.0,76.25
47,1840.0,75.0
48,1840.0,77.5
49,1840.0,76.875
50,1840.0,76.875
51,1840.0,73.140625
52,1840.0,77.5
53,1840.0,75.625
54,1880.0,79.375
55,1880.0,78.75
56,1880.0,80.0
57,1880.0,75.0
58,1880.0,75.625
59,1880.0,77.5
60,1880.0,81.875
61,1880.0,78.78125
62,1880.0,141.25
63,1880.0,77.5
64,1880.0,138.75
65,1880.0,77.5
66,1880.0,80.0
67,1880.0,74.375
68,1880.0,75.625
69,1880.0,78.125
70,1880.0,73.125
71,1880.0,76.25
72,1880.0,75.625
73,1880.0,76.25
74,1920.0,78.125
75,1920.0,76.875
76,1920.0,77.5
77,1920.0,78.140625
78,1920.0,76.875
79,1880.0,78.125
80,1880.0,71.875
81,1920.0,76.875
82,1920.0,77.5
83,1920.0,76.875
84,1920.0,76.25
85,1920.0,78.75
86,1920.0,78.125
87,1920.0,82.5
88,1920.0,78.75
89,1920.0,75.0
90,1920.0,75.625
91,1920.0,79.375
92,1920.0,81.25
93,1920.0,77.5
94,1960.0,74.375
95,1960.0,76.875
96,1920.0,81.875
97,1960.0,78.75
98,1960.0,78.125
99,1960.0,78.75
100,1960.0,78.75
101,1960.0,79.375
102,1960.0,75.0
103,1960.0,78.75
104,1960.0,75.625
105,1960.0,77.5
106,1960.0,78.125
107,1960.0,75.625
108,1960.0,79.375
109,1960.0,75.625
110,1960.0,77.5
111,1960.0,72.5
112,1960.0,77.5
113,1960.0,73.75
114,1960.0,74.375
115,1960.0,73.75
116,2000.0,73.125
117,1960.0,79.375
118,2000.0,72.515625
119,2000.0,74.375
120,2000.0,76.875
121,2000.0,81.875
122,2000.0,75.0
123,2000.0,80.0
124,2000.0,78.75
125,2000.0,73.75
126,2000.0,76.25
127,2040.0,76.25
128,2000.0,81.25
129,2000.0,77.5
130,2000.0,78.125
131,2000.0,78.765625
132,2000.0,77.5
133,2000.0,78.765625
134,2000.0,77.5
135,2000.0,72.5
136,2000.0,74.375
137,2000.0,74.375
138,2000.0,78.125
139,2000.0,76.875
140,2000.0,73.75
141,2020.5,76.875
142,2040.0,75.625
143,2040.0,77.5
144,2040.0,77.5
145,2040.0,75.625
146,2040.0,78.125
147,2040.0,75.625
148,2040.0,73.75
149,2040.0,77.5
150,2040.0,78.75
151,2040.0,76.875
152,2040.0,74.375
153,2040.0,76.875
154,2040.0,74.375
155,2040.0,76.25
156,2040.0,76.25
157,2040.0,79.375
158,2080.0,80.0
159,2080.0,75.0
160,2080.0,75.625
161,2080.0,142.515625
162,2080.0,76.25
163,2040.0,77.515625
164,2080.0,72.5
165,2040.0,74.375
166,2080.0,75.625
167,2080.0,77.5
168,2080.0,79.375
169,2080.0,76.25
170,2080.0,80.0
171,2080.0,75.625
172,2080.0,75.625
173,2080.0,76.25
174,2080.0,77.5
175,2080.0,76.875
176,2080.0,71.875
177,2080.0,79.375
178,2080.0,75.625
179,2080.0,73.75
180,2100.0,77.5
181,2080.0,76.25
182,2120.0,76.875
183,2080.0,76.25
184,2120.0,75.0
185,2120.0,76.25
186,2120.0,81.25
187,2120.0,76.25
188,2120.0,79.375
189,2120.0,76.25
190,2120.0,77.5
191,2120.0,75.625
192,2120.0,77.5
193,2120.0,76.875
194,2120.0,74.375
195,2120.0,75.0
196,2120.0,80.0
197,2120.0,71.25
198,2140.0,79.375
199,2120.0,78.75
200,2120.0,73.125
201,2120.5,77.5
202,2120.0,76.875
203,2120.0,78.125
204,2160.0,72.5
205,2120.0,79.375
206,2120.0,73.125
207,2160.0,78.125
208,2120.0,75.625
209,2160.0,78.125
210,2160.0,76.875
211,2160.0,77.5
212,2160.0,78.125
213,2160.0,75.0
214,2160.0,78.75
215,2160.0,75.0
216,2160.0,76.875
217,2160.0,73.125
218,2160.0,76.875
219,2160.0,78.765625
220,2160.0,76.25
221,2160.0,75.625
222,2160.0,76.25
223,2200.0,75.0
224,2160.0,76.25
225,2160.0,75.625
226,2200.0,76.25
227,2180.5,78.125
228,2200.0,76.25
229,2200.0,76.25
230,2200.0,85.0
231,2200.0,76.875
232,2200.0,77.5
233,2200.0,75.0
234,2200.0,76.25
235,2200.0,81.25
236,2200.0,80.0
237,2200.0,76.25
238,2200.0,75.625
239,2200.0,77.515625
240,2200.0,78.125
241,2200.0,76.875
242,2200.0,75.625
243,2220.0,77.5
244,2200.0,77.5
245,2200.0,76.875
246,2200.0,79.375
247,2240.0,75.625
248,2201.0,75.625
249,2240.0,75.0
250,2240.0,78.75
251,2240.0,75.625
252,2240.0,78.125
253,2240.0,75.625
254,2240.0,76.25
255,2240.0,74.375
256,2240.0,78.125
257,2240.0,76.25
258,2240.0,75.0
259,2240.0,73.125
260,2240.0,76.25
261,2240.0,76.875
262,2240.0,78.75
263,2240.0,79.390625
264,2240.0,79.375
265,2240.0,80.0
266,2240.0,77.5
267,2240.0,76.25
268,2280.0,78.75
269,2280.0,80.0
270,2280.0,80.0
271,2280.0,78.75
272,2280.0,74.375
273,2280.0,75.625
274,2280.0,76.25
275,2280.0,77.5
276,2280.0,75.625
277,2280.0,78.75
278,2280.0,78.75
279,2280.0,75.625
280,2280.0,75.625
281,2280.0,80.0
282,2280.0,76.25
283,2280.0,76.875
284,2280.0,77.5
285,2280.0,75.015625
286,2320.0,75.0
287,2320.0,74.375
288,2320.0,78.125
289,2320.0,76.25
290,2320.0,79.375
291,2280.0,76.875
292,2320.0,80.625
293,2320.0,83.75
294,2320.0,77.5
295,2320.0,76.875
296,2320.0,78.75
297,2320.0,77.5
298,2320.0,77.5
299,2320.0,77.5
300,2320.0,76.25
301,2320.0,75.625
302,2320.0,79.375
303,2320.0,78.75
304,2320.0,80.625
305,2320.0,81.875
306,2320.0,75.0
307,2360.0,78.125
308,2320.0,75.0
309,2320.0,77.5
310,2340.0,256.25
311,2360.0,75.0
312,2360.0,76.875
313,2360.0,75.0
314,2360.0,77.5
315,2360.0,74.375
316,2360.0,77.5
317,2360.0,75.0
318,2360.0,79.390625
319,2360.0,76.875
320,2360.0,78.75
321,2360.0,78.75
322,2360.0,80.625
323,2360.0,79.375
324,2360.0,76.875
325,2360.0,78.75
326,2360.0,76.890625
327,2360.0,75.625
328,2360.0,78.75
329,2360.0,78.125
330,2360.0,76.875
331,2400.0,76.25
332,2400.0,77.5
333,2400.0,75.0
334,2400.0,75.0
335,2400.0,91.25
336,2400.0,79.375
337,2400.0,77.5
338,2400.0,76.875
339,2400.0,76.875
340,2400.0,75.625
341,2400.0,76.875
342,2400.0,74.375
343,2400.0,79.375
344,2400.0,75.625
345,2400.0,76.25
346,2400.0,77.5
347,2400.0,76.875
348,2400.0,76.875
349,2400.0,75.625
350,2400.0,74.375
351,2400.0,75.0
352,2440.0,75.625
353,2400.0,203.125
354,2440.0,73.75
355,2440.0,76.25
356,2440.0,75.625
357,2440.0,75.625
358,2440.0,76.265625
359,2440.0,78.125
360,2440.0,79.375
361,2440.0,76.25
362,2440.0,78.125
363,2440.0,78.125
364,2440.0,76.875
365,2440.0,78.75
366,2440.0,79.375
367,2440.0,77.5
368,2440.0,76.875
369,2440.0,76.875
370,2440.0,75.625
371,2460.0,73.75
372,2440.0,82.5
373,2441.0,78.75
374,2460.5,78.125
375,2440.0,77.5
376,2480.0,76.25
377,2460.0,76.25
378,2480.0,80.0
379,2480.0,74.375
380,2480.0,126.25
381,2480.0,78.125
382,2480.0,76.265625
383,2480.0,78.75
384,2480.0,80.0
385,2480.0,75.625
386,2480.0,77.5
387,2480.0,76.875
388,2480.0,75.0
389,2480.0,73.125
390,2480.0,75.0
391,2480.0,74.375
392,2480.0,76.25
393,2500.5,76.875
394,2480.0,79.375
395,2520.0,78.75
396,2520.0,76.25
397,2500.0,78.125
398,2520.0,78.75
399,2520.0,75.625
400,2520.0,78.75
401,2520.0,78.125
402,2520.0,76.25
403,2520.0,78.125
404,2520.0,75.0
405,2520.0,75.625
406,2520.0,78.125
407,2520.0,76.875
408,2520.0,79.375
409,2520.0,76.25
410,2520.0,80.0
411,2520.0,78.125
412,2520.0,73.75
413,2520.0,77.5
414,2520.0,70.625
415,2520.0,79.375
416,2560.0,75.0
417,2520.0,76.875
418,2560.0,80.625
419,2560.0,137.5
420,2560.0,73.75
421,2560.0,76.875
422,2560.0,75.625
423,2560.0,77.5
424,2560.0,75.0
425,2560.0,77.5
426,2560.0,80.0
427,2560.0,77.5
428,2560.0,75.625
429,2560.0,76.875
430,2560.0,76.25
431,2560.0,75.625
432,2560.0,210.0
433,2560.0,77.5
434,2560.0,76.875
435,2560.0,75.625
436,2560.0,75.640625
437,2560.0,76.875
438,2600.0,75.625
439,2600.0,78.75
440,2600.0,75.625
441,2600.0,77.5
442,2600.0,80.625
443,2600.0,74.375
444,2600.0,77.5
445,2600.0,74.375
446,2600.0,77.5
447,2600.0,77.5
448,2600.0,74.375
449,2600.0,76.875
450,2600.0,76.25
451,2600.0,77.5
452,2600.0,76.25
453,2600.0,80.0
454,2600.0,76.25
455,2600.0,74.375
456,2600.0,76.265625
457,2600.0,172.5
458,2600.0,76.875
459,2600.0,78.125
460,2640.0,79.375
461,2600.0,78.125
462,2640.0,78.75
463,2640.0,78.75
464,2640.0,80.0
465,2640.0,80.0
466,2640.0,78.125
467,2640.0,78.75
468,2640.0,133.75
469,2640.0,76.875
470,2640.0,76.875
471,2640.0,75.625
472,2640.0,80.625
473,2640.0,80.0
474,2640.0,79.375
475,2640.0,76.25
476,2640.0,74.375
477,2640.0,78.75
478,2640.0,79.375
479,2640.0,76.25
480,2640.0,85.0
481,2660.0,77.5
482,2680.0,73.75
