size,time,resolution
1.0,1050.0,184.375
2.0,1200.0,181.25
3.0,1300.0,203.125
4.0,1300.0,175.0
5.0,1400.0,190.625
6.0,1400.0,190.625
7.0,1300.0,203.125
8.0,1400.0,181.25
9.0,1400.0,193.75
10.0,1500.0,184.375
11.0,1400.0,190.625
12.0,1450.0,184.375
13.0,1500.0,200.0
14.0,1450.0,187.5
15.0,1400.0,187.5
16.0,1400.0,196.875
17.0,1400.0,184.375
18.0,1400.0,178.125
19.0,1200.0,178.125
20.0,1400.0,640.625
21.0,1500.0,181.25
22.0,1400.0,178.125
23.0,1300.0,162.5
24.0,1400.0,190.625
25.0,1400.0,175.0
26.0,1400.0,193.75
27.0,1400.0,203.125
28.0,1400.0,184.375
29.0,1400.0,178.125
30.0,1500.0,200.0
31.0,1400.0,190.625
32.0,1400.0,175.0
33.0,1400.0,190.625
34.0,1450.0,190.625
35.0,1500.0,193.75
36.0,1400.0,190.625
37.0,1400.0,178.125
38.0,1450.0,184.375
39.0,1300.0,162.5
40.0,1450.0,193.75
41.0,1400.0,168.75
42.0,1500.0,162.5
43.0,1400.0,175.0
44.0,1400.0,175.0
45.0,1500.0,184.375
46.0,1500.0,181.25
47.0,1500.0,178.125
48.0,1500.0,187.5
49.0,1500.0,193.75
50.0,1500.0,196.875
51.0,1500.0,171.875
52.0,1500.0,184.375
53.0,1500.0,181.25
54.0,1300.0,165.625
55.0,1500.0,178.125
56.0,1400.0,193.75
57.0,1500.0,190.625
58.0,1500.0,190.625
59.0,1500.0,184.375
60.0,1500.0,184.375
61.0,1500.0,200.0
62.0,1500.0,187.5
63.0,1500.0,178.125
64.0,1550.0,178.125
65.0,1600.0,184.375
66.0,1500.0,168.75
67.0,1500.0,196.875
68.0,1300.0,165.625
69.0,1500.0,184.375
70.0,1450.0,178.125
71.0,1500.0,181.25
72.0,1600.0,184.375
73.0,1600.0,200.0
74.0,1500.0,196.875
75.0,1600.0,187.5
76.0,1600.0,193.75
77.0,1600.0,175.0
78.0,1600.0,193.75
79.0,1500.0,175.0
80.0,1550.0,184.375
81.0,1500.0,190.625
82.0,1700.0,190.625
83.0,1500.0,187.5
84.0,1600.0,165.625
85.0,1600.0,181.25
86.0,1400.0,150.0
87.0,1600.0,190.625
88.0,1500.0,178.125
89.0,1700.0,187.5
90.0,1550.0,171.875
91.0,1600.0,196.875
92.0,1700.0,187.5
93.0,1600.0,187.5
94.0,1600.0,190.625
95.0,1600.0,203.125
96.0,1500.0,184.375
97.0,1500.0,184.375
98.0,1600.0,178.125
99.0,1600.0,190.625
100.0,1600.0,184.375
101.0,1600.0,181.25
102.0,1600.0,184.375
103.0,1600.0,165.625
104.0,1400.0,156.25
105.0,1600.0,178.125
106.0,1600.0,181.25
107.0,1600.0,187.5
108.0,1600.0,193.75
109.0,1700.0,187.5
110.0,1600.0,187.5
111.0,1650.0,168.75
112.0,1700.0,200.0
113.0,1700.0,193.75
114.0,1600.0,306.25
115.0,1650.0,190.625
116.0,1650.0,184.375
117.0,1800.0,203.125
118.0,1700.0,184.375
119.0,1700.0,168.75
120.0,1700.0,181.25
121.0,1600.0,168.75
122.0,1700.0,196.875
123.0,1700.0,175.0
124.0,1700.0,193.75
125.0,1700.0,168.75
126.0,1700.0,184.375
127.0,1700.0,190.625
128.0,1600.0,187.5
129.0,1700.0,181.25
130.0,1700.0,178.125
131.0,1700.0,190.625
132.0,1700.0,187.5
133.0,1700.0,184.375
134.0,1800.0,187.5
135.0,1700.0,184.375
136.0,1750.0,203.125
137.0,1700.0,184.375
138.0,1800.0,190.625
139.0,1800.0,190.625
140.0,1800.0,200.0
141.0,1800.0,212.5
142.0,1800.0,209.375
143.0,1900.0,200.0
144.0,1750.0,193.75
145.0,1800.0,193.75
146.0,1800.0,187.5
147.0,1600.0,187.5
148.0,1700.0,187.5
149.0,1800.0,187.5
150.0,1700.0,178.125
151.0,1800.0,181.25
152.0,1800.0,187.5
153.0,1800.0,200.0
154.0,1800.0,193.75
155.0,1800.0,178.125
156.0,1800.0,206.25
157.0,1800.0,181.25
158.0,1800.0,209.375
159.0,1800.0,184.375
160.0,1800.0,203.125
161.0,1800.0,178.125
162.0,1900.0,187.5
163.0,1800.0,193.75
164.0,1800.0,196.875
165.0,1900.0,178.125
166.0,1800.0,175.0
167.0,1900.0,193.75
168.0,1850.0,190.625
169.0,1800.0,200.0
170.0,1900.0,178.125
171.0,1800.0,193.75
172.0,1900.0,181.25
173.0,1900.0,190.625
174.0,1800.0,200.0
175.0,1900.0,178.125
176.0,1850.0,171.875
177.0,1900.0,175.0
178.0,1800.0,178.125
179.0,1900.0,187.5
180.0,1850.0,171.875
181.0,1800.0,193.75
182.0,1800.0,181.25
183.0,1900.0,181.25
184.0,1900.0,193.75
185.0,1900.0,190.625
186.0,1800.0,193.75
187.0,1900.0,171.875
188.0,1800.0,171.875
189.0,1800.0,190.625
190.0,1900.0,181.25
191.0,1800.0,187.5
192.0,1800.0,187.5
193.0,1900.0,187.5
194.0,1900.0,178.125
195.0,1900.0,212.5
196.0,1900.0,200.0
197.0,1900.0,209.375
198.0,2000.0,203.125
199.0,2000.0,206.25
200.0,1900.0,171.875
201.0,1900.0,178.125
202.0,1900.0,187.5
203.0,1600.0,171.875
204.0,1900.0,190.625
205.0,1900.0,196.875
206.0,2000.0,184.375
207.0,2000.0,184.375
208.0,2000.0,196.875
209.0,2000.0,190.625
210.0,1900.0,187.5
211.0,2000.0,178.125
212.0,2000.0,212.5
213.0,1900.0,215.625
214.0,2000.0,193.75
215.0,2000.0,193.75
216.0,1900.0,193.75
217.0,2000.0,184.375
218.0,2000.0,187.5
219.0,2000.0,209.375
220.0,2000.0,190.625
221.0,2000.0,200.0
222.0,2000.0,178.125
223.0,2000.0,175.0
224.0,2000.0,175.0
225.0,2000.0,187.5
226.0,2000.0,190.625
227.0,2000.0,178.125
228.0,1950.0,168.75
229.0,2000.0,181.25
230.0,2100.0,200.0
231.0,2000.0,184.375
232.0,2000.0,175.0
233.0,2000.0,190.625
234.0,2000.0,190.625
235.0,2000.0,187.5
236.0,2100.0,184.375
237.0,2050.0,187.5
238.0,2000.0,187.5
239.0,2000.0,209.375
240.0,2000.0,178.125
241.0,2100.0,196.875
242.0,2000.0,168.75
243.0,2100.0,190.625
244.0,2000.0,181.25
245.0,2100.0,178.125
246.0,2000.0,184.375
247.0,2000.0,168.75
248.0,2000.0,181.25
249.0,2100.0,181.25
250.0,2100.0,181.25
251.0,2100.0,200.0
252.0,2000.0,193.75
253.0,2100.0,184.375
254.0,2100.0,187.5
255.0,2100.0,184.375
256.0,2100.0,171.875
257.0,2100.0,178.125
258.0,2100.0,206.25
259.0,2050.0,184.375
260.0,2000.0,181.25
261.0,2100.0,190.625
262.0,2100.0,184.375
263.0,2100.0,200.0
264.0,2100.0,175.0
265.0,2100.0,187.5
266.0,2150.0,200.0
267.0,2100.0,190.625
268.0,2100.0,181.25
269.0,2100.0,181.25
270.0,2100.0,206.25
271.0,2100.0,175.0
272.0,2050.0,184.375
273.0,2100.0,190.625
274.0,2100.0,168.75
275.0,2200.0,184.375
276.0,2200.0,187.5
277.0,2200.0,190.625
278.0,2100.0,178.125
279.0,2100.0,193.75
280.0,2200.0,203.125
281.0,2100.0,178.125
282.0,2100.0,200.0
283.0,2200.0,184.375
284.0,2200.0,181.25
285.0,2150.0,187.5
286.0,2100.0,187.5
287.0,2100.0,190.625
288.0,2100.0,175.0
289.0,2200.0,193.75
290.0,2200.0,181.25
291.0,2150.0,184.375
292.0,2200.0,193.75
293.0,2100.0,175.0
294.0,2150.0,193.75
295.0,2250.0,184.375
296.0,2200.0,184.375
297.0,2200.0,187.5
298.0,2200.0,200.0
299.0,2200.0,203.125
300.0,2200.0,187.5
301.0,2300.0,181.25
302.0,2200.0,193.75
303.0,2200.0,175.0
304.0,2300.0,193.75
305.0,2300.0,200.0
306.0,2300.0,200.0
307.0,2200.0,206.25
308.0,2200.0,190.625
309.0,2300.0,193.75
310.0,2200.0,184.375
311.0,2300.0,200.0
312.0,2200.0,190.625
313.0,2200.0,187.5
314.0,2300.0,178.125
315.0,2300.0,187.5
316.0,2200.0,184.375
317.0,2300.0,206.25
318.0,2400.0,196.875
319.0,2400.0,234.375
320.0,2300.0,181.25
321.0,2400.0,187.5
322.0,2200.0,193.75
323.0,2400.0,184.375
324.0,2200.0,181.25
325.0,2250.0,731.25
326.0,2300.0,187.5
327.0,2300.0,190.625
328.0,2300.0,181.25
329.0,2300.0,193.75
330.0,2200.0,175.0
331.0,2300.0,193.75
332.0,2300.0,184.375
333.0,2300.0,193.75
334.0,2300.0,187.5
335.0,2300.0,175.0
336.0,2300.0,175.0
337.0,2400.0,187.5
338.0,2300.0,187.5
339.0,2300.0,193.75
340.0,2300.0,190.625
341.0,2300.0,187.5
342.0,2300.0,184.375
343.0,2350.0,175.0
344.0,2400.0,184.375
345.0,2350.0,209.375
346.0,2350.0,196.875
347.0,2400.0,181.25
348.0,2300.0,181.25
349.0,2400.0,193.75
350.0,2300.0,187.5
351.0,2050.0,168.75
352.0,2250.0,162.5
353.0,2400.0,178.125
354.0,2400.0,221.875
355.0,2400.0,178.125
356.0,2300.0,200.0
357.0,2400.0,196.875
358.0,2400.0,190.625
359.0,2400.0,184.375
360.0,2400.0,203.125
361.0,2450.0,196.875
362.0,2400.0,187.5
363.0,2400.0,171.875
364.0,2400.0,196.875
365.0,2400.0,187.5
366.0,2300.0,187.5
367.0,2400.0,187.5
368.0,2500.0,175.0
369.0,2400.0,209.375
370.0,2400.0,190.625
371.0,2350.0,171.875
372.0,2400.0,187.5
373.0,2400.0,184.375
374.0,2400.0,181.25
375.0,2300.0,187.5
376.0,2400.0,178.125
377.0,2400.0,168.75
378.0,2400.0,196.875
379.0,2400.0,165.625
380.0,2500.0,181.25
381.0,2500.0,187.5
382.0,2400.0,193.75
383.0,2400.0,181.25
384.0,2500.0,178.125
385.0,2500.0,187.5
386.0,2400.0,178.125
387.0,2500.0,196.875
388.0,2450.0,178.125
389.0,2450.0,193.75
390.0,2400.0,175.0
391.0,2400.0,187.5
392.0,2500.0,184.375
393.0,2500.0,165.625
394.0,2500.0,184.375
395.0,2500.0,171.875
396.0,2500.0,193.75
397.0,2500.0,187.5
398.0,2500.0,190.625
399.0,2500.0,181.25
400.0,2500.0,171.875
401.0,2550.0,200.0
402.0,2600.0,206.25
403.0,2500.0,184.375
404.0,2500.0,187.5
405.0,2500.0,175.0
406.0,2600.0,181.25
407.0,2500.0,193.75
408.0,2550.0,165.625
409.0,2500.0,193.75
410.0,2400.0,181.25
411.0,2500.0,178.125
412.0,2400.0,168.75
413.0,2500.0,187.5
414.0,2400.0,181.25
415.0,2500.0,193.75
416.0,2500.0,200.0
417.0,2600.0,184.375
418.0,2600.0,200.0
419.0,2500.0,918.75
420.0,2500.0,181.25
421.0,2600.0,190.625
