size,min_val,max_val,time,resolution,stdev,mad
100,1,100000,173402.0,111.25,17647.096,4720.0
103,1,100000,173662.0,85.004,8229.652,5220.0
107,1,100000,173862.0,88.281,7121.432,5020.0
110,1,100000,168102.0,86.406,7315.556,380.0
114,1,100000,173022.0,88.281,25477.284,4840.5
118,1,100000,173662.0,87.191,7316.634,5300.0
123,1,100000,172942.0,87.656,6323.172,4620.0
127,1,100000,172782.0,97.188,6770.926,4500.0
131,1,100000,168781.5,131.723,6902.829,1140.0
136,1,100000,172422.0,84.375,7173.118,4420.0
141,1,100000,172802.0,87.812,7185.252,4700.0
146,1,100000,171801.0,84.688,7091.988,3479.0
151,1,100000,171862.0,82.969,7074.199,3600.5
156,1,100000,172322.0,80.625,7355.834,4260.5
162,1,100000,173322.0,84.535,8115.023,5080.0
167,1,100000,172422.0,82.035,7180.04,4420.0
173,1,100000,172302.0,80.0,7477.05,4220.5
179,1,100000,173022.0,82.969,7375.913,4680.5
186,1,100000,173482.0,81.562,7605.4,5260.0
192,1,100000,174101.5,83.75,8119.832,5679.5
199,1,100000,172842.0,81.875,7992.897,4720.0
206,1,100000,173761.5,83.281,7700.647,5000.0
213,1,100000,173242.0,80.312,7136.578,4760.0
221,1,100000,173162.0,80.781,7054.961,4720.0
229,1,100000,172422.0,83.438,8018.113,4220.0
237,1,100000,172802.0,80.629,7687.706,4400.5
245,1,100000,173342.0,81.406,7284.889,4700.0
254,1,100000,174482.0,80.781,7273.014,5340.0
263,1,100000,174462.0,118.438,8667.712,5240.5
272,1,100000,173401.5,81.094,8399.194,4780.0
281,1,100000,172281.5,79.062,7211.307,3879.5
291,1,100000,174442.0,81.406,8013.618,5640.0
301,1,100000,174041.5,80.0,7125.136,5300.0
312,1,100000,173442.0,80.781,7829.495,4720.0
323,1,100000,173702.0,79.688,7375.276,4860.0
334,1,100000,174121.5,80.625,7950.496,5019.5
346,1,100000,173542.0,80.469,7816.54,4720.5
358,1,100000,174582.0,80.004,7296.347,5400.0
371,1,100000,174622.0,82.348,7186.843,5340.0
384,1,100000,173462.0,82.031,7980.027,4440.5
398,1,100000,169042.0,80.156,6926.164,280.0
412,1,100000,173221.5,83.594,7047.531,4179.5
426,1,100000,171882.0,82.504,7245.297,3160.0
441,1,100000,169402.0,82.195,8682.491,600.0
457,1,100000,174781.5,80.156,7353.19,5080.0
473,1,100000,174642.0,82.348,8257.488,4840.0
489,1,100000,174122.0,82.031,7271.523,4760.0
506,1,100000,169482.0,80.469,9337.624,401.0
524,1,100000,174861.5,83.438,6321.977,5059.5
543,1,100000,174862.0,85.0,7554.446,5100.0
562,1,100000,175822.0,85.789,8345.554,5440.5
582,1,100000,175462.0,95.938,7468.829,5280.0
602,1,100000,175082.0,83.438,22283.165,5020.5
623,1,100000,174842.0,82.344,7930.012,4920.0
645,1,100000,175902.0,80.625,7828.909,5320.0
668,1,100000,174122.0,82.656,8060.719,4161.0
691,1,100000,170162.0,80.312,8978.355,440.5
