size,min_val,max_val,time,resolution,stdev
100,1,100000,169362.0,78.125,23244.84
102,1,100000,171782.0,76.562,7436.517
104,1,100000,172182.0,74.688,7371.967
107,1,100000,171721.5,79.375,6573.995
109,1,100000,168141.5,77.812,6755.518
112,1,100000,171262.0,77.812,6862.634
114,1,100000,171842.0,80.0,7018.545
117,1,100000,172762.0,78.438,7440.521
120,1,100000,171822.0,79.383,7056.621
123,1,100000,172082.0,78.125,6666.261
125,1,100000,172142.0,76.25,7897.158
128,1,100000,171682.0,78.438,8353.04
131,1,100000,171301.0,75.945,6849.955
134,1,100000,171261.5,76.562,7092.833
138,1,100000,171202.0,78.125,6162.974
141,1,100000,172162.0,79.688,7000.428
144,1,100000,167602.0,75.625,7823.797
147,1,100000,167401.5,77.188,7662.289
151,1,100000,167902.0,78.75,7105.743
154,1,100000,167362.0,78.438,6850.557
158,1,100000,167382.0,86.25,7263.788
162,1,100000,167522.0,78.438,6773.066
165,1,100000,167662.0,78.125,7118.393
169,1,100000,167722.0,77.188,7551.348
173,1,100000,167661.5,77.5,6991.591
177,1,100000,167722.0,78.75,7518.01
181,1,100000,168602.0,74.062,6363.402
186,1,100000,172421.0,79.062,7021.252
190,1,100000,171122.0,78.438,7299.103
194,1,100000,168121.5,78.445,6702.123
199,1,100000,167762.0,75.938,8031.812
204,1,100000,171942.0,78.75,8190.775
208,1,100000,168002.0,77.188,8906.306
213,1,100000,167882.0,77.188,7444.787
218,1,100000,167882.0,78.438,6557.778
223,1,100000,170542.0,84.062,7452.196
229,1,100000,171622.0,78.75,7102.998
234,1,100000,168101.5,78.758,7960.623
239,1,100000,168242.0,77.812,19831.13
245,1,100000,171462.0,75.945,8039.43
251,1,100000,173641.5,78.125,7312.795
257,1,100000,172902.0,75.938,6904.73
263,1,100000,168861.5,77.188,7053.776
269,1,100000,168361.5,75.938,7842.078
275,1,100000,168921.5,84.688,7939.214
281,1,100000,172921.5,77.188,7645.21
288,1,100000,168522.0,75.938,6730.979
295,1,100000,169122.0,122.188,6809.374
301,1,100000,171422.0,76.25,6309.326
309,1,100000,172702.0,75.312,7356.831
316,1,100000,172342.0,139.688,8862.661
323,1,100000,168522.0,76.562,6810.601
331,1,100000,168601.5,76.25,7060.63
338,1,100000,168721.5,77.188,6943.63
346,1,100000,172881.5,77.5,6678.4
354,1,100000,169662.0,74.688,7389.3
363,1,100000,171501.5,76.875,8383.152
371,1,100000,170642.0,76.875,6328.199
380,1,100000,173482.0,80.0,6358.746
389,1,100000,169602.0,75.938,7120.319
398,1,100000,169122.0,79.062,7439.138
407,1,100000,168961.5,75.312,7778.232
416,1,100000,172962.0,79.375,8490.805
426,1,100000,174561.5,78.438,7657.009
436,1,100000,169022.0,77.812,19989.723
446,1,100000,168981.5,75.625,6749.781
457,1,100000,172982.0,75.625,7997.699
467,1,100000,175041.5,75.633,7778.201
478,1,100000,169242.0,83.445,8127.533
489,1,100000,169122.0,74.375,6884.185
501,1,100000,169221.5,75.0,7723.638
512,1,100000,169602.0,75.938,7311.532
524,1,100000,169262.0,80.0,6899.543
537,1,100000,169482.0,73.125,6922.479
549,1,100000,175202.0,76.25,7292.658
562,1,100000,175902.0,79.688,7217.968
575,1,100000,170322.0,75.938,6746.235
588,1,100000,170042.0,76.875,6216.238
602,1,100000,170501.5,77.5,7169.532
616,1,100000,175001.0,76.875,7507.865
630,1,100000,170061.5,76.562,7502.568
645,1,100000,170042.0,78.133,7636.406
660,1,100000,173902.0,77.188,8950.626
676,1,100000,175842.0,89.688,7548.423
691,1,100000,174362.0,75.312,8836.178
707,1,100000,176262.0,88.75,8278.171
724,1,100000,175421.5,129.688,7303.125
741,1,100000,177542.0,80.0,8193.392
758,1,100000,175822.0,79.688,6604.433
776,1,100000,176522.0,95.945,14774.251
794,1,100000,175622.0,86.25,6715.15
812,1,100000,177142.0,90.312,7336.054
831,1,100000,174982.0,215.32,6766.599
851,1,100000,176582.0,77.812,7639.238
870,1,100000,176641.5,79.688,6501.588
891,1,100000,176602.0,94.688,8194.572
912,1,100000,176202.0,77.812,7284.952
933,1,100000,177302.0,78.438,7289.061
954,1,100000,176302.0,93.438,7325.6
977,1,100000,177542.0,77.188,6489.237
999,1,100000,177522.0,77.5,7355.268
1023,1,100000,175862.0,78.438,7657.24
1047,1,100000,176461.5,78.75,7603.407
1071,1,100000,177642.0,109.688,7469.253
1096,1,100000,175242.0,77.812,8309.34
1122,1,100000,176422.0,77.812,7480.55
1148,1,100000,177861.5,87.188,8901.15
1174,1,100000,177562.0,90.0,8258.791
1202,1,100000,177302.0,75.938,7015.458
1230,1,100000,177342.0,94.688,7443.965
1258,1,100000,177822.0,90.938,8299.066
1288,1,100000,177522.0,75.312,6499.461
1318,1,100000,172061.5,79.375,7741.965
1348,1,100000,171981.5,84.062,7251.847
1380,1,100000,177982.0,79.062,7353.492
1412,1,100000,177762.0,80.0,7242.151
1445,1,100000,177061.5,89.375,8482.957
1479,1,100000,174102.0,77.812,6761.067
1513,1,100000,178602.0,76.562,9040.947
1548,1,100000,178802.0,78.438,7004.924
1584,1,100000,179382.0,83.125,7321.173
1621,1,100000,178202.0,87.82,6589.471
1659,1,100000,174581.5,77.5,9145.999
1698,1,100000,173762.0,78.125,6818.078
1737,1,100000,179461.5,76.562,6134.309
1778,1,100000,180302.0,76.875,6652.485
1819,1,100000,180841.5,76.875,7368.488
1862,1,100000,174141.5,80.008,7281.216
1905,1,100000,178221.5,77.188,6882.281
1949,1,100000,179942.0,77.812,7795.722
1995,1,100000,181662.0,75.625,7665.217
2041,1,100000,179922.0,77.195,8381.709
2089,1,100000,179841.5,77.812,8563.009
2137,1,100000,175102.0,78.445,8322.554
2187,1,100000,180422.0,78.75,9470.661
2238,1,100000,175522.0,76.25,6664.316
2290,1,100000,180342.0,80.0,7763.817
2344,1,100000,175862.0,77.188,8834.283
2398,1,100000,182381.5,126.875,7536.4
2454,1,100000,180542.0,142.5,7870.251
2511,1,100000,177062.0,84.062,6820.924
2570,1,100000,183082.0,93.125,8186.131
2630,1,100000,179322.0,83.75,7586.489
2691,1,100000,183042.0,78.125,8089.646
2754,1,100000,182702.0,77.188,8673.558
2818,1,100000,183162.0,93.125,8105.638
2884,1,100000,183802.0,77.812,8579.259
2951,1,100000,185242.0,80.312,8951.377
3019,1,100000,183462.0,79.062,8329.045
3090,1,100000,186082.0,75.312,9941.623
3162,1,100000,184762.0,88.438,9522.806
3235,1,100000,184042.0,129.375,8247.676
3311,1,100000,185222.0,82.5,7607.791
3388,1,100000,184542.0,78.438,8476.559
3467,1,100000,184082.0,75.625,9157.495
3548,1,100000,185662.0,85.938,7400.448
3630,1,100000,187242.0,85.312,7105.715
3715,1,100000,186861.5,78.75,7723.37
3801,1,100000,187762.0,93.438,7717.281
3890,1,100000,188402.0,96.25,7063.402
3981,1,100000,188602.0,103.133,7297.158
4073,1,100000,188762.0,93.438,7558.715
4168,1,100000,190422.0,98.438,9058.996
4265,1,100000,182502.0,85.0,7837.927
4365,1,100000,183062.0,86.25,7730.272
4466,1,100000,183302.0,84.062,48028.283
4570,1,100000,183722.0,98.125,7242.539
4677,1,100000,183802.0,91.883,20875.557
4786,1,100000,184402.0,93.125,7610.907
