size,min_val,max_val,time,resolution,stdev,mad
100,1,100000,167922.0,80.625,18736.203,280.0
433,1,100000,169562.0,79.223,6107.281,280.0
766,1,100000,170602.0,78.125,7381.279,361.0
1099,1,100000,172122.0,78.75,7740.836,440.0
1432,1,100000,173541.5,79.691,7261.253,459.5
1765,1,100000,174802.0,80.316,7762.961,520.0
2098,1,100000,176321.0,81.094,7111.493,559.0
2431,1,100000,178082.0,81.879,6766.407,1121.0
2764,1,100000,184262.0,114.062,7388.684,4660.0
3097,1,100000,186042.0,81.719,7128.848,5200.0
3430,1,100000,186982.0,83.125,8039.331,4960.0
3763,1,100000,190062.0,85.785,8060.068,5480.0
4096,1,100000,192402.0,86.25,8210.894,5660.0
4429,1,100000,194342.5,88.75,8528.509,6220.0
4762,1,100000,198122.0,93.594,9658.831,6120.0
5095,1,100000,195442.0,88.441,8550.928,5740.0
5428,1,100000,190722.0,90.625,8429.305,2160.5
5761,1,100000,192522.0,84.062,10345.891,2040.0
6094,1,100000,193222.0,90.312,9315.728,2500.5
6427,1,100000,193542.0,88.125,9184.858,1980.0
6760,1,100000,194322.0,91.719,8308.071,1460.0
7093,1,100000,199382.0,89.375,9944.226,5000.0
7426,1,100000,205462.0,89.375,8820.345,5840.0
7759,1,100000,206262.0,124.223,8845.733,5880.0
8092,1,100000,207763.0,90.004,9011.219,5740.0
8425,1,100000,209162.0,119.535,8827.299,5340.0
8758,1,100000,210942.0,102.656,8610.188,6160.0
9091,1,100000,213642.0,112.5,9238.12,6800.0
9424,1,100000,214642.0,92.969,7991.758,5160.0
9757,1,100000,213782.0,122.656,9578.263,5499.5
10090,1,100000,217042.0,125.625,9529.46,5959.5
10423,1,100000,220562.0,131.094,9718.461,7200.0
10756,1,100000,221822.0,124.844,11281.68,6140.5
11089,1,100000,226982.0,138.594,8765.147,5440.0
11422,1,100000,227562.5,125.469,10586.189,7360.0
11755,1,100000,226702.5,159.375,8468.363,4800.0
12088,1,100000,223602.5,125.156,12880.428,5640.0
12421,1,100000,230842.5,141.875,9023.641,6580.0
12754,1,100000,232483.0,125.004,9884.919,6680.0
13087,1,100000,237622.0,131.562,9270.204,6100.0
13420,1,100000,241222.5,154.375,10818.909,6960.0
13753,1,100000,239322.5,131.719,8932.543,5980.0
14086,1,100000,240383.0,133.438,9180.4,7201.0
14419,1,100000,242462.5,133.75,9703.431,6180.0
14752,1,100000,245362.5,134.062,9030.421,5900.5
15085,1,100000,247382.0,130.316,10546.973,6919.5
15418,1,100000,245563.0,161.406,10200.115,6480.5
15751,1,100000,250562.5,237.969,9801.157,6800.0
16084,1,100000,245922.5,130.941,11943.101,6240.0
16417,1,100000,253123.0,133.281,13109.109,8700.5
16750,1,100000,256863.0,147.66,10045.643,7039.5
17083,1,100000,260963.0,136.41,9643.476,6440.0
17416,1,100000,261922.5,135.625,9727.258,6280.5
17749,1,100000,259682.5,142.656,12151.669,7540.5
18082,1,100000,260542.5,135.156,10391.689,7100.5
18415,1,100000,263642.5,134.848,10152.687,6920.5
18748,1,100000,263303.0,155.312,11864.964,9100.0
19081,1,100000,270462.5,133.438,11672.484,7600.0
19414,1,100000,273262.5,137.5,11293.168,7140.0
19747,1,100000,279203.0,143.906,10920.794,6480.0
20080,1,100000,276643.0,138.125,11471.023,8180.0
20413,1,100000,273543.0,130.781,11726.062,8660.0
20746,1,100000,280823.0,135.469,14192.696,10180.0
21079,1,100000,286183.0,139.688,11029.874,7360.5
21412,1,100000,287383.0,138.75,11638.815,6760.0
21745,1,100000,292863.0,136.094,11688.341,7680.0
22078,1,100000,284883.0,133.285,11544.097,6360.0
22411,1,100000,286963.0,153.125,11318.9,7300.0
22744,1,100000,283003.0,131.57,13471.464,9580.0
23077,1,100000,295943.0,170.0,12635.271,8860.5
23410,1,100000,288283.5,130.938,13020.586,9240.5
23743,1,100000,283183.0,138.602,12321.269,7400.0
24076,1,100000,275483.0,151.875,12044.544,5120.0
24409,1,100000,277263.0,187.812,12420.119,6020.5
24742,1,100000,285563.0,137.188,11379.249,7700.5
25075,1,100000,289383.0,144.531,12242.857,9120.0
25408,1,100000,286083.0,131.25,11712.428,6740.0
25741,1,100000,280843.0,132.969,11533.228,5600.5
26074,1,100000,282643.0,132.344,15138.589,5640.0
26407,1,100000,284783.0,133.906,11593.557,6680.0
26740,1,100000,286703.0,134.383,11810.722,5760.0
27073,1,100000,289583.0,131.875,12467.108,6900.0
27406,1,100000,291323.0,139.531,13247.65,6460.0
27739,1,100000,288803.0,136.719,11535.72,6420.0
28072,1,100000,293823.0,132.188,12118.92,7900.5
28405,1,100000,295583.5,132.656,11743.488,7260.0
28738,1,100000,293403.0,148.281,12519.732,6060.0
29071,1,100000,299143.0,133.281,13601.742,7420.5
29404,1,100000,307023.5,132.344,13730.853,9480.5
29737,1,100000,309283.0,142.035,12595.916,8220.0
30070,1,100000,308443.5,172.031,11697.951,8620.5
30403,1,100000,310623.0,139.531,14177.575,9300.5
30736,1,100000,307224.0,175.938,12788.166,8821.0
31069,1,100000,309123.0,134.688,15109.79,8700.0
31402,1,100000,309523.0,132.344,11712.227,7640.0
31735,1,100000,309863.5,134.219,12358.001,7420.5
32068,1,100000,310703.0,144.066,10574.265,7380.0
32401,1,100000,310043.5,136.25,13227.958,9240.0
32734,1,100000,315003.0,130.477,11147.959,7320.0
33067,1,100000,316443.5,135.16,11269.494,7320.5
33400,1,100000,318943.5,143.438,12533.638,7919.5
33733,1,100000,319883.0,134.375,13562.718,8160.0
34066,1,100000,315303.0,137.66,13605.069,8460.0
34399,1,100000,319303.0,133.125,11838.796,8119.5
34732,1,100000,322664.0,131.875,12607.465,7621.0
35065,1,100000,327903.5,136.719,12669.536,7680.0
35398,1,100000,329663.5,186.562,11344.162,7220.5
35731,1,100000,328143.5,130.156,14303.281,8799.5
36064,1,100000,330124.0,130.156,15202.398,11340.0
36397,1,100000,324443.5,129.844,14227.842,10200.5
36730,1,100000,322123.0,190.625,13711.73,7960.5
37063,1,100000,316263.0,126.57,12223.497,5260.0
37396,1,100000,336283.0,136.094,13897.43,8720.5
37729,1,100000,335043.5,137.656,13183.998,8800.5
38062,1,100000,337143.0,163.438,14552.406,8959.5
38395,1,100000,341184.0,141.094,15633.476,9679.5
38728,1,100000,345483.5,139.688,13470.619,8220.5
39061,1,100000,348984.0,136.719,15221.547,10300.5
39394,1,100000,349083.5,135.469,13406.497,8380.5
39727,1,100000,344463.5,143.75,15423.231,11240.0
40060,1,100000,346463.0,128.906,17048.5,11739.5
40393,1,100000,351963.5,134.379,14387.589,8940.0
40726,1,100000,351343.5,135.938,15642.64,9620.5
41059,1,100000,359804.0,132.664,17101.966,11500.5
41392,1,100000,361244.0,130.625,15669.466,11920.0
41725,1,100000,358924.0,159.223,15650.797,10860.5
42058,1,100000,352683.5,131.41,16701.588,10420.0
42391,1,100000,359024.0,132.5,15120.846,10160.0
42724,1,100000,359144.0,140.629,14888.862,10541.0
43057,1,100000,363323.5,140.312,14921.272,9079.5
43390,1,100000,368344.0,132.969,14946.137,9460.5
43723,1,100000,368743.5,146.719,15283.317,9640.0
44056,1,100000,372443.5,142.656,15080.061,9140.0
44389,1,100000,370103.5,136.57,14131.265,9700.0
44722,1,100000,372684.0,147.035,14748.561,9120.0
45055,1,100000,375104.0,147.969,16343.076,11640.5
45388,1,100000,376283.5,134.848,14881.61,9820.5
45721,1,100000,384144.0,135.625,16430.243,10500.0
46054,1,100000,384664.0,137.031,14472.202,8300.0
46387,1,100000,387884.0,136.094,16736.437,10400.0
46720,1,100000,391004.0,143.75,15683.8,9200.5
47053,1,100000,391564.0,179.223,15024.926,9420.0
47386,1,100000,379844.0,123.441,13776.448,9220.0
47719,1,100000,386184.0,127.348,15288.974,10280.0
48052,1,100000,391664.0,130.785,16301.305,11040.0
48385,1,100000,395464.5,137.969,16172.584,10780.5
48718,1,100000,387524.0,135.312,14844.602,9600.5
49051,1,100000,389204.0,135.312,15902.16,8240.0
49384,1,100000,389204.0,129.531,15077.625,9660.0
49717,1,100000,390324.0,129.531,15931.7,8580.0
50050,1,100000,389804.0,128.285,15791.44,8640.0
50383,1,100000,392684.0,132.504,17723.797,10120.5
50716,1,100000,406164.0,156.25,17574.904,11040.0
51049,1,100000,409024.0,135.469,15899.959,9600.5
51382,1,100000,405104.5,144.379,15467.212,9439.5
51715,1,100000,408984.0,136.406,15845.031,11740.0
52048,1,100000,398304.0,144.688,14630.245,10240.0
52381,1,100000,398344.0,137.656,17627.233,12380.0
52714,1,100000,402124.0,136.875,20946.192,11320.0
53047,1,100000,410684.0,135.316,17931.318,11900.5
53380,1,100000,413524.5,144.531,16637.012,10680.5
53713,1,100000,418224.0,145.625,15804.035,10920.0
54046,1,100000,415744.5,151.41,17408.412,9160.0
54379,1,100000,422965.0,140.629,18648.13,12680.0
54712,1,100000,421404.0,131.406,20424.876,12000.0
55045,1,100000,421285.0,143.449,14473.755,10220.0
55378,1,100000,430985.0,143.906,18707.866,10921.0
55711,1,100000,426885.0,137.031,20664.86,11000.0
56044,1,100000,434404.0,145.625,16896.759,10280.5
56377,1,100000,437064.5,152.969,16359.782,10600.5
56710,1,100000,427564.0,150.625,16778.736,11421.0
57043,1,100000,439584.0,140.938,17416.785,9620.5
57376,1,100000,440165.0,152.031,16333.175,9260.5
57709,1,100000,443244.5,168.129,16498.187,10840.0
58042,1,100000,444125.0,138.125,19916.296,13099.5
58375,1,100000,449185.0,184.375,18735.047,11720.5
58708,1,100000,446744.5,152.656,16452.762,11060.0
59041,1,100000,451144.5,148.906,18833.869,10560.5
59374,1,100000,448165.0,162.816,17288.02,11400.0
59707,1,100000,444844.5,141.562,19508.401,13740.0
60040,1,100000,448445.0,141.723,19494.568,14920.5
60373,1,100000,451744.5,157.344,19020.785,12860.0
60706,1,100000,459444.5,140.156,18984.596,11840.0
61039,1,100000,459424.5,148.906,16705.645,11020.5
61372,1,100000,463824.5,143.906,17806.395,12820.0
61705,1,100000,472345.0,204.062,17446.994,11000.0
62038,1,100000,473885.0,144.531,17172.116,10400.5
62371,1,100000,474525.0,172.812,18848.784,11480.5
62704,1,100000,477465.0,147.031,25636.331,12060.0
63037,1,100000,470125.0,147.188,27376.077,12720.0
63370,1,100000,486385.0,145.625,27851.571,12920.0
63703,1,100000,470345.0,150.0,25703.186,10060.0
64036,1,100000,472065.0,142.656,28699.945,13240.0
64369,1,100000,492045.5,161.098,27093.728,12200.5
64702,1,100000,476945.0,146.094,30625.196,11000.5
65035,1,100000,524046.0,158.281,25431.862,10100.5
65368,1,100000,483305.0,142.812,29761.182,11600.0
65701,1,100000,516165.0,149.062,26036.4,11960.0
66034,1,100000,497385.0,136.879,29314.888,13080.5
66367,1,100000,490665.0,151.562,27964.665,13060.0
66700,1,100000,496285.5,133.281,27979.555,11820.0
67033,1,100000,515025.0,139.844,29278.114,11820.0
67366,1,100000,513566.0,141.719,26970.342,11161.0
67699,1,100000,503745.0,143.75,28287.971,12080.0
68032,1,100000,512705.0,146.25,25335.66,11519.5
