size,time,resolution
1,200.0,77.5
2,240.0,75.625
3,240.0,81.875
4,240.0,77.5
5,280.0,81.875
6,280.0,78.125
7,280.0,75.625
8,280.0,78.125
9,280.0,78.125
10,280.0,75.625
11,280.0,82.5
12,280.0,77.5
13,280.0,80.625
14,280.0,76.25
15,280.0,79.375
16,280.5,76.25
17,280.0,78.75
18,320.0,80.0
19,300.0,83.125
20,320.0,78.75
21,320.0,78.125
22,320.0,79.375
23,320.0,81.875
24,320.0,77.5
25,320.0,82.5
26,320.0,81.25
27,320.0,80.015625
28,320.0,80.0
29,320.0,75.0
30,320.0,78.125
31,320.0,81.875
32,320.0,79.375
33,320.0,77.5
34,320.0,80.0
35,320.0,79.375
36,320.0,76.875
37,360.0,79.375
38,360.0,81.25
39,360.0,78.125
40,360.0,78.125
41,360.0,80.0
42,360.0,78.125
43,360.0,76.25
44,360.0,78.125
45,360.0,80.625
46,360.0,80.625
47,360.0,78.75
48,360.0,79.375
49,360.0,76.25
50,360.0,81.875
51,360.0,80.625
52,360.0,78.75
53,360.0,76.875
54,360.0,80.625
55,360.0,76.25
56,360.0,81.25
57,360.0,75.0
58,400.0,80.0
59,400.0,76.25
60,400.0,78.75
61,400.0,80.0
62,400.0,79.375
63,400.0,78.75
64,400.0,76.25
65,400.0,130.0
66,400.0,77.5
67,400.0,78.125
68,400.0,77.5
69,400.0,80.625
70,400.0,78.125
71,400.0,75.625
72,400.0,80.625
73,440.0,100.625
74,400.0,79.375
75,400.0,80.0
76,400.0,79.375
77,400.0,81.875
78,400.0,80.0
79,440.0,79.375
80,440.0,77.5
81,440.0,78.75
82,400.0,78.125
83,440.0,80.0
84,440.0,77.5
85,440.0,76.875
86,440.0,80.0
87,440.0,75.625
88,440.0,80.625
89,440.0,75.625
90,440.0,80.625
91,440.0,79.375
92,440.0,77.5
93,440.0,78.75
94,440.0,78.75
95,440.0,78.125
96,440.0,77.5
97,480.0,78.125
98,440.0,76.875
99,480.0,77.5
100,480.0,78.125
101,480.0,76.25
102,480.0,76.875
103,480.0,75.625
104,480.0,83.125
105,480.0,77.5
106,480.0,78.125
107,480.0,81.25
108,480.0,78.75
109,480.0,80.625
110,480.0,79.375
111,480.0,78.75
112,480.0,79.375
113,480.0,80.0
114,480.0,79.375
115,480.0,78.125
116,480.0,78.75
117,480.0,78.75
118,480.0,82.5
119,480.0,79.375
120,480.0,81.875
121,500.0,77.5
122,480.0,80.0
123,480.0,79.375
124,500.0,79.375
125,520.0,75.625
126,520.0,80.625
127,520.0,78.125
128,520.0,76.875
129,520.0,121.25
130,520.0,78.75
131,520.0,78.75
132,520.0,76.25
133,520.0,75.0
134,520.0,76.25
135,520.0,79.375
136,520.0,80.0
137,520.0,76.875
138,520.0,80.0
139,520.0,78.75
140,520.0,81.25
141,520.0,75.0
142,520.0,386.875
143,560.0,78.75
144,520.0,73.75
145,520.0,79.375
146,560.0,77.5
147,560.0,77.5
148,520.0,76.875
149,560.0,77.5
150,560.0,78.75
151,560.0,79.375
152,560.0,75.625
153,560.0,143.75
154,560.0,75.625
155,560.0,76.875
156,560.0,80.625
157,560.0,73.125
158,560.0,78.75
159,560.0,77.5
160,560.0,83.125
161,560.0,80.0
162,560.0,80.625
163,560.0,75.0
164,560.0,78.75
165,560.0,80.625
166,560.0,78.75
167,560.0,78.125
168,560.0,78.125
169,600.0,80.625
170,600.0,76.875
171,600.0,76.25
172,600.0,79.375
173,600.0,81.25
174,600.0,80.625
175,600.0,78.125
176,600.0,80.625
177,600.0,78.125
178,600.0,74.375
179,600.0,77.5
