size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,13440.0,76.875,1379.832,0.0
10000,10,11,47740.5,82.5,3334.609,1979.5
10000,10,12,64520.0,85.938,4841.285,2559.5
10000,10,14,85860.5,74.383,8615.739,2759.5
10000,10,15,93541.0,80.938,5572.427,2920.0
10000,10,17,106181.0,75.938,7343.427,3400.0
10000,10,19,116841.0,77.188,5831.235,3519.5
10000,10,22,126942.0,83.125,7026.614,3879.0
10000,10,25,137001.5,81.875,6697.222,3980.0
10000,10,28,144501.0,82.195,7095.915,3320.0
10000,10,31,152101.5,158.75,8470.399,5439.5
10000,10,35,160782.0,81.875,10730.322,5220.0
10000,10,39,167562.0,75.008,7193.441,4780.0
10000,10,44,176742.0,83.438,12901.212,4180.0
10000,10,50,184562.0,81.25,8043.654,4040.0
10000,10,56,191742.0,85.0,7948.004,5640.0
10000,10,63,198062.0,106.562,8827.164,5300.0
10000,10,70,203722.0,77.812,7990.291,4900.0
10000,10,79,211222.5,78.75,7030.619,4740.0
10000,10,89,215782.0,79.062,7223.225,4020.5
10000,10,99,221622.5,77.812,10376.537,4079.5
10000,10,112,228422.5,76.25,7638.859,4440.0
10000,10,125,236002.5,74.062,8713.569,5340.5
10000,10,141,245902.0,82.188,7471.008,4640.0
10000,10,158,249883.0,79.375,7585.438,3780.0
10000,10,177,258802.0,80.0,8330.45,5100.0
10000,10,199,267623.0,86.875,7572.093,5620.0
10000,10,223,275043.0,79.375,8402.731,5100.0
10000,10,251,283703.0,76.875,19546.79,6900.0
10000,10,281,286863.0,83.133,17296.148,4960.0
10000,10,316,297063.0,82.188,9582.991,6440.0
10000,10,354,302263.5,97.812,15131.919,5560.0
10000,10,398,309543.0,78.75,9080.106,6260.0
10000,10,446,318243.0,79.062,8654.437,4080.0
10000,10,501,324923.5,77.812,8004.637,4859.5
10000,10,562,332383.0,80.312,9850.289,6399.5
10000,10,630,341023.5,84.391,7912.997,5200.0
10000,10,707,348383.5,90.938,9147.782,5700.0
10000,10,794,356684.0,83.75,10137.055,4841.0
10000,10,891,362083.5,77.188,9214.998,5320.0
10000,10,999,371224.0,78.125,8640.879,5800.0
10000,10,1122,378744.0,83.438,8920.514,4900.0
10000,10,1258,386504.0,81.57,14081.268,4820.0
10000,10,1412,395584.5,93.125,9246.073,5880.5
10000,10,1584,404984.5,78.75,10059.525,6499.5
10000,10,1778,414784.5,81.562,10045.157,6979.5
10000,10,1995,424465.0,81.875,11841.308,6320.5
10000,10,2238,432024.5,81.25,8651.876,5320.0
10000,10,2511,444024.5,95.0,9914.418,7179.5
10000,10,2818,450724.5,87.188,11027.429,6380.0
10000,10,3162,456665.0,90.938,8690.22,5560.5
10000,10,3548,467025.0,82.188,12113.231,7380.0
10000,10,3981,478785.0,83.758,9116.704,5500.0
10000,10,4466,481285.0,82.812,9710.633,7220.0
10000,10,5011,491485.0,83.438,10090.225,5919.5
10000,10,5623,499485.5,84.062,9210.261,5340.5
10000,10,6309,510026.0,82.812,10792.626,7821.0
10000,10,7079,514645.5,74.688,10189.589,5980.0
10000,10,7943,521365.0,86.57,16587.922,6500.5
10000,10,8912,525485.0,88.125,10788.414,5079.5
10000,10,9999,529705.0,94.375,10797.056,6340.0
10000,10,11220,534065.5,80.312,9522.676,5380.0
10000,10,12589,533845.5,83.133,9881.075,7019.5
10000,10,14125,533965.5,86.875,35144.434,5759.5
10000,10,15848,538506.0,85.625,9262.428,6120.0
10000,10,17782,538265.5,76.25,10656.604,7080.0
10000,10,19952,541446.0,75.0,10799.83,6400.5
10000,10,22387,541605.5,80.0,10960.392,6580.0
10000,10,25118,542985.5,79.062,14180.264,7220.5
10000,10,28183,545145.5,80.625,9407.241,6960.0
10000,10,31622,546245.5,76.25,13305.353,5459.5
10000,10,35481,545166.0,83.438,9668.485,7000.0
10000,10,39810,541466.0,89.688,10782.241,5360.5
10000,10,44668,544805.5,82.188,25080.475,7859.5
10000,10,50118,538906.0,80.0,8396.701,5620.0
10000,10,56234,536826.0,83.125,13138.525,5159.5
10000,10,63095,539066.0,76.25,30471.153,5020.0
10000,10,70794,538985.5,77.812,16221.721,7020.0
10000,10,79432,544345.5,82.5,11174.033,7640.0
10000,10,89125,546905.0,83.758,19800.466,8060.0
10000,10,99999,539485.5,87.812,23819.271,7520.0
10000,10,112201,545205.5,82.188,11094.964,6779.5
10000,10,125892,547266.0,84.375,14755.284,6639.5
10000,10,141253,548346.0,81.25,11007.509,7740.5
10000,10,158489,544625.5,83.125,10850.258,7039.5
10000,10,177827,544786.0,82.812,12365.039,5380.0
10000,10,199526,547326.0,84.695,10565.067,5620.5
10000,10,223872,548406.0,79.375,11574.49,7920.0
10000,10,251188,545866.0,75.938,10668.121,5460.5
10000,10,281838,547405.5,77.812,8762.659,6060.0
10000,10,316227,546605.0,83.125,10477.88,7379.5
10000,10,354813,541346.0,77.188,11358.004,7600.0
10000,10,398107,548406.0,74.688,15705.082,6340.5
10000,10,446683,540205.5,79.062,10876.097,4260.5
10000,10,501187,545165.5,85.633,12158.237,5800.0
10000,10,562341,545946.0,76.875,10926.574,6560.0
10000,10,630957,547125.5,79.688,10779.225,6780.0
10000,10,707945,547705.5,78.125,10079.338,5900.0
10000,10,794328,547465.0,79.07,12917.887,7320.0
10000,10,891250,549285.5,79.062,10569.41,7120.5
