size,min_val,max_val,time,resolution,stdev,mad
100,1,100,2840.0,135.156,122.348,80.0
1099,1,100,26880.5,73.594,1877.518,400.0
2098,1,100,49760.0,72.973,2946.581,760.0
3097,1,100,72081.0,81.25,3827.254,1060.0
4096,1,100,94721.0,83.438,5644.044,1720.0
5095,1,100,117301.0,82.188,4965.076,2060.0
6094,1,100,139182.0,81.406,6007.563,2601.0
7093,1,100,162122.0,82.973,6642.666,3379.5
8092,1,100,184621.5,84.219,6704.322,3280.5
9091,1,100,206822.0,86.719,7962.145,4720.0
10090,1,100,228722.5,86.879,7468.852,4600.0
11089,1,100,251863.0,86.562,7927.614,4860.0
12088,1,100,274303.0,91.562,8695.539,5740.0
13087,1,100,295803.0,80.156,8877.504,5460.0
14086,1,100,321743.5,90.16,9361.677,6360.5
15085,1,100,341243.5,87.812,10132.175,6440.0
16084,1,100,363444.0,89.531,11477.369,5820.0
17083,1,100,385764.0,90.0,11567.718,7540.5
18082,1,100,407844.0,95.004,11703.005,7820.5
19081,1,100,429805.0,90.938,11197.661,6540.5
20080,1,100,453185.0,92.348,13344.372,8420.5
21079,1,100,473765.0,87.5,12971.77,8260.0
22078,1,100,495805.0,89.691,14953.436,9420.0
23077,1,100,517425.0,90.938,14283.372,8740.0
24076,1,100,542245.5,93.285,15448.512,9779.5
25075,1,100,564366.0,94.844,15271.834,10000.0
26074,1,100,585306.0,90.781,15561.721,9420.0
27073,1,100,607026.5,93.91,15211.459,9760.5
28072,1,100,628927.0,90.156,15148.729,9380.0
29071,1,100,649326.5,86.719,16427.111,9380.0
30070,1,100,670687.0,86.25,16845.192,10080.5
31069,1,100,695807.5,89.066,17702.178,11000.5
32068,1,100,717548.0,94.375,20550.726,14200.0
33067,1,100,739827.5,88.594,19205.282,12600.5
34066,1,100,762488.0,91.25,19173.883,14140.5
35065,1,100,784148.0,90.32,19955.177,12400.0
36064,1,100,803908.0,93.125,19368.955,11680.0
37063,1,100,829009.0,88.438,21679.786,14660.5
38062,1,100,852249.0,90.469,21710.443,12460.0
39061,1,100,871309.0,91.094,24072.586,13900.0
40060,1,100,891649.5,94.219,20172.659,11540.0
41059,1,100,917169.5,88.754,24850.455,15380.0
42058,1,100,941150.0,105.004,22458.251,14000.0
43057,1,100,958230.0,101.719,24778.733,15520.0
44056,1,100,983130.0,107.656,26308.858,17720.5
45055,1,100,1005570.0,95.156,26926.441,18060.0
46054,1,100,1024570.0,103.75,23334.163,14960.0
47053,1,100,1051811.0,98.285,28962.114,18640.0
48052,1,100,1070971.0,98.125,27713.474,15600.5
49051,1,100,1090991.0,106.566,26595.035,17501.0
50050,1,100,1118851.5,95.312,27163.069,17160.5
51049,1,100,1141191.0,97.504,27718.824,19301.0
52048,1,100,1161832.0,95.938,29424.01,21060.0
53047,1,100,1180812.0,93.438,28725.295,18840.0
54046,1,100,1198412.0,97.188,29414.812,18860.5
55045,1,100,1224652.5,97.5,31729.255,21260.5
56044,1,100,1247472.5,92.5,34062.682,21879.5
57043,1,100,1287533.0,97.344,34623.054,24800.0
58042,1,100,1306593.0,98.125,35146.02,23420.0
59041,1,100,1312253.5,97.344,31411.957,20180.5
60040,1,100,1340014.0,100.156,35296.58,21400.0
61039,1,100,1362834.0,96.719,34531.592,23860.5
62038,1,100,1380774.5,104.375,35702.658,23999.5
63037,1,100,1402714.5,97.188,33848.216,20900.5
64036,1,100,1425774.5,91.723,36213.38,25960.0
65035,1,100,1446415.0,98.281,38018.009,23960.5
66034,1,100,1470055.0,97.188,36932.562,22600.5
67033,1,100,1490195.5,95.781,38922.106,24960.0
68032,1,100,1515415.5,97.812,38932.698,23980.0
69031,1,100,1536316.0,98.906,39558.502,25960.5
70030,1,100,1558576.5,97.188,37637.224,24200.0
71029,1,100,1585857.0,97.344,40724.868,28020.5
72028,1,100,1607096.0,97.348,47646.947,31120.0
73027,1,100,1629856.5,100.0,41764.719,25700.5
74026,1,100,1650157.0,93.125,41088.16,25780.0
75025,1,100,1671098.0,102.344,46658.9,30681.0
76024,1,100,1698078.0,100.0,44888.592,28080.0
77023,1,100,1713457.5,97.656,42690.132,28240.0
78022,1,100,1733898.0,104.535,47668.244,27900.5
79021,1,100,1754478.5,100.469,45644.06,27260.5
80020,1,100,1781278.5,105.625,50249.667,30260.5
81019,1,100,1805578.5,102.973,49018.276,30840.5
82018,1,100,1822459.0,105.781,46763.987,29060.5
83017,1,100,1871499.5,104.848,47369.935,27740.0
84016,1,100,1877419.0,105.0,47325.613,29340.5
85015,1,100,1894719.0,111.406,52428.067,34060.5
86014,1,100,1917860.0,99.691,48945.97,32661.0
87013,1,100,1965120.0,100.938,49484.845,31519.5
88012,1,100,1988380.5,101.562,48853.479,32780.5
89011,1,100,2010660.0,132.031,55991.563,35961.5
90010,1,100,2036061.0,110.312,54204.094,35320.5
91009,1,100,2052261.5,108.281,54279.394,37860.0
92008,1,100,2067262.0,112.656,57023.593,38240.0
93007,1,100,2085321.5,100.469,53863.376,40100.0
94006,1,100,2101341.5,102.031,58618.494,33540.5
95005,1,100,2134722.0,105.781,57074.2,36160.0
96004,1,100,2168962.5,102.969,51595.011,33540.5
97003,1,100,2173202.0,108.438,63923.063,37720.5
98002,1,100,2195623.0,106.562,54291.439,34000.5
99001,1,100,2212623.0,102.348,56623.688,38160.5
