size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,13440.0,75.938,2145.9,0.0
10000,10,5009,503285.5,82.812,10495.926,6920.5
10000,10,10008,529866.0,83.125,9716.241,5880.5
10000,10,15007,532645.0,76.875,9816.243,6440.0
10000,10,20006,539206.0,78.125,10680.798,6220.0
10000,10,25005,539165.5,85.312,11069.473,5780.0
10000,10,30004,537365.5,80.938,14109.272,6879.5
10000,10,35003,544446.0,87.5,11304.915,6041.0
10000,10,40002,545505.5,104.375,12213.032,7319.5
10000,10,45001,545346.0,82.812,12446.227,7501.0
10000,10,50000,542286.0,95.625,11363.07,5820.0
10000,10,54999,547646.0,82.508,11873.735,7439.5
10000,10,59998,549405.0,81.562,11365.298,6659.0
10000,10,64997,547805.5,83.125,11820.327,6800.0
10000,10,69996,547126.0,79.688,11794.95,6599.5
10000,10,74995,549106.0,110.312,17198.973,6200.0
10000,10,79994,550706.0,83.438,13441.694,7480.5
10000,10,84993,543145.5,81.875,12211.779,8120.5
10000,10,89992,546525.5,81.562,12276.61,7840.0
10000,10,94991,545185.5,85.0,11045.323,7800.0
10000,10,99990,546166.0,75.0,10973.187,6860.5
10000,10,104989,546926.0,75.312,9546.578,5840.0
10000,10,109988,547145.5,78.438,12216.885,8060.5
10000,10,114987,547666.0,83.75,12195.654,8039.0
10000,10,119986,548206.0,78.75,11752.015,6680.5
10000,10,124985,547105.5,80.312,16487.829,6899.5
10000,10,129984,545445.0,82.5,11318.072,5761.0
10000,10,134983,546865.5,82.5,11888.195,6520.5
10000,10,139982,546485.5,82.5,11427.77,7640.0
10000,10,144981,546725.5,74.695,11164.8,5900.0
10000,10,149980,548446.0,79.07,12149.647,8019.5
10000,10,154979,547386.0,80.625,12623.847,7400.0
10000,10,159978,545945.0,77.812,13309.561,6260.0
10000,10,164977,545006.0,78.125,12051.979,6099.5
10000,10,169976,549046.0,83.438,12329.902,7040.5
10000,10,174975,548946.0,77.188,12237.034,7380.5
10000,10,179974,547566.0,80.625,11860.056,7640.0
10000,10,184973,547285.5,78.125,11201.793,7039.5
10000,10,189972,541485.0,82.188,12377.771,7199.5
10000,10,194971,542205.5,82.5,11819.672,6960.0
10000,10,199970,546845.5,78.125,11361.937,7180.5
10000,10,204969,547426.0,75.625,11223.62,7279.5
10000,10,209968,547966.0,80.938,10578.79,6439.5
10000,10,214967,549405.5,82.5,11555.092,8220.0
10000,10,219966,546965.5,77.5,11652.382,6780.0
10000,10,224965,545785.5,77.195,11027.57,6719.5
10000,10,229964,549026.0,76.25,12657.539,7540.0
10000,10,234963,547425.0,77.5,10943.555,7820.5
10000,10,239962,548405.5,76.562,12268.215,7580.0
10000,10,244961,547405.5,76.562,10747.415,7039.5
10000,10,249960,548625.0,82.188,11085.901,6819.5
10000,10,254959,547385.5,81.25,10736.052,7380.5
10000,10,259958,547566.0,77.812,12722.18,7040.5
10000,10,264957,545726.0,77.5,10269.806,6400.0
10000,10,269956,544406.0,80.0,12728.217,6500.0
10000,10,274955,546706.0,84.375,11708.367,8340.0
10000,10,279954,540746.0,77.812,9581.57,6619.5
10000,10,284953,541345.5,78.133,11955.34,7260.5
10000,10,289952,546106.0,88.75,12636.783,9480.5
10000,10,294951,545086.0,78.125,10782.737,6260.0
10000,10,299950,546425.5,80.312,11791.67,6520.5
10000,10,304949,547586.0,80.625,11894.64,7360.5
10000,10,309948,539705.0,76.562,10802.338,7499.5
10000,10,314947,544285.5,77.812,10202.159,6060.0
10000,10,319946,547286.0,81.562,11935.399,6540.5
10000,10,324945,548066.0,80.32,12438.68,7541.0
10000,10,329944,547205.5,85.0,10627.748,6480.0
10000,10,334943,548845.5,86.562,12829.687,6440.5
10000,10,339942,546586.0,73.438,11621.121,6440.5
10000,10,344941,547565.0,87.5,12253.765,8180.5
10000,10,349940,545645.5,83.75,13503.951,7700.0
10000,10,354939,546205.5,86.25,11503.523,7000.5
10000,10,359938,546886.0,86.25,11326.67,5640.5
10000,10,364937,546186.0,81.562,12186.468,5960.0
10000,10,369936,546805.5,82.5,11810.903,8060.5
10000,10,374935,550146.0,83.75,10535.948,6340.0
10000,10,379934,546365.5,84.688,11249.418,7000.5
10000,10,384933,549245.5,79.062,10220.353,6739.5
10000,10,389932,546725.5,81.25,11169.971,6700.0
10000,10,394931,547085.5,84.062,14576.548,7640.0
10000,10,399930,550306.0,81.25,11540.446,7940.0
10000,10,404929,548825.5,94.07,10648.789,6100.0
10000,10,409928,550026.0,87.5,12991.072,7881.0
10000,10,414927,548525.5,77.188,13646.484,9179.5
10000,10,419926,545005.5,125.0,12288.526,7320.0
10000,10,424925,548606.0,81.25,13235.323,9041.0
10000,10,429924,549145.5,140.625,11423.984,8279.5
10000,10,434923,549965.5,78.438,11539.461,8300.5
10000,10,439922,551646.0,79.375,12277.051,7740.0
10000,10,444921,551045.5,80.625,11997.359,8599.5
10000,10,449920,545365.5,78.438,11733.125,7920.0
10000,10,454919,547405.5,100.0,13059.225,7440.0
10000,10,459918,545066.0,91.875,12776.189,7179.5
10000,10,464917,544166.0,79.688,13298.698,7159.5
10000,10,469916,539285.5,80.0,10445.903,5459.5
10000,10,474915,541565.5,81.875,12062.581,6860.0
10000,10,479914,544026.0,82.82,11280.973,6620.0
10000,10,484913,540245.0,81.25,11134.676,6741.0
10000,10,489912,539946.0,84.062,11681.805,6440.5
10000,10,494911,540866.0,76.25,12385.029,6799.5
10000,10,499910,539385.0,75.625,11004.017,5740.5
10000,10,504909,542146.0,81.25,13030.927,7720.5
10000,10,509908,540425.0,82.5,9865.121,5920.0
10000,10,514907,547846.0,83.125,13142.149,8359.5
10000,10,519906,547766.0,81.875,13063.891,8600.0
10000,10,524905,545065.5,78.75,13274.757,7760.0
10000,10,529904,548405.5,82.812,11561.012,7040.0
10000,10,534903,548025.5,84.688,11931.556,8040.0
10000,10,539902,547586.0,85.625,11821.488,6720.5
10000,10,544901,548246.0,92.188,11891.339,7340.0
10000,10,549900,546366.0,93.125,10269.951,5901.0
10000,10,554899,544965.5,84.062,13325.692,8020.0
10000,10,559898,547246.0,89.062,12234.01,7220.5
10000,10,564897,547545.5,82.5,10460.722,6700.5
10000,10,569896,547986.0,80.625,10569.062,7720.0
10000,10,574895,548025.5,95.625,12780.262,7340.0
10000,10,579894,549066.0,81.266,13118.598,7320.5
10000,10,584893,546485.5,80.633,11340.08,5860.0
10000,10,589892,545085.5,90.625,11853.38,7400.0
10000,10,594891,546465.5,92.812,11304.452,6599.5
10000,10,599890,547026.0,90.0,11138.287,5140.0
10000,10,604889,545746.0,80.938,11095.135,7380.0
10000,10,609888,548965.5,94.062,11345.618,6820.0
10000,10,614887,547746.0,84.375,12800.191,7340.5
10000,10,619886,549786.0,79.695,14008.824,8920.5
10000,10,624885,546506.0,91.25,13733.559,9380.5
10000,10,629884,546565.5,86.25,13255.129,8260.5
10000,10,634883,547925.5,84.375,14209.421,8760.5
10000,10,639882,547585.5,82.188,11672.183,7320.0
10000,10,644881,546886.0,80.312,10305.284,6920.0
10000,10,649880,547806.0,81.25,11879.48,6960.0
10000,10,654879,547586.0,82.82,12461.341,7480.0
10000,10,659878,546785.0,85.625,13639.261,6720.0
10000,10,664877,546646.0,83.438,11890.566,7759.5
10000,10,669876,546126.0,82.5,9847.012,6640.5
10000,10,674875,547805.0,84.688,11967.715,7580.5
10000,10,679874,552226.0,83.125,12756.734,8339.5
10000,10,684873,546205.5,79.062,12773.277,5779.5
10000,10,689872,547126.0,79.688,12854.692,7379.5
10000,10,694871,549845.5,82.812,12354.671,7680.0
