size,min_val,max_val,time,resolution,stdev,mad
100,1,100,2920.0,86.891,612.709,80.0
102,1,100,2980.0,87.5,422.075,60.0
104,1,100,3080.0,88.75,131.593,80.0
107,1,100,3200.0,86.25,945.628,80.0
109,1,100,3200.0,82.5,135.881,80.0
112,1,100,3280.0,91.266,429.348,80.0
114,1,100,3280.0,95.0,316.261,80.0
117,1,100,3360.0,168.125,2638.369,80.0
120,1,100,3480.0,95.0,132.319,80.0
123,1,100,3600.0,92.5,616.332,80.0
125,1,100,3640.0,92.5,819.314,80.0
128,1,100,3720.0,96.875,770.086,40.0
131,1,100,3820.0,97.5,3217.833,100.0
134,1,100,3920.0,93.125,2267.636,80.0
138,1,100,4000.5,91.875,1430.638,119.5
141,1,100,4080.0,102.5,993.815,120.0
144,1,100,4160.0,97.5,2219.015,120.0
147,1,100,4280.0,105.625,1413.112,120.0
151,1,100,4380.5,115.0,1802.894,139.5
154,1,100,4440.0,111.875,2020.575,100.0
158,1,100,4600.0,101.25,1033.795,120.0
162,1,100,4740.0,100.625,1322.418,100.0
165,1,100,4780.0,96.875,1726.234,100.0
169,1,100,4920.0,112.5,1198.874,120.0
173,1,100,4960.0,100.0,1164.124,80.0
177,1,100,5120.0,102.5,2128.006,120.0
181,1,100,5220.5,103.125,1165.79,139.5
186,1,100,5320.0,151.266,4126.658,80.5
190,1,100,5460.0,96.875,1155.986,100.0
194,1,100,5560.0,103.75,1079.553,99.5
199,1,100,5680.0,96.25,918.268,120.0
204,1,100,5840.0,94.375,2139.83,120.0
208,1,100,5960.0,90.0,5085.589,160.0
213,1,100,6120.0,98.125,590.748,120.0
218,1,100,6200.0,100.0,4176.75,120.0
223,1,100,6340.0,97.5,1115.603,120.5
229,1,100,6520.0,94.375,1434.943,160.0
234,1,100,6640.0,101.25,900.032,120.0
239,1,100,6740.0,96.875,1029.113,140.0
245,1,100,6960.0,108.75,4364.821,120.0
251,1,100,7080.0,90.625,1190.776,140.5
257,1,100,7200.0,90.0,671.231,100.0
263,1,100,7360.0,73.125,448.784,120.0
269,1,100,7600.0,72.5,725.094,120.0
275,1,100,7700.0,76.25,824.772,180.0
281,1,100,7800.5,152.5,1395.087,159.5
288,1,100,8000.0,73.75,3417.073,140.5
295,1,100,8100.0,73.125,1359.612,140.0
301,1,100,8300.0,73.75,751.721,180.0
309,1,100,8480.0,73.75,214.177,160.0
316,1,100,8600.0,73.75,3081.133,160.0
323,1,100,8880.0,71.875,1381.074,160.0
331,1,100,9120.0,73.75,1011.976,179.5
338,1,100,9240.0,75.625,4260.954,120.0
346,1,100,9440.0,70.625,1097.416,160.0
354,1,100,9760.0,75.016,3621.328,200.0
363,1,100,9900.0,75.0,1284.488,180.0
371,1,100,10040.0,73.75,2541.364,160.0
380,1,100,10240.0,70.0,2080.061,160.0
389,1,100,10480.0,71.875,2994.857,159.5
398,1,100,10920.0,77.516,2284.406,200.0
407,1,100,11160.0,135.0,4069.395,200.0
416,1,100,11140.5,74.375,1850.814,160.0
426,1,100,11400.0,73.75,1151.015,160.0
436,1,100,11600.0,71.875,1171.409,200.0
446,1,100,11860.0,73.75,2368.916,220.0
457,1,100,12080.0,73.75,938.946,219.5
467,1,100,12480.5,73.75,2352.409,240.5
478,1,100,12580.5,74.375,2010.681,140.5
489,1,100,12960.5,73.125,1748.829,159.5
501,1,100,13180.0,75.0,3901.909,199.5
512,1,100,13560.0,73.75,2064.962,260.0
524,1,100,13720.0,73.75,2713.531,240.0
537,1,100,14020.0,73.75,2413.453,220.0
549,1,100,14240.0,72.5,1806.585,180.0
562,1,100,14520.0,73.125,3468.384,200.0
575,1,100,14960.0,77.5,1513.253,240.0
588,1,100,15200.0,67.5,739.168,240.0
602,1,100,15660.0,74.375,5296.934,180.0
616,1,100,16040.5,74.375,3500.391,280.0
630,1,100,16160.5,73.75,3323.888,300.0
645,1,100,16560.0,74.375,1714.899,320.0
660,1,100,16841.0,75.625,1869.209,240.0
676,1,100,17240.0,75.625,1471.04,319.5
691,1,100,17560.0,75.625,3523.568,240.0
707,1,100,18020.0,71.875,1697.406,220.5
724,1,100,18360.0,72.5,1560.157,260.0
741,1,100,18840.0,75.0,1098.239,279.5
758,1,100,19200.0,78.766,2377.006,240.0
776,1,100,19500.0,74.375,2945.851,300.0
794,1,100,20040.0,77.5,2360.562,280.0
812,1,100,20360.0,76.875,3623.853,280.0
831,1,100,20720.5,74.391,2378.473,359.5
851,1,100,21120.0,73.125,2955.158,240.5
870,1,100,21860.0,125.0,3580.4,360.0
891,1,100,22120.0,73.75,2474.516,320.0
912,1,100,22820.5,71.266,2393.382,360.0
933,1,100,23040.5,218.75,2405.725,359.5
954,1,100,23640.0,74.375,4241.054,440.0
977,1,100,24140.0,73.125,1507.071,299.5
999,1,100,24740.0,73.125,2302.94,460.0
1023,1,100,25220.5,73.75,4546.139,340.5
1047,1,100,26060.0,71.875,4518.404,620.0
1071,1,100,26400.0,68.125,4539.986,560.0
1096,1,100,26880.0,75.0,3834.494,340.0
1122,1,100,27820.5,75.0,2627.953,460.0
1148,1,100,28380.5,80.016,3644.532,560.0
1174,1,100,28440.0,75.0,4014.128,499.5
1202,1,100,29400.5,74.375,4052.337,480.5
1230,1,100,30000.0,72.5,2861.643,600.5
1258,1,100,30640.0,73.75,2171.533,680.5
1288,1,100,31321.0,76.25,2998.284,601.0
1318,1,100,32040.5,76.25,5093.119,580.0
1348,1,100,32721.0,75.625,3889.377,479.0
1380,1,100,33781.0,75.625,3876.795,780.5
1412,1,100,34000.0,76.875,2405.385,680.0
1445,1,100,34940.5,74.375,4731.898,559.5
1479,1,100,35580.5,74.375,2655.377,480.5
1513,1,100,36520.0,73.75,3601.346,721.0
1548,1,100,37520.5,81.875,3632.41,900.0
1584,1,100,37761.0,79.375,4909.768,660.0
1621,1,100,38900.5,73.125,4244.643,600.0
1659,1,100,39600.0,80.0,2609.44,559.5
1698,1,100,40540.5,73.75,4118.006,680.5
1737,1,100,41700.5,79.375,3459.614,1160.5
1778,1,100,42680.5,80.625,5600.02,999.5
1819,1,100,43960.0,72.5,5910.264,1020.0
1862,1,100,44541.0,76.891,5759.017,960.0
1905,1,100,46160.5,72.516,3833.215,1220.0
1949,1,100,47341.0,78.125,3214.319,1301.0
1995,1,100,47740.5,76.875,2512.174,1060.0
2041,1,100,48880.5,74.375,5109.025,1300.0
2089,1,100,49861.0,71.875,4964.224,1001.0
2137,1,100,50740.0,75.0,4725.629,899.5
2187,1,100,52600.5,77.5,3132.661,1500.5
2238,1,100,53360.0,75.0,5573.685,1099.5
2290,1,100,53921.0,84.375,2490.546,860.0
2344,1,100,55921.0,74.375,4378.581,1040.0
2398,1,100,57261.0,76.25,3947.231,1640.0
2454,1,100,58340.5,77.5,4249.241,2320.0
2511,1,100,59660.5,74.375,5176.862,1620.0
2570,1,100,60661.0,76.25,4530.215,1520.0
2630,1,100,63080.5,75.0,5363.681,1800.0
2691,1,100,63421.0,73.75,5539.213,1520.5
2754,1,100,66480.5,74.375,5016.572,2120.0
2818,1,100,66241.0,75.625,4532.774,1140.0
2884,1,100,68561.0,75.625,5617.358,2320.0
2951,1,100,69321.0,79.375,3797.326,1120.0
3019,1,100,72361.0,74.375,5185.792,2580.0
3090,1,100,73620.5,76.875,4717.671,2300.0
3162,1,100,75021.0,73.125,4745.244,2640.5
3235,1,100,76420.5,71.875,4436.773,2300.0
3311,1,100,77761.0,76.25,4327.94,2100.5
3388,1,100,79800.5,73.75,4744.983,2440.0
3467,1,100,82821.0,77.5,5405.77,2440.5
3548,1,100,83761.0,77.5,5143.794,2420.0
3630,1,100,85801.0,75.0,4135.44,2380.5
3715,1,100,87481.0,73.125,5856.226,3040.0
3801,1,100,89161.0,80.0,4695.73,2739.5
3890,1,100,92201.0,76.891,4588.328,2660.0
3981,1,100,92321.0,73.75,3544.517,1580.0
4073,1,100,96361.0,81.875,5688.841,2820.0
4168,1,100,99061.0,78.75,4934.283,2800.0
4265,1,100,100841.0,75.625,8020.891,2820.0
4365,1,100,103201.0,75.625,5228.716,3300.0
4466,1,100,105141.0,78.75,5691.539,2900.0
4570,1,100,104841.5,73.766,8382.496,1860.0
4677,1,100,107921.0,79.375,6574.206,2380.0
4786,1,100,111461.0,76.875,6284.654,2580.0
4897,1,100,114721.0,72.5,6161.342,3099.5
5011,1,100,118581.5,75.0,5063.6,2840.0
5128,1,100,119841.5,115.625,4884.881,3400.0
5248,1,100,123361.5,75.0,4331.315,2620.0
5370,1,100,125202.0,76.25,7796.155,3240.5
5495,1,100,130621.0,112.5,6828.969,3220.5
5623,1,100,132181.5,76.875,7487.304,3680.0
5754,1,100,135421.5,82.5,6520.602,3280.0
5888,1,100,138181.5,79.375,5917.118,3840.0
6025,1,100,141782.0,80.0,5380.385,3159.0
6165,1,100,143701.0,86.875,6129.618,3380.0
6309,1,100,146741.5,81.266,7355.132,4120.0
6456,1,100,151381.5,81.875,7794.04,4380.0
6606,1,100,153721.5,81.875,6334.474,3240.0
6760,1,100,156722.0,81.25,7053.441,3800.5
6918,1,100,160021.5,79.375,7329.836,3920.0
7079,1,100,166061.5,80.625,6785.391,4040.0
7244,1,100,170441.5,77.5,8559.0,4300.0
7413,1,100,172182.0,80.625,6883.377,5060.5
7585,1,100,176502.0,82.5,8409.19,4680.0
7762,1,100,180362.0,81.25,7453.34,4780.0
7943,1,100,184181.5,82.5,7798.75,3580.5
8128,1,100,190762.0,81.891,7716.856,4880.0
8317,1,100,193962.0,81.25,8810.713,3960.5
8511,1,100,197982.5,80.641,8028.746,4260.0
8709,1,100,203382.5,81.875,8315.401,5280.0
8912,1,100,207762.0,82.5,8683.141,4880.0
9120,1,100,211722.0,84.391,8184.438,5380.0
9332,1,100,215722.5,78.75,11957.079,5180.5
9549,1,100,222542.5,80.625,9182.018,5680.0
9772,1,100,227102.0,81.875,11324.586,5760.0
9999,1,100,231723.0,83.125,10038.631,6380.5
10232,1,100,235782.0,82.5,8622.045,4900.0
10471,1,100,241502.5,80.625,9883.359,4920.0
10715,1,100,248242.5,80.0,9244.084,5380.5
10964,1,100,251842.0,143.125,10907.656,5799.5
11220,1,100,260323.0,80.0,7780.795,5000.5
11481,1,100,267663.0,80.625,7493.784,5499.5
11748,1,100,272243.0,84.375,9985.819,6080.0
12022,1,100,280003.0,81.875,8919.792,5000.0
12302,1,100,285042.5,76.875,13814.653,7640.5
12589,1,100,290723.0,82.5,10476.377,6340.0
12882,1,100,297263.5,82.5,11110.75,6460.0
13182,1,100,305043.0,81.875,11584.403,7180.0
13489,1,100,311683.5,83.75,10253.91,6400.0
13803,1,100,320803.0,158.125,12090.503,7699.5
14125,1,100,325983.5,75.625,11044.458,5520.5
14454,1,100,331384.0,81.25,10773.072,6700.0
14791,1,100,340343.5,83.125,12377.368,8040.5
15135,1,100,349264.0,81.25,12608.913,8260.5
15488,1,100,355483.0,87.5,14261.304,9460.5
15848,1,100,359983.5,85.0,12138.507,6140.5
16218,1,100,366064.0,85.0,11272.208,6120.0
16595,1,100,376644.0,79.375,10813.115,7000.0
16982,1,100,392304.0,80.0,13892.726,9840.0
17378,1,100,398884.0,84.375,13652.107,7660.0
17782,1,100,407324.0,83.75,15953.64,12620.5
18197,1,100,415664.0,89.375,12806.995,9139.5
18620,1,100,428324.5,90.625,14604.501,7920.0
19054,1,100,439744.5,88.125,13461.225,8680.0
19498,1,100,450924.5,89.375,13192.612,9260.0
19952,1,100,463705.0,95.0,15816.663,11340.0
20417,1,100,464505.0,87.5,13546.879,6880.0
20892,1,100,480205.0,93.141,14735.357,11220.0
21379,1,100,489825.0,98.75,16017.628,10040.0
21877,1,100,500585.0,97.5,12449.123,7400.5
22387,1,100,510685.0,95.625,15184.23,10160.0
22908,1,100,525225.0,93.75,14635.075,8200.0
23442,1,100,536605.0,96.875,20313.588,12879.5
23988,1,100,548706.0,93.125,18519.334,10380.5
24547,1,100,559025.0,93.141,17595.744,8020.0
25118,1,100,567546.0,84.375,13596.335,8060.5
25703,1,100,581806.0,89.375,18329.278,11700.0
26302,1,100,601326.0,101.25,17187.525,10460.5
26915,1,100,617946.5,92.5,17555.735,10879.5
27542,1,100,630166.5,91.25,20705.185,15460.0
28183,1,100,639846.5,91.875,20135.097,15040.5
28840,1,100,658367.0,108.125,14743.247,11600.0
29512,1,100,678727.0,100.625,17632.529,11800.0
30199,1,100,690907.5,100.0,20099.542,11620.5
30902,1,100,701867.5,93.75,22155.884,11760.0
31622,1,100,718027.5,100.0,18435.886,11440.5
32359,1,100,736607.0,151.25,22875.883,11299.5
33113,1,100,751288.0,90.625,25658.809,16020.0
33884,1,100,767388.0,103.75,19748.177,11340.5
34673,1,100,786268.0,99.375,22412.422,12400.0
35481,1,100,798268.5,115.625,22852.877,13560.5
36307,1,100,815208.5,103.125,22653.063,12680.0
37153,1,100,834709.0,105.0,26794.34,15660.0
38018,1,100,865349.0,101.25,26756.779,18980.0
38904,1,100,884849.5,97.5,25839.668,18120.0
39810,1,100,900829.5,106.891,27074.048,17620.5
40738,1,100,917889.5,111.25,24912.433,19120.5
41686,1,100,932890.0,108.125,24286.263,17260.5
42657,1,100,950190.0,101.25,22791.025,15820.0
43651,1,100,976370.5,115.625,28818.802,17281.0
44668,1,100,999630.0,100.625,21364.485,14940.0
45708,1,100,1026390.5,112.5,27054.037,16640.5
46773,1,100,1043610.0,92.5,24028.378,17040.0
47863,1,100,1075791.5,120.0,28735.079,21620.0
48977,1,100,1100192.0,97.516,33777.378,22840.5
50118,1,100,1123771.5,117.5,28753.15,19500.5
51286,1,100,1144411.5,110.641,29394.546,17319.5
52480,1,100,1172172.0,106.891,29404.703,23240.0
53703,1,100,1192212.0,108.75,27744.627,13380.0
54954,1,100,1231932.5,108.125,37468.043,18780.0
56234,1,100,1265853.0,113.75,35802.173,25800.5
57543,1,100,1286133.0,110.625,25119.412,15360.5
58884,1,100,1316354.0,115.625,38291.06,28920.0
60255,1,100,1338554.0,108.75,36213.946,19901.0
61659,1,100,1374034.5,101.25,33172.853,23840.0
63095,1,100,1402434.5,97.5,35056.956,23960.0
64565,1,100,1474315.0,108.125,41213.371,24100.0
66069,1,100,1495575.0,114.375,46710.83,30860.0
67608,1,100,1532216.0,114.375,55740.931,25820.5
69183,1,100,1574556.0,109.375,39969.914,21060.5
70794,1,100,1596777.0,109.375,43564.963,29660.0
72443,1,100,1642317.5,102.5,46651.576,26280.5
74131,1,100,1672377.0,113.125,44311.519,33640.5
75857,1,100,1704317.0,112.5,41055.831,24981.0
77624,1,100,1736018.0,118.75,51084.989,33020.5
79432,1,100,1784118.5,116.25,50973.328,26960.0
81283,1,100,1847899.0,119.375,46792.095,27060.0
83176,1,100,1874440.0,111.25,40761.205,31481.0
85113,1,100,1922400.0,130.625,45376.641,26040.0
87096,1,100,1954820.5,124.391,48496.036,29540.0
89125,1,100,1999400.0,116.25,51205.3,30180.0
91201,1,100,2063321.0,128.125,49065.15,32880.5
93325,1,100,2121482.0,152.5,52967.991,23140.0
95499,1,100,2149803.0,121.875,45853.97,19680.5
97723,1,100,2210283.0,119.375,52789.251,42800.5
