size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,13440.0,75.312,1942.95,0.0
10000,10,10009,531025.0,78.75,10280.122,5720.0
10000,10,20008,547366.0,75.625,13402.569,8020.5
10000,10,30007,542566.0,89.688,9436.679,6400.5
10000,10,40006,541345.5,96.562,16850.6,6880.0
10000,10,50005,537786.0,73.125,10122.028,6260.0
10000,10,60004,541465.5,74.375,10735.226,6800.5
10000,10,70003,537346.0,79.062,8617.618,4739.5
10000,10,80002,540886.0,81.25,11151.199,7580.0
10000,10,90001,542885.5,83.125,10279.586,6059.5
10000,10,100000,545866.0,83.75,10991.688,7180.0
10000,10,109999,545705.5,74.688,10900.636,7380.5
10000,10,119998,539525.5,77.5,9995.87,5800.0
10000,10,129997,540905.5,79.062,9078.629,6059.5
10000,10,139996,539146.0,79.688,18757.268,6360.0
10000,10,149995,542386.0,77.188,8849.743,5800.5
10000,10,159994,541365.5,78.75,10826.207,5680.0
10000,10,169993,540986.0,80.0,9919.704,6619.5
10000,10,179992,538885.5,79.375,11862.23,5539.5
10000,10,189991,537645.5,84.375,10179.744,5520.0
10000,10,199990,537866.0,74.688,8899.825,6360.0
10000,10,209989,538885.5,76.562,9764.391,5520.0
10000,10,219988,540065.5,73.75,10631.495,6259.5
10000,10,229987,538185.5,77.5,11219.634,5680.5
10000,10,239986,539446.0,79.383,19969.052,6199.5
10000,10,249985,539486.0,80.938,9290.632,5479.5
10000,10,259984,540305.5,80.0,9047.657,5499.5
10000,10,269983,540405.5,82.812,12089.986,4700.5
10000,10,279982,540406.0,76.57,9856.382,5720.0
10000,10,289981,539946.0,81.258,9444.378,6040.0
10000,10,299980,538585.5,84.688,10500.663,5400.5
10000,10,309979,540065.5,82.5,10076.925,6160.0
10000,10,319978,544205.5,79.688,10375.689,6180.0
10000,10,329977,540266.0,76.25,19506.902,5580.5
10000,10,339976,538525.5,76.25,9593.088,5680.0
10000,10,349975,541006.0,77.5,9885.153,6840.5
10000,10,359974,543066.0,83.133,11385.937,6200.5
10000,10,369973,543905.0,79.688,9371.165,6300.5
10000,10,379972,539545.5,77.188,9819.986,6120.0
10000,10,389971,538945.5,75.938,10281.029,6980.0
10000,10,399970,542945.5,77.812,10857.554,6660.5
10000,10,409969,541665.5,80.938,10243.564,6520.5
10000,10,419968,543605.5,95.312,9794.644,6620.5
10000,10,429967,539885.5,80.938,19765.376,5720.0
10000,10,439966,542885.0,83.125,10238.456,6700.0
10000,10,449965,545546.0,73.125,10453.956,6960.0
10000,10,459964,539125.5,71.883,10210.721,5600.0
10000,10,469963,539805.5,85.625,10200.301,6160.5
10000,10,479962,538885.5,89.375,10753.362,5700.5
10000,10,489961,546005.5,79.375,9419.861,5220.0
10000,10,499960,545506.0,77.188,10624.555,6679.5
10000,10,509959,545186.0,79.688,10292.243,6460.0
10000,10,519958,542525.5,75.938,10656.528,7099.5
10000,10,529957,542386.0,77.812,18430.355,6621.0
10000,10,539956,541926.0,80.312,9926.458,6720.0
10000,10,549955,540986.0,84.703,11612.878,6640.5
10000,10,559954,541766.0,74.062,9354.58,5919.5
10000,10,569953,546145.5,80.0,8623.913,5920.0
10000,10,579952,546685.5,95.938,11587.467,5920.5
10000,10,589951,546246.0,92.188,10755.832,7060.0
10000,10,599950,544806.0,81.875,11114.145,6620.0
10000,10,609949,546405.5,95.945,10381.58,6000.0
10000,10,619948,540085.5,81.875,10519.776,7260.5
10000,10,629947,545225.5,86.562,10001.197,6200.0
10000,10,639946,546965.0,77.812,11220.327,6519.5
10000,10,649945,541345.5,79.688,11256.444,5959.5
10000,10,659944,544626.0,80.625,12695.888,8060.5
10000,10,669943,544105.0,104.688,10718.007,6920.0
10000,10,679942,546445.5,74.688,11818.571,7740.5
10000,10,689941,545725.0,79.062,11998.6,7319.5
10000,10,699940,545265.5,76.25,11486.67,6499.5
10000,10,709939,548445.0,83.125,11997.213,7140.0
10000,10,719938,547145.5,90.312,18523.119,7280.5
10000,10,729937,541246.0,80.312,13024.081,7439.5
10000,10,739936,540905.5,81.875,12298.48,6540.0
10000,10,749935,541725.5,81.25,13469.298,7960.5
10000,10,759934,543145.5,76.25,11607.851,6640.0
10000,10,769933,539245.5,73.75,11477.494,5620.0
10000,10,779932,541326.0,86.57,10821.031,6540.0
10000,10,789931,543045.0,82.188,12213.792,7739.0
10000,10,799930,540226.0,85.0,11348.825,6040.5
10000,10,809929,542345.5,83.125,12229.415,7420.5
10000,10,819928,548626.0,77.188,11494.786,6260.0
10000,10,829927,544665.5,93.438,11668.813,5780.0
10000,10,839926,548065.0,119.07,11077.345,8000.0
10000,10,849925,545986.0,79.695,11661.244,7640.0
10000,10,859924,549726.0,126.258,11883.875,8240.5
10000,10,869923,545165.5,85.625,13266.483,6880.0
10000,10,879922,548886.0,78.125,12758.855,6460.5
10000,10,889921,546585.5,76.875,12909.498,6460.5
10000,10,899920,538865.5,81.25,11826.183,6980.5
10000,10,909919,539365.5,74.062,9879.976,5920.5
10000,10,919918,539265.5,85.938,11168.497,6400.0
10000,10,929917,539985.0,80.625,12364.704,7320.5
10000,10,939916,543205.0,81.562,13192.342,8559.5
10000,10,949915,543726.0,84.062,10671.722,7040.5
10000,10,959914,547406.0,76.562,11787.862,7700.5
10000,10,969913,538405.5,78.125,12235.559,6640.0
10000,10,979912,546846.0,78.125,12228.126,5599.5
10000,10,989911,541446.0,78.75,11134.778,6959.5
