size,min_val,max_val,time,resolution,stdev,mad
100,1,2000000,3760.0,90.0,160.344,100.0
599,1,2000000,25920.0,85.0,432.687,320.5
1098,1,2000000,50861.0,85.0,10447.291,880.0
1597,1,2000000,76381.0,87.5,5724.324,520.5
2096,1,2000000,102982.0,90.0,8301.058,940.0
2595,1,2000000,131062.0,92.5,8982.484,1300.5
3094,1,2000000,162701.5,85.0,12767.883,5859.5
3593,1,2000000,192682.0,85.0,7916.983,6140.0
4092,1,2000000,216122.0,87.5,11031.477,3440.0
4591,1,2000000,258203.0,942.5,13342.281,9420.0
5090,1,2000000,280842.5,102.5,10675.836,8420.5
5589,1,2000000,315283.0,105.0,11491.945,9860.0
6088,1,2000000,341243.5,90.0,13786.923,10620.0
6587,1,2000000,366143.5,112.5,17593.258,12200.5
7086,1,2000000,392964.0,92.5,12535.948,5540.0
7585,1,2000000,430125.0,90.0,21573.966,10121.0
8084,1,2000000,458304.5,100.0,18494.902,10860.0
8583,1,2000000,506405.5,127.5,11691.765,6860.5
9082,1,2000000,532865.5,90.0,11706.747,9739.5
9581,1,2000000,568406.0,90.0,10393.397,7200.5
10080,1,2000000,614326.5,120.0,24694.607,14860.5
10579,1,2000000,626186.5,97.5,14071.609,13740.5
11078,1,2000000,663167.0,105.0,15958.232,8540.5
11577,1,2000000,690067.5,107.5,14879.431,6119.5
12076,1,2000000,732127.5,102.5,19962.313,18120.0
12575,1,2000000,757347.5,87.5,19468.946,13339.5
13074,1,2000000,793668.5,87.5,16527.025,10519.5
13573,1,2000000,829029.0,85.0,16023.693,13780.5
14072,1,2000000,856749.0,82.5,17558.953,8020.5
14571,1,2000000,888429.5,97.5,14661.563,8800.5
15070,1,2000000,929609.0,92.5,14536.737,8920.5
15569,1,2000000,953309.5,95.0,18152.787,15180.0
16068,1,2000000,978311.0,107.5,18741.945,13060.5
16567,1,2000000,1019610.5,95.0,24174.255,10419.5
17066,1,2000000,1049950.5,92.5,17586.371,12680.0
17565,1,2000000,1081831.5,87.5,23192.247,14740.5
18064,1,2000000,1110291.0,90.0,21093.155,6940.5
18563,1,2000000,1153892.0,95.0,19272.406,13160.0
