size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,13440.0,77.5,2496.177,0.0
10000,10,10,13480.0,80.938,2362.904,40.0
10000,10,10,13440.0,77.188,2344.181,0.0
10000,10,11,47880.5,87.812,3779.943,1680.0
10000,10,11,47881.0,88.758,2781.47,1921.0
10000,10,12,64120.5,75.625,4615.74,2160.5
10000,10,12,64241.0,85.0,3661.606,2520.0
10000,10,13,76901.0,80.945,5830.331,2960.0
10000,10,13,77020.5,79.688,5012.592,2519.5
10000,10,14,86201.0,82.5,6923.512,3360.0
10000,10,14,86501.0,86.25,4707.603,2200.0
10000,10,15,93341.0,81.57,6462.286,3040.0
10000,10,15,93841.0,81.25,6078.339,2820.0
10000,10,16,99921.0,73.125,5713.583,3040.0
10000,10,17,105341.0,84.062,6681.505,3600.0
10000,10,17,107241.0,82.5,7228.412,3600.0
10000,10,18,110041.0,83.438,6628.162,3640.0
10000,10,19,115121.0,75.938,6744.117,4119.5
10000,10,19,116441.0,81.25,7902.396,3680.5
10000,10,20,119461.0,79.375,7611.46,4520.0
10000,10,21,123442.0,76.562,7661.482,3840.0
10000,10,22,125222.0,76.875,6456.6,3059.5
10000,10,23,130501.5,80.312,7107.728,3640.5
10000,10,24,134581.5,81.562,8371.122,3920.0
10000,10,25,137041.5,77.5,6771.996,3920.5
10000,10,26,140741.0,108.438,7103.382,4279.5
10000,10,27,141721.0,77.812,6784.935,4579.5
10000,10,28,144961.0,78.125,7615.387,4220.0
10000,10,29,148881.5,79.688,7643.108,3260.0
10000,10,30,149761.5,82.188,6875.887,3220.0
10000,10,31,151721.5,74.062,7525.85,4459.5
10000,10,32,155602.0,81.562,8075.107,4280.5
10000,10,34,158801.0,95.625,7252.151,3599.5
10000,10,35,161102.0,81.25,7146.593,4940.0
10000,10,36,164381.5,80.938,8832.355,4780.5
10000,10,38,165002.0,80.0,7467.883,5240.0
10000,10,39,165782.0,86.875,7044.571,3440.5
10000,10,41,168802.0,80.625,7439.396,3460.5
10000,10,42,173042.0,81.875,7833.132,4699.5
10000,10,44,176042.0,81.562,7254.665,4580.5
10000,10,46,179042.0,80.938,6930.852,4100.0
10000,10,48,180362.0,82.5,7899.473,4880.0
10000,10,50,181682.0,84.062,8301.178,4460.0
10000,10,52,185962.0,81.562,8587.729,4900.0
10000,10,54,189302.0,82.812,8046.371,4560.0
10000,10,56,190482.0,85.945,7305.536,4420.0
10000,10,58,192842.0,82.188,8565.471,4240.0
10000,10,60,194462.0,105.008,8240.44,4780.0
10000,10,63,196922.0,82.812,7925.257,4580.0
10000,10,65,201802.0,76.875,8944.328,5680.0
10000,10,68,201442.5,81.25,8705.077,5280.5
10000,10,70,205302.0,75.625,8782.24,4280.0
10000,10,73,207083.0,78.438,7514.414,5180.5
10000,10,76,210062.0,79.688,8369.634,5300.0
10000,10,79,210882.0,88.758,10657.052,5060.5
10000,10,82,214622.0,81.875,8477.506,4560.5
10000,10,85,216782.5,81.875,9039.447,5720.5
10000,10,89,219482.5,77.812,8826.906,4800.0
10000,10,92,222883.0,77.82,9437.431,5959.5
10000,10,96,225582.0,74.688,7130.194,4719.5
10000,10,99,226502.0,75.312,8843.149,4260.5
10000,10,103,229082.5,74.688,9612.849,5500.0
10000,10,107,230223.0,104.062,9112.369,4420.5
10000,10,112,233123.0,73.125,8409.492,5320.5
10000,10,116,232002.0,77.188,8787.718,4960.0
10000,10,121,237362.5,84.688,7818.95,4540.0
10000,10,125,239903.0,74.375,8300.324,5459.5
10000,10,130,239563.0,80.008,9035.352,4800.0
10000,10,135,240323.0,84.375,7463.155,4000.5
10000,10,141,245102.5,75.312,8189.586,5180.5
10000,10,146,247342.0,75.633,8746.042,4639.0
10000,10,152,249403.0,77.188,7681.682,4939.5
10000,10,158,250302.5,77.5,7271.865,4260.0
10000,10,164,252582.0,75.0,10365.723,3879.5
10000,10,171,257243.0,80.312,9069.823,4480.5
10000,10,177,258923.0,81.25,8061.804,5340.5
10000,10,184,262063.0,80.625,8132.635,4320.0
10000,10,192,266303.0,79.375,8621.413,5321.0
10000,10,199,268243.0,175.938,9101.681,5280.0
10000,10,207,269543.0,81.562,7988.543,4500.0
10000,10,215,271803.0,75.312,9459.045,5540.0
10000,10,223,272422.5,74.375,8765.971,5279.5
10000,10,232,276703.0,79.062,9467.196,5360.0
10000,10,241,277603.0,75.312,9086.239,5420.5
10000,10,251,283743.0,75.625,8494.742,5660.0
10000,10,261,284283.0,89.695,9282.303,5080.0
10000,10,271,286103.0,87.812,9777.172,5160.0
10000,10,281,286803.0,82.5,9894.75,5920.0
10000,10,292,292243.0,81.57,10151.771,5960.0
10000,10,304,293563.0,82.188,9972.162,5800.0
10000,10,316,295783.0,87.812,10361.147,5720.0
10000,10,328,300703.5,115.625,9749.366,7200.5
10000,10,341,299343.0,77.5,9460.911,5060.0
10000,10,354,303143.0,80.312,10144.924,6840.0
10000,10,368,306263.5,77.188,9830.351,5580.0
10000,10,383,308163.5,77.188,10136.028,5740.0
10000,10,398,310603.0,77.188,9023.992,5099.5
10000,10,413,313183.5,83.125,8713.592,6120.0
10000,10,429,315303.5,76.562,10336.394,5979.5
10000,10,446,321423.0,83.75,11095.09,6280.5
10000,10,464,323303.5,80.0,9974.195,5320.0
10000,10,482,321023.5,80.312,8058.449,5020.0
10000,10,501,321383.5,80.312,10129.102,6180.5
10000,10,520,327163.0,82.5,8734.938,4800.0
10000,10,541,331243.5,84.062,9594.373,6020.0
10000,10,562,332564.0,84.062,9823.247,7119.5
10000,10,584,332223.0,82.812,9653.629,5139.5
10000,10,607,335024.0,81.883,9376.182,5420.0
10000,10,630,339123.5,81.875,9670.429,5920.0
10000,10,655,337664.0,82.188,8408.826,4581.0
10000,10,681,345184.0,80.938,9786.177,5680.5
10000,10,707,343204.0,78.125,8798.503,5780.5
10000,10,735,351263.5,77.188,10947.194,6260.5
10000,10,764,352924.0,81.875,7918.934,5161.0
10000,10,794,356124.0,85.32,8420.366,5659.5
10000,10,825,359203.5,81.562,10600.893,4959.5
10000,10,857,360704.0,80.625,10089.4,5419.5
10000,10,891,357723.5,81.25,8314.088,4560.0
10000,10,926,366843.5,80.312,11034.823,7259.5
10000,10,962,366884.0,80.625,10035.784,5879.5
10000,10,999,369124.0,79.375,9895.027,5859.5
10000,10,1039,371943.5,78.758,9533.179,5259.5
10000,10,1079,375704.0,85.625,10391.226,6679.5
10000,10,1122,376544.0,78.125,10459.612,6280.0
10000,10,1165,381104.0,77.188,9964.276,6000.0
10000,10,1211,386144.0,89.688,9677.519,6380.5
10000,10,1258,388004.0,78.75,9273.238,5580.0
10000,10,1308,390084.0,89.375,11281.172,6920.0
10000,10,1359,394824.5,85.625,10132.134,6640.5
10000,10,1412,397664.0,78.75,9592.358,6640.0
10000,10,1467,402384.5,80.938,11882.796,7100.0
10000,10,1525,403484.0,79.062,11020.609,7120.5
10000,10,1584,408004.0,79.688,10631.56,7040.5
10000,10,1646,409524.0,115.312,10692.651,6080.0
10000,10,1711,409344.0,76.562,11182.627,7000.0
10000,10,1778,415844.0,78.758,10356.603,6300.5
10000,10,1847,420145.0,78.125,11132.165,7700.0
10000,10,1920,424484.0,80.938,9789.366,6000.0
10000,10,1995,422265.0,83.438,10063.331,6039.5
10000,10,2073,428044.5,80.312,9552.841,6020.5
10000,10,2154,430044.5,83.438,9939.132,5979.5
10000,10,2238,427724.0,80.0,9036.529,5299.0
10000,10,2326,436284.5,78.75,11986.206,6460.0
10000,10,2417,439344.5,78.75,8793.992,5460.0
10000,10,2511,443644.5,83.438,10997.937,4660.0
10000,10,2610,446105.0,83.125,9537.348,5920.5
10000,10,2712,447865.0,82.5,10105.182,5920.0
10000,10,2818,452004.0,79.695,11765.772,6861.0
10000,10,2928,457404.5,87.5,10647.962,6440.0
10000,10,3043,457605.0,89.062,9841.227,6199.5
10000,10,3162,466365.0,300.625,12163.159,8760.5
10000,10,3285,463505.0,112.5,11444.025,6720.0
10000,10,3414,459944.5,73.758,9419.48,4940.0
10000,10,3548,463985.0,81.25,10785.717,6180.5
10000,10,3686,467345.0,76.875,8909.838,5160.5
10000,10,3831,470525.0,78.438,11113.476,5359.5
10000,10,3981,472565.0,79.375,9467.667,6000.0
10000,10,4136,478605.0,78.75,9222.699,5740.5
10000,10,4298,486705.0,86.875,13854.063,7640.0
10000,10,4466,487285.0,83.75,10868.256,6920.0
10000,10,4641,486565.0,84.062,10394.663,6060.0
10000,10,4823,487305.0,77.5,10694.439,5240.0
10000,10,5011,492025.0,79.07,12538.796,8500.0
10000,10,5207,489945.0,81.883,9994.074,5560.0
10000,10,5411,497025.0,81.875,11102.65,5440.0
10000,10,5623,496365.0,90.312,10411.658,6100.0
10000,10,5843,502925.0,104.688,11624.81,7080.0
10000,10,6072,500365.0,74.688,9496.854,5160.5
10000,10,6309,503405.5,77.5,9559.569,5840.0
10000,10,6556,506246.0,77.5,11568.38,7300.0
10000,10,6812,506645.0,76.57,9974.538,5460.0
10000,10,7079,514665.5,81.25,11254.207,7800.0
10000,10,7356,509825.5,84.062,11050.96,5379.5
10000,10,7644,517886.0,85.0,11818.528,8020.5
10000,10,7943,517986.0,83.445,11659.361,7500.0
10000,10,8254,519445.0,81.875,11542.479,7201.0
10000,10,8576,519905.0,80.312,9158.311,5040.0
10000,10,8912,520406.0,80.625,10006.492,5920.0
10000,10,9261,520445.5,80.0,11333.57,5420.0
10000,10,9623,520125.5,78.438,10160.977,4880.0
10000,10,9999,523145.5,92.5,12004.76,5479.5
10000,10,10391,524525.0,73.75,9506.511,6560.0
10000,10,10797,524165.5,75.938,10259.647,6200.0
10000,10,11220,524685.5,75.0,9951.718,5199.5
10000,10,11659,528725.0,77.188,10913.755,6000.0
10000,10,12115,524585.0,79.688,11327.676,4840.0
10000,10,12589,528485.0,81.875,9217.184,5860.0
10000,10,13081,528545.5,75.625,11443.027,5699.5
10000,10,13593,527665.0,77.188,10895.837,5440.5
10000,10,14125,529226.0,93.438,10708.998,5680.5
10000,10,14677,531486.0,80.0,10028.373,6260.0
10000,10,15252,530925.5,78.758,10969.202,5720.0
10000,10,15848,532365.5,93.125,10116.23,5659.5
10000,10,16468,531626.0,74.375,9812.307,5820.5
10000,10,17113,532345.5,84.062,11794.685,5840.5
10000,10,17782,532485.0,85.625,9996.712,5699.5
10000,10,18478,535125.5,76.875,10918.25,6880.0
10000,10,19201,534326.0,73.125,10978.603,6320.5
10000,10,19952,535986.0,80.312,12263.821,7080.0
10000,10,20733,536125.5,79.695,10933.617,6200.0
10000,10,21544,534485.5,81.266,11170.919,6240.0
10000,10,22387,536145.5,81.883,11413.411,5720.0
10000,10,23263,535406.0,80.312,11463.789,6481.0
10000,10,24173,535925.5,77.188,11224.172,6860.0
10000,10,25118,535286.0,76.883,10917.752,6600.0
