size,min_val,max_val,time,resolution,stdev,mad
100,1,2000000,3120.0,72.5,141.897,80.0
102,1,2000000,3200.0,73.542,125.422,80.0
104,1,2000000,3240.0,72.083,144.858,80.0
107,1,2000000,3320.0,75.0,139.862,80.0
109,1,2000000,3420.0,72.5,145.482,100.0
112,1,2000000,3520.0,73.75,4400.707,80.0
114,1,2000000,3600.0,71.667,2298.54,80.0
117,1,2000000,3680.0,351.464,2761.821,99.5
120,1,2000000,3840.0,72.5,141.281,80.0
123,1,2000000,3880.0,76.667,1304.35,80.0
125,1,2000000,3960.0,73.333,154.19,80.0
128,1,2000000,4040.0,71.875,162.589,80.0
131,1,2000000,4180.0,71.25,588.625,100.0
134,1,2000000,4320.0,74.167,2370.193,80.0
138,1,2000000,4480.0,73.339,822.645,120.0
141,1,2000000,4560.0,72.083,2379.133,120.0
144,1,2000000,4680.0,75.005,199.524,120.0
147,1,2000000,4760.0,71.875,1330.283,80.0
151,1,2000000,4920.0,70.0,1231.371,120.0
154,1,2000000,5040.0,73.75,195.487,120.0
158,1,2000000,5160.5,74.375,172.691,119.5
162,1,2000000,5360.0,75.208,193.309,120.0
165,1,2000000,5440.0,77.917,196.161,120.0
169,1,2000000,5600.0,72.292,2437.706,120.0
173,1,2000000,5760.0,74.167,2316.573,120.0
177,1,2000000,5880.0,71.042,1294.801,120.0
181,1,2000000,6120.0,73.125,2290.28,120.0
186,1,2000000,6240.0,74.38,1522.622,120.0
190,1,2000000,6400.0,75.417,1387.882,120.0
194,1,2000000,6520.0,72.292,209.601,120.0
199,1,2000000,6760.0,72.505,1576.822,160.0
204,1,2000000,6960.0,69.792,1146.052,120.0
208,1,2000000,7080.0,72.292,967.819,120.0
213,1,2000000,7280.0,72.922,257.984,120.0
218,1,2000000,7480.0,72.714,2220.881,160.0
223,1,2000000,7720.0,73.333,2703.873,160.0
229,1,2000000,7920.0,73.339,1369.095,120.0
234,1,2000000,8120.0,72.5,774.283,160.0
239,1,2000000,8360.0,72.083,1975.044,160.0
245,1,2000000,8560.0,73.958,2244.715,160.0
251,1,2000000,8760.0,72.083,1602.216,120.0
257,1,2000000,9000.0,73.958,973.138,160.0
263,1,2000000,9240.5,73.964,1507.012,199.5
269,1,2000000,9560.0,72.083,1472.566,200.0
275,1,2000000,9760.0,74.167,1383.474,160.0
281,1,2000000,9980.0,72.083,596.288,179.5
288,1,2000000,10280.0,73.958,1442.489,200.0
295,1,2000000,10600.0,71.672,1546.492,200.0
301,1,2000000,10840.0,74.38,2610.534,160.0
309,1,2000000,11160.0,74.167,974.873,160.0
316,1,2000000,11360.0,72.708,2538.05,200.0
323,1,2000000,11720.0,73.958,550.323,200.0
331,1,2000000,12040.0,74.375,1356.078,200.0
338,1,2000000,12320.0,74.792,1350.547,160.0
346,1,2000000,12680.0,73.75,1181.002,239.5
354,1,2000000,13000.5,73.542,1979.739,200.5
363,1,2000000,13281.0,72.917,1843.656,201.0
371,1,2000000,13760.0,72.708,1384.129,239.5
380,1,2000000,14041.0,72.917,2547.016,201.0
389,1,2000000,14420.5,73.344,3116.013,220.0
398,1,2000000,14840.0,71.255,2503.48,200.0
407,1,2000000,15201.0,75.417,1142.363,260.0
416,1,2000000,15600.0,72.083,1571.93,240.0
426,1,2000000,16080.0,75.422,2432.082,240.0
436,1,2000000,16560.0,72.5,2390.99,280.0
446,1,2000000,16880.0,72.917,2787.488,280.0
457,1,2000000,17440.0,75.833,3052.693,320.0
467,1,2000000,17800.0,74.167,1888.528,240.0
478,1,2000000,18320.0,70.833,2920.895,279.0
489,1,2000000,18680.0,70.208,2583.103,280.5
501,1,2000000,19240.0,72.089,2402.177,280.0
512,1,2000000,19840.0,72.917,1278.331,300.0
524,1,2000000,20321.0,75.219,2458.735,280.5
537,1,2000000,20920.0,73.542,1326.145,281.0
549,1,2000000,21361.0,75.833,2564.573,280.5
562,1,2000000,21960.0,72.917,2382.949,319.0
575,1,2000000,22520.0,74.792,1991.201,359.0
588,1,2000000,23200.0,75.833,2401.016,359.0
602,1,2000000,23721.0,75.208,2233.624,360.0
616,1,2000000,24280.0,72.5,2092.87,359.0
630,1,2000000,24881.0,73.958,2877.833,359.0
645,1,2000000,25641.0,75.625,4182.551,360.0
660,1,2000000,26320.5,76.042,2720.798,380.0
676,1,2000000,27120.0,72.5,3846.349,400.0
691,1,2000000,27960.5,73.333,1690.756,440.0
707,1,2000000,28720.5,76.672,3211.849,399.5
724,1,2000000,29420.5,74.583,3265.804,380.5
741,1,2000000,30360.0,73.958,2129.214,360.0
758,1,2000000,31100.5,71.458,2962.249,419.5
776,1,2000000,31880.5,79.792,2280.994,400.0
794,1,2000000,32721.0,77.5,2657.591,400.5
812,1,2000000,33641.0,80.417,1793.99,441.0
831,1,2000000,34360.0,79.375,2991.033,360.0
851,1,2000000,35320.5,74.375,2077.01,480.5
870,1,2000000,36360.5,77.708,2600.329,500.0
891,1,2000000,37241.0,75.005,3181.264,440.0
912,1,2000000,38201.0,76.667,2825.326,360.0
933,1,2000000,39201.0,74.792,3020.028,400.0
954,1,2000000,40280.5,71.667,2417.678,479.5
977,1,2000000,41461.0,81.25,2438.141,499.5
999,1,2000000,42840.0,73.125,1763.288,500.0
1023,1,2000000,43641.0,85.208,3511.391,480.5
1047,1,2000000,44800.0,75.625,3437.898,519.5
1071,1,2000000,45921.0,86.25,2568.76,480.0
1096,1,2000000,47041.0,73.542,3621.735,561.0
1122,1,2000000,48321.0,86.667,2654.178,520.0
1148,1,2000000,49800.5,75.208,3053.643,639.5
1174,1,2000000,51040.0,72.292,2838.321,520.0
1202,1,2000000,52480.5,77.505,4548.414,700.0
1230,1,2000000,53561.0,75.625,2910.674,580.0
1258,1,2000000,55201.0,82.5,3436.191,699.5
1288,1,2000000,56360.0,73.333,2929.162,640.5
1318,1,2000000,57961.0,87.708,3262.745,640.0
1348,1,2000000,59500.5,81.875,3874.014,700.5
1380,1,2000000,61201.0,84.375,3404.018,640.0
1412,1,2000000,63000.5,72.917,4308.295,740.0
1445,1,2000000,64200.5,73.75,4304.275,720.5
1479,1,2000000,65801.0,87.5,3274.584,720.0
1513,1,2000000,68061.0,74.583,4824.475,740.0
1548,1,2000000,69880.5,87.5,4174.808,1060.5
1584,1,2000000,71081.0,74.792,3759.48,880.0
1621,1,2000000,72921.0,86.667,3514.225,920.0
1659,1,2000000,74960.5,78.125,3823.464,980.0
1698,1,2000000,76921.0,79.167,4683.559,920.5
1737,1,2000000,78941.0,76.672,4444.122,960.0
1778,1,2000000,80961.0,74.583,3848.864,960.0
1819,1,2000000,82941.0,73.542,4847.935,1100.0
1862,1,2000000,85601.0,77.292,4308.084,1040.0
1905,1,2000000,87540.5,73.333,3800.241,859.5
1949,1,2000000,90021.0,84.375,4744.929,1180.0
1995,1,2000000,92441.0,72.292,3707.794,1040.0
2041,1,2000000,94961.0,77.5,4261.552,1080.0
2089,1,2000000,97301.0,77.5,4172.711,1300.0
2137,1,2000000,99541.5,76.667,4123.267,1340.0
2187,1,2000000,101861.0,78.542,3954.15,1500.0
2238,1,2000000,104921.0,80.0,4968.521,1240.0
2290,1,2000000,107521.0,75.417,4023.888,1120.0
2344,1,2000000,110701.5,73.958,4719.095,1579.5
2398,1,2000000,113601.0,81.042,4853.516,1320.0
2454,1,2000000,116161.0,76.667,5135.161,1679.5
2511,1,2000000,120301.5,73.964,5124.232,1819.5
2570,1,2000000,122681.0,75.0,4728.648,1740.0
2630,1,2000000,125622.0,78.958,20731.297,1659.0
2691,1,2000000,129221.5,77.083,18226.264,1800.0
2754,1,2000000,132562.0,73.542,5926.308,1920.0
2818,1,2000000,135742.0,78.958,5640.425,1801.0
2884,1,2000000,140161.5,72.083,5258.993,2179.5
2951,1,2000000,143181.5,75.625,5868.286,2100.0
3019,1,2000000,146522.0,75.208,6136.582,1979.5
3090,1,2000000,151322.0,77.083,5515.417,2040.0
3162,1,2000000,154362.0,81.042,5088.301,1880.5
3235,1,2000000,159082.0,80.839,5067.034,2080.0
3311,1,2000000,162602.0,80.208,5736.261,2720.0
3388,1,2000000,166142.0,83.125,5715.596,2680.0
3467,1,2000000,170682.0,74.167,6305.339,2640.0
3548,1,2000000,175262.0,75.833,6681.707,2560.0
3630,1,2000000,180082.0,73.333,5699.021,2680.0
3715,1,2000000,185782.0,73.958,5975.137,2979.5
3801,1,2000000,190142.0,85.0,6159.789,2940.0
3890,1,2000000,194662.0,86.255,6910.804,2980.5
3981,1,2000000,199622.0,80.417,5626.571,2799.5
4073,1,2000000,205362.0,87.297,7173.806,3219.5
4168,1,2000000,211322.0,89.172,7164.277,3579.5
4265,1,2000000,215903.0,88.125,6718.65,3121.0
4365,1,2000000,221722.5,85.0,7047.717,3700.5
4466,1,2000000,227782.5,86.458,8329.473,3840.5
4570,1,2000000,233662.5,81.25,7676.349,3740.0
4677,1,2000000,238162.5,85.0,7327.558,3399.5
4786,1,2000000,245622.5,76.875,7248.085,4560.0
4897,1,2000000,251342.5,87.083,7789.919,4160.0
5011,1,2000000,259803.0,79.583,7844.891,4400.0
5128,1,2000000,265303.0,76.667,8436.066,4820.0
5248,1,2000000,273543.0,82.5,7348.161,4800.0
5370,1,2000000,280483.0,94.172,7957.03,4920.0
5495,1,2000000,286823.5,83.76,8060.796,5140.0
5623,1,2000000,292483.0,85.833,8196.675,4700.5
5754,1,2000000,300243.0,83.125,7837.725,4140.0
5888,1,2000000,309944.0,81.458,9182.037,5440.5
6025,1,2000000,318223.5,82.5,8180.214,4740.0
6165,1,2000000,325103.5,90.833,8802.772,5180.5
6309,1,2000000,332503.5,86.042,7661.723,4620.0
6456,1,2000000,340783.5,79.792,8242.782,4680.0
6606,1,2000000,351964.0,86.458,8697.698,5460.0
6760,1,2000000,360404.0,84.792,8063.869,4700.0
6918,1,2000000,369144.0,81.25,7882.65,5240.0
7079,1,2000000,380904.5,86.875,9691.602,5420.5
7244,1,2000000,389084.0,84.375,9593.101,6020.0
7413,1,2000000,397244.0,87.083,8786.903,5619.5
7585,1,2000000,408705.0,89.583,9436.359,6200.5
7762,1,2000000,419905.0,87.917,9427.098,5900.0
7943,1,2000000,428925.0,116.042,9215.644,6500.0
8128,1,2000000,442065.0,86.255,9107.795,6340.0
8317,1,2000000,449865.0,92.083,9018.439,5780.0
8511,1,2000000,463065.0,91.25,9980.322,5440.5
8709,1,2000000,474485.5,80.625,9028.788,6800.0
8912,1,2000000,487845.0,86.875,11784.299,6919.0
9120,1,2000000,499826.0,80.208,10104.05,5580.5
9332,1,2000000,511366.0,87.292,10279.785,6600.5
9549,1,2000000,525985.5,80.219,11959.577,6960.0
9772,1,2000000,538206.0,81.875,10264.907,6920.0
9999,1,2000000,553806.5,84.792,10826.12,6260.0
10232,1,2000000,567586.0,78.958,10380.831,6500.5
10471,1,2000000,580846.0,82.708,14501.638,7700.0
10715,1,2000000,594666.5,130.839,11218.3,6920.0
10964,1,2000000,612106.5,89.375,11203.97,7200.0
11220,1,2000000,628487.0,82.708,12273.656,7660.0
11481,1,2000000,640988.0,79.167,10548.869,6980.0
11748,1,2000000,658007.5,88.542,12058.397,7100.0
12022,1,2000000,677247.0,82.5,13887.271,8180.5
12302,1,2000000,691767.5,80.833,13589.275,6460.5
12589,1,2000000,711308.0,81.667,11856.4,6900.0
12882,1,2000000,726608.0,93.958,13400.598,7500.0
13182,1,2000000,744808.5,92.5,12612.323,7320.5
13489,1,2000000,766968.0,88.755,14534.872,9640.0
13803,1,2000000,783429.0,86.042,13527.614,6940.0
14125,1,2000000,803009.0,82.5,12161.881,6360.0
14454,1,2000000,824929.0,131.875,14034.075,7360.0
14791,1,2000000,846549.5,83.333,13950.171,9280.5
15135,1,2000000,868909.0,96.667,14055.387,9119.5
15488,1,2000000,890829.5,90.417,13497.493,7760.0
15848,1,2000000,911510.0,96.458,15368.855,8240.0
16218,1,2000000,936570.0,102.5,13174.682,7919.5
16595,1,2000000,962211.0,89.583,13614.936,8620.0
16982,1,2000000,985131.0,86.667,16090.699,9880.5
17378,1,2000000,1008531.0,87.292,13852.398,7220.0
17782,1,2000000,1036232.0,88.958,14446.167,9399.0
18197,1,2000000,1063652.0,100.417,14551.764,8560.0
18620,1,2000000,1086432.0,90.417,17633.766,10900.0
19054,1,2000000,1112632.5,93.333,16610.799,8800.0
19498,1,2000000,1142353.0,90.208,16432.341,9400.0
19952,1,2000000,1174713.0,102.708,14556.421,10000.0
20417,1,2000000,1201973.0,100.208,17154.919,10079.5
20892,1,2000000,1233374.0,96.875,17517.186,11840.5
21379,1,2000000,1263954.0,95.0,16058.198,8620.0
21877,1,2000000,1297594.5,95.208,17851.304,11380.0
22387,1,2000000,1323074.5,86.667,17706.56,9360.0
22908,1,2000000,1360675.0,87.917,17203.974,10240.0
23442,1,2000000,1397475.5,91.464,21356.912,10980.5
23988,1,2000000,1432835.5,90.625,19216.598,10959.5
24547,1,2000000,1468877.0,97.917,19247.444,11139.0
25118,1,2000000,1503697.0,92.917,20433.768,12121.0
25703,1,2000000,1541077.0,96.042,21829.54,11240.0
26302,1,2000000,1583217.0,95.0,20414.543,11480.5
26915,1,2000000,1620538.0,99.172,20301.208,10960.5
27542,1,2000000,1661938.0,92.505,22270.529,13540.0
28183,1,2000000,1707858.5,92.917,21416.719,12639.5
28840,1,2000000,1771079.0,106.042,24952.549,15820.5
29512,1,2000000,1822920.0,101.667,25277.512,15380.0
30199,1,2000000,1855460.0,110.005,31767.39,17820.0
30902,1,2000000,1885220.0,92.5,22798.937,12580.0
31622,1,2000000,1930901.0,113.755,24327.2,13620.5
32359,1,2000000,1976161.5,91.25,23936.926,12160.0
33113,1,2000000,2059482.5,100.422,27832.388,16700.0
33884,1,2000000,2111063.0,98.547,29663.339,18760.5
34673,1,2000000,2167084.0,119.172,27626.579,17121.0
35481,1,2000000,2223304.5,114.583,30463.899,17860.5
36307,1,2000000,2279205.0,112.708,27230.793,15060.0
37153,1,2000000,2331265.5,109.167,34747.918,21540.5
38018,1,2000000,2396526.5,109.167,29979.666,20480.5
38904,1,2000000,2447827.0,114.792,31061.343,16260.5
39810,1,2000000,2519987.0,109.375,35833.404,21400.0
40738,1,2000000,2582628.5,116.458,29958.185,17560.5
41686,1,2000000,2653609.0,117.297,31912.612,19800.0
42657,1,2000000,2713349.5,113.333,32425.265,20820.0
43651,1,2000000,2790330.5,111.667,34248.869,19640.5
44668,1,2000000,2853111.0,113.75,35000.913,20780.0
45708,1,2000000,2899592.0,110.208,35634.031,24480.0
46773,1,2000000,2968192.0,108.542,36176.461,19480.0
