size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,47342972.0,108.75,306839.281,204341.5
10000,10,11,23804967.0,84.688,137168.783,71860.5
10000,10,12,15959346.0,90.008,85443.067,40340.0
10000,10,14,9567279.5,84.375,66977.323,34660.5
10000,10,15,8013283.5,87.812,47205.196,24420.5
10000,10,17,6076503.0,88.75,46999.338,28541.0
10000,10,19,4927511.0,86.25,34497.277,29860.5
10000,10,22,3882380.5,81.25,18518.199,8360.0
10000,10,25,3205593.5,109.375,22193.117,12780.5
10000,10,28,2744508.5,108.75,20183.701,14880.5
10000,10,31,2406165.0,86.875,22633.802,14640.0
10000,10,35,2078521.5,102.5,16224.223,11919.5
10000,10,39,1839199.0,83.125,15708.8,11300.0
10000,10,44,1613877.0,91.25,14825.383,9799.5
10000,10,50,1412654.5,84.375,16220.798,11959.5
10000,10,56,1272433.5,85.312,14343.782,8979.5
10000,10,63,1142112.0,84.062,12278.257,6840.0
10000,10,70,1034531.0,83.125,13896.678,9300.5
10000,10,79,943050.0,87.188,12462.284,7980.0
10000,10,89,856729.0,88.125,17283.257,8680.0
10000,10,99,789828.0,82.188,13149.449,8260.5
10000,10,112,725707.5,82.188,12671.995,7740.0
10000,10,125,669567.0,251.25,10396.343,6780.0
10000,10,141,635206.5,85.312,11884.568,7360.0
10000,10,158,598526.5,84.375,11376.4,7859.5
10000,10,177,568506.0,83.438,12075.474,5920.0
10000,10,199,541446.0,85.625,12745.649,7360.0
10000,10,223,517985.0,84.375,13977.325,6300.0
10000,10,251,495565.0,81.875,10944.797,6460.0
10000,10,281,481645.0,83.438,11157.762,7380.5
10000,10,316,466724.5,84.062,19772.693,6180.0
10000,10,354,458305.0,81.562,9559.919,6300.0
10000,10,398,450385.0,81.25,11681.483,7760.0
10000,10,446,441804.0,84.375,11262.157,5920.5
10000,10,501,437044.5,82.188,11076.953,6920.5
10000,10,562,433144.0,85.0,11017.778,6400.5
10000,10,630,431284.5,82.812,12573.167,7600.0
10000,10,707,428765.0,83.125,12805.259,8339.5
10000,10,794,427444.0,82.5,11119.401,6540.5
10000,10,891,424044.0,83.133,12237.632,8079.5
10000,10,999,429485.0,80.945,9929.009,5960.5
10000,10,1122,428444.5,82.5,10473.177,5860.0
10000,10,1258,432264.5,83.75,11486.306,5520.0
10000,10,1412,437365.0,112.82,11501.593,7781.0
10000,10,1584,434764.0,82.5,11749.975,6960.0
10000,10,1778,440024.0,84.375,11112.47,5319.5
10000,10,1995,446505.0,83.141,10385.467,7020.0
10000,10,2238,449104.0,81.875,10402.855,7560.0
10000,10,2511,452925.0,81.875,12035.091,6900.0
10000,10,2818,455164.5,81.875,9883.596,6139.5
10000,10,3162,449944.5,84.375,13735.877,5060.0
10000,10,3548,459584.5,83.75,10457.588,6820.5
10000,10,3981,460984.5,84.062,11771.192,7240.0
10000,10,4466,460025.0,81.562,10475.035,5800.0
10000,10,5011,460145.0,83.125,10911.559,5100.0
10000,10,5623,461184.5,82.5,11357.669,6760.5
10000,10,6309,463645.0,82.812,10845.551,6600.0
10000,10,7079,469725.0,120.0,12222.181,7720.5
10000,10,7943,469825.0,83.125,10108.608,5480.5
10000,10,8912,473885.0,81.875,8612.384,5040.5
10000,10,9999,476284.5,75.312,12032.847,7240.5
10000,10,11220,472065.0,77.5,9990.109,6100.0
10000,10,12589,473005.0,78.125,11244.841,7440.0
10000,10,14125,475965.0,75.0,13993.116,8080.0
10000,10,15848,481025.0,77.188,11658.446,7040.0
10000,10,17782,478945.0,80.625,9283.476,5940.5
10000,10,19952,481985.0,77.188,11143.521,7180.0
10000,10,22387,475904.5,79.375,11012.871,6820.0
10000,10,25118,478965.0,78.125,12235.893,8400.0
10000,10,28183,481365.0,76.25,11539.422,8380.0
10000,10,31622,479765.0,74.375,10281.475,5620.0
10000,10,35481,479604.5,78.438,11738.139,8040.5
10000,10,39810,476465.0,77.5,10235.429,6280.5
10000,10,44668,480545.0,84.07,10185.33,6220.0
10000,10,50118,476525.0,76.25,10566.707,7980.5
10000,10,56234,480105.0,80.0,11029.818,7420.5
10000,10,63095,476085.0,74.688,10261.834,6100.0
10000,10,70794,475785.0,76.562,8820.131,4620.0
10000,10,79432,479685.0,76.562,10921.508,6240.0
10000,10,89125,477245.0,81.25,9718.347,5820.5
10000,10,99999,477345.0,74.375,9793.343,5300.0
10000,10,112201,478924.5,84.688,12454.273,9459.5
10000,10,125892,474985.0,75.945,10570.721,6300.0
10000,10,141253,481565.0,78.75,10776.488,5820.5
10000,10,158489,482465.0,80.625,9785.874,6520.0
10000,10,177827,482485.0,82.812,12433.658,6380.0
10000,10,199526,481925.0,75.312,10668.57,7140.0
10000,10,223872,479444.5,80.0,10202.651,5959.5
10000,10,251188,482745.0,78.75,9964.771,6040.0
10000,10,281838,487125.0,76.562,10861.389,6380.0
10000,10,316227,484725.0,79.07,10634.497,6320.0
10000,10,354813,475785.0,78.75,13387.282,7060.0
10000,10,398107,474345.0,80.938,10995.134,6200.5
10000,10,446683,474565.0,75.312,11236.878,5940.5
10000,10,501187,477325.0,77.812,10797.408,6040.5
10000,10,562341,480905.0,76.875,11537.035,7140.0
10000,10,630957,477725.0,77.188,12007.547,6320.0
10000,10,707945,473705.0,83.438,10757.371,5300.0
10000,10,794328,478145.0,78.125,11477.816,6660.0
10000,10,891250,481905.0,79.375,13642.589,7980.0
