size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,46954727.0,105.0,288784.767,144681.0
10000,10,10009,471745.0,85.0,11720.135,8000.0
10000,10,20008,473885.0,85.938,9691.56,5660.0
10000,10,30007,475485.0,90.938,10463.362,6900.5
10000,10,40006,475925.0,89.062,10875.736,6320.0
10000,10,50005,475344.5,87.812,12831.889,6280.5
10000,10,60004,477484.5,81.562,10181.149,6340.5
10000,10,70003,476765.0,85.625,11621.594,5820.0
10000,10,80002,477765.0,81.875,11610.353,6620.0
10000,10,90001,481805.0,82.5,16782.97,7900.0
10000,10,100000,480425.0,88.125,12551.227,6680.0
10000,10,109999,482185.0,108.438,10697.867,6100.0
10000,10,119998,480625.0,91.875,12493.962,9280.0
10000,10,129997,477125.0,83.75,10857.787,5820.0
10000,10,139996,477185.0,80.938,10945.95,5800.0
10000,10,149995,475005.0,82.188,10505.888,7340.0
10000,10,159994,477385.0,80.625,10860.133,6420.0
10000,10,169993,476845.0,163.75,10527.267,5580.0
10000,10,179992,474345.0,91.562,11017.311,6220.0
10000,10,189991,474225.0,93.75,10120.878,5340.0
10000,10,199990,473705.0,93.75,10080.564,5520.0
10000,10,209989,473945.0,89.062,10250.106,5920.5
10000,10,219988,473965.0,92.5,11367.636,6560.0
10000,10,229987,475525.0,81.875,51577.23,5780.5
10000,10,239986,476285.0,80.312,10190.987,6420.0
10000,10,249985,476265.0,88.125,11583.072,5680.0
10000,10,259984,476025.0,80.0,10207.23,5220.0
10000,10,269983,475805.0,80.945,11493.042,5820.0
10000,10,279982,481985.0,88.125,10604.792,6140.0
10000,10,289981,482345.0,81.883,10734.297,5760.0
10000,10,299980,484065.0,85.633,10741.071,6640.0
10000,10,309979,482505.0,115.633,11902.411,6860.0
10000,10,319978,479685.0,88.438,10432.17,7640.0
10000,10,329977,475805.0,84.375,10922.867,5700.0
10000,10,339976,475045.0,85.625,10788.234,6300.5
10000,10,349975,473825.0,80.312,9269.628,6400.0
10000,10,359974,477685.0,83.75,11552.029,7980.0
10000,10,369973,473845.0,82.188,10464.496,5740.0
10000,10,379972,475065.0,82.188,11405.064,6680.5
10000,10,389971,476085.0,87.812,11368.962,6000.0
10000,10,399970,475245.0,80.938,10238.443,5360.0
10000,10,409969,474685.0,80.312,10618.28,5980.0
10000,10,419968,475025.0,81.875,9439.938,5900.0
10000,10,429967,474385.0,81.875,10065.171,6320.0
10000,10,439966,475705.0,80.945,11125.577,6640.0
10000,10,449965,474365.0,81.875,10000.142,5680.0
10000,10,459964,476045.0,86.875,11702.952,5600.5
10000,10,469963,477085.0,81.562,10975.593,5520.0
10000,10,479962,475045.0,80.625,11792.517,5960.0
10000,10,489961,476885.0,80.625,11320.534,6080.5
10000,10,499960,478025.0,80.0,11230.876,6460.0
10000,10,509959,476405.0,81.25,8463.068,5500.0
10000,10,519958,476845.0,86.25,10884.931,6240.0
10000,10,529957,479005.0,83.75,10277.937,7160.0
10000,10,539956,477645.0,87.5,10138.406,5780.0
10000,10,549955,477405.0,80.625,10089.05,5980.0
10000,10,559954,476405.0,80.938,10359.849,6820.0
10000,10,569953,476585.0,84.062,9464.909,6060.0
10000,10,579952,477025.0,88.133,10846.783,5840.0
10000,10,589951,475985.0,79.688,10711.156,5320.5
10000,10,599950,477645.0,79.688,9957.759,6500.5
10000,10,609949,475104.5,80.312,10652.342,6760.0
10000,10,619948,476325.0,81.562,11007.383,5280.0
10000,10,629947,475524.5,81.562,9794.321,6040.5
10000,10,639946,476345.0,80.312,10642.41,7280.0
10000,10,649945,474545.0,84.688,10794.719,7120.0
10000,10,659944,477065.0,82.195,10585.966,7120.0
10000,10,669943,475845.0,85.938,13388.834,6180.0
10000,10,679942,477105.0,81.875,9862.977,5600.0
10000,10,689941,475284.5,81.875,10019.624,6500.0
10000,10,699940,473085.0,81.562,10486.505,5540.0
10000,10,709939,475884.5,81.258,11014.83,5920.0
10000,10,719938,473544.5,83.438,10318.991,5680.0
10000,10,729937,474925.0,87.812,9837.913,6140.0
10000,10,739936,474645.0,81.562,11391.51,6680.0
10000,10,749935,475244.5,80.625,10002.862,6379.5
10000,10,759934,476085.0,83.125,10599.821,6320.0
10000,10,769933,474505.0,86.875,11343.549,5560.0
10000,10,779932,474245.0,79.062,10386.693,5640.0
10000,10,789931,473165.0,79.688,11208.634,5640.5
10000,10,799930,475165.0,82.5,11183.873,5220.0
10000,10,809929,473705.0,81.562,12170.093,5300.0
10000,10,819928,473325.0,79.688,12387.062,5960.0
10000,10,829927,482265.0,131.875,12674.598,7440.0
10000,10,839926,475885.0,80.312,12300.153,7640.0
10000,10,849925,475445.0,99.695,11628.198,6360.0
10000,10,859924,481065.0,97.188,12160.934,6560.0
10000,10,869923,478725.0,98.75,13078.067,7680.5
10000,10,879922,483545.0,98.438,11187.762,8340.0
10000,10,889921,481505.0,108.125,10724.091,6620.0
10000,10,899920,482065.0,100.312,11225.853,6040.0
10000,10,909919,484005.0,81.25,11964.19,7620.0
10000,10,919918,482325.0,95.945,13700.666,7460.0
10000,10,929917,474565.0,80.312,11200.36,6060.0
10000,10,939916,476265.0,85.625,9526.004,5840.0
10000,10,949915,476425.0,85.625,10569.642,6400.0
10000,10,959914,478365.0,80.0,11414.635,6960.0
10000,10,969913,480325.0,80.625,12553.488,6680.0
10000,10,979912,481925.0,102.812,11768.369,7940.0
10000,10,989911,482505.0,80.0,9969.62,6480.0
