size,min_val,max_val,time,resolution,stdev,mad
100,1,100,2640.0,125.469,2045.755,80.0
433,1,100,12840.0,75.469,1744.824,160.0
766,1,100,23600.0,78.438,3017.408,280.0
1099,1,100,35121.0,76.25,2856.419,460.0
1432,1,100,47560.0,77.969,3353.185,599.0
1765,1,100,60941.0,81.875,4880.269,901.0
2098,1,100,75121.0,76.875,3667.981,840.0
2431,1,100,90141.0,76.719,3509.559,900.0
2764,1,100,106841.0,77.656,4533.862,1200.0
3097,1,100,123921.0,81.406,4347.171,1280.0
3430,1,100,142561.0,87.812,4767.597,1520.5
3763,1,100,162161.5,92.504,5633.756,1640.5
4096,1,100,183022.0,81.406,6106.415,1900.0
4429,1,100,207842.0,85.938,6183.92,3580.0
4762,1,100,227162.0,86.094,6639.472,2479.0
5095,1,100,250843.0,81.094,6674.104,2500.0
5428,1,100,280363.0,83.281,7404.761,4060.0
5761,1,100,306543.0,83.438,8139.037,4760.0
6094,1,100,334143.5,86.41,9307.803,4780.0
6427,1,100,362184.0,85.625,8293.442,3980.0
6760,1,100,391264.0,89.375,10447.115,5580.0
7093,1,100,419465.0,83.125,8868.546,5140.0
7426,1,100,450584.5,82.344,8564.074,5359.5
7759,1,100,486465.5,86.719,8734.294,6340.0
8092,1,100,518545.5,82.969,9526.738,6320.0
8425,1,100,548406.0,84.062,10155.402,5700.5
8758,1,100,585726.5,87.031,13731.651,5000.5
9091,1,100,628546.5,80.781,10284.165,7420.5
9424,1,100,669467.0,83.598,11061.876,7460.0
9757,1,100,710328.0,84.535,10181.378,7719.5
10090,1,100,752428.0,82.656,12337.304,6540.0
10423,1,100,790268.0,84.688,14192.663,7740.0
10756,1,100,833008.5,83.598,12023.062,7800.0
11089,1,100,873629.5,85.469,10367.428,7280.0
11422,1,100,920689.5,87.031,13998.703,7339.5
11755,1,100,964570.0,88.281,11047.875,6960.0
12088,1,100,1009171.0,90.312,10768.313,5761.0
12421,1,100,1058451.0,95.312,11784.077,6640.0
12754,1,100,1110191.5,86.094,14787.533,7780.5
13087,1,100,1166532.0,100.941,13249.314,9500.5
13420,1,100,1219533.0,89.375,15793.604,10640.0
13753,1,100,1276453.0,86.875,14869.192,9040.0
14086,1,100,1322574.0,90.785,15349.345,9300.5
14419,1,100,1379434.5,89.531,15630.434,10739.5
