size,min_val,max_val,time,resolution,stdev,mad
100,1,100,2720.0,86.875,123.853,80.0
102,1,100,2780.0,83.75,2385.421,60.0
104,1,100,2800.0,85.0,125.609,80.0
107,1,100,2880.0,91.875,132.654,80.0
109,1,100,2980.0,92.5,137.977,60.0
112,1,100,3040.0,91.25,115.314,40.0
114,1,100,3120.0,98.75,105.26,80.0
117,1,100,3160.0,93.75,1860.204,80.0
120,1,100,3280.0,104.375,109.844,80.0
123,1,100,3360.0,101.875,151.466,80.0
125,1,100,3400.0,121.25,172.019,80.0
128,1,100,3520.0,103.75,155.256,120.0
131,1,100,3660.0,101.25,192.284,119.5
134,1,100,3720.0,101.875,2414.386,80.0
138,1,100,3800.0,98.125,5940.299,120.0
141,1,100,3940.0,123.75,157.562,100.0
144,1,100,4000.0,98.75,153.6,80.0
147,1,100,4080.0,99.391,2991.456,80.5
151,1,100,4200.0,100.0,187.052,120.0
154,1,100,4360.0,98.75,1171.233,80.0
158,1,100,4480.0,97.5,162.025,80.0
162,1,100,4560.0,93.125,3135.407,120.0
165,1,100,4640.0,103.75,149.048,80.0
169,1,100,4760.0,114.375,182.733,100.5
173,1,100,4920.0,103.141,200.02,80.0
177,1,100,5020.5,99.391,194.197,100.0
181,1,100,5040.0,102.5,150.788,80.0
186,1,100,5260.0,102.5,162.375,80.0
190,1,100,5440.0,95.0,169.675,120.0
194,1,100,5520.0,98.125,2854.182,120.0
199,1,100,5681.0,96.875,172.54,120.0
204,1,100,5840.0,93.766,2669.11,120.0
208,1,100,5960.0,100.0,206.781,120.0
213,1,100,6120.0,100.625,181.5,80.0
218,1,100,6240.5,98.125,164.058,80.5
223,1,100,6480.0,103.125,174.311,99.5
229,1,100,6600.0,99.375,230.609,120.0
234,1,100,6720.0,93.125,183.06,140.0
239,1,100,6920.0,100.0,206.77,160.0
245,1,100,7200.0,95.625,2512.759,160.0
251,1,100,7280.0,94.375,5646.973,160.0
257,1,100,7440.0,84.375,217.713,140.5
263,1,100,7720.0,71.25,819.566,160.0
269,1,100,7840.0,76.25,4060.539,139.5
275,1,100,8140.5,71.25,221.334,179.5
281,1,100,8200.0,73.75,8044.589,160.0
288,1,100,8500.0,426.25,779.703,140.0
295,1,100,8640.0,75.0,2494.692,160.0
301,1,100,8880.0,76.25,229.247,120.0
309,1,100,9120.0,75.0,4307.056,160.0
316,1,100,9340.5,76.25,236.219,139.5
323,1,100,9600.0,688.781,267.575,159.5
331,1,100,9740.5,75.0,3125.124,180.5
338,1,100,10040.5,77.5,4686.396,200.0
346,1,100,10320.0,73.125,2837.566,160.0
354,1,100,10480.0,74.375,2442.53,160.0
363,1,100,10840.0,76.875,310.221,160.0
371,1,100,11100.0,76.25,986.603,240.0
380,1,100,11400.5,75.0,6780.751,220.0
389,1,100,11640.0,73.75,786.875,180.0
398,1,100,11960.0,76.25,2418.233,160.0
407,1,100,12120.5,78.125,355.294,200.5
416,1,100,12400.0,75.0,2432.433,220.0
426,1,100,12780.0,75.625,1111.117,220.0
436,1,100,13200.0,342.516,398.009,200.0
446,1,100,13400.0,77.5,3820.812,200.0
457,1,100,13920.0,74.375,301.345,200.0
467,1,100,14120.0,78.125,913.612,180.0
478,1,100,14520.0,79.375,1136.244,239.5
489,1,100,14800.0,78.125,422.875,239.5
501,1,100,15120.0,75.625,936.576,240.0
512,1,100,15520.0,73.75,947.221,239.5
524,1,100,15920.0,73.125,443.532,320.0
537,1,100,16420.5,75.641,403.897,200.0
549,1,100,16760.0,81.875,437.195,240.0
562,1,100,17281.0,76.25,403.21,279.0
575,1,100,17660.0,70.625,4872.922,300.5
588,1,100,18040.0,75.625,477.562,319.5
602,1,100,18440.0,77.5,4223.089,300.0
616,1,100,18920.0,75.625,5383.524,319.5
630,1,100,19360.0,74.375,920.657,300.0
645,1,100,19920.5,79.375,4866.294,280.5
