size,min_val,max_val,time,resolution,stdev,mad
100,1,100,2720.0,97.5,136.27,80.0
1099,1,100,35440.0,80.625,3151.404,639.5
2098,1,100,75281.0,75.0,4641.938,600.5
3097,1,100,124861.5,83.75,6537.812,1920.5
4096,1,100,187381.5,84.375,10744.628,5420.0
5095,1,100,256323.0,85.625,8858.804,4220.0
6094,1,100,334904.0,160.641,9042.639,4760.0
7093,1,100,423704.5,88.75,7882.273,3900.5
8092,1,100,518725.0,87.5,10699.166,5260.0
9091,1,100,625946.5,86.25,8436.906,4760.0
10090,1,100,747708.0,81.25,10665.49,6260.5
11089,1,100,875729.0,92.5,15465.735,7080.0
12088,1,100,1027290.5,91.25,12551.42,8300.0
13087,1,100,1176132.0,98.75,12613.577,7300.0
14086,1,100,1338794.0,90.016,15809.848,7900.0
15085,1,100,1504695.0,85.625,19272.959,10920.5
16084,1,100,1687297.0,95.625,17964.284,12520.0
17083,1,100,1870999.5,91.875,20808.223,16780.5
18082,1,100,2078601.0,94.375,23685.572,12440.5
19081,1,100,2291604.0,91.25,17744.543,15680.5
20080,1,100,2507886.0,95.625,23612.236,12800.0
21079,1,100,2729608.0,95.625,20314.841,13540.5
22078,1,100,2967890.5,93.125,18476.433,13820.0
23077,1,100,3198253.0,105.625,1618803.749,19900.0
24076,1,100,3450575.5,101.25,37732.993,22260.5
25075,1,100,3729518.0,101.875,21888.808,16040.0
26074,1,100,4014922.0,103.125,23817.515,12619.5
27073,1,100,4232164.0,98.75,33807.849,16000.0
28072,1,100,4585047.5,96.266,42363.18,33780.5
29071,1,100,4896110.0,100.625,35765.189,17680.0
30070,1,100,5210513.5,102.5,29972.676,21300.0
31069,1,100,5511616.5,98.75,37126.105,23120.5
32068,1,100,5807640.0,96.25,50999.666,41640.0
33067,1,100,6214924.0,110.0,37957.123,17500.0
34066,1,100,6564307.5,97.5,27817.079,18500.0
35065,1,100,6916211.5,105.625,40078.388,23220.0
36064,1,100,7279935.0,104.375,62840.188,32080.5
37063,1,100,7572758.0,105.0,53501.274,20800.5
38062,1,100,8071983.0,96.875,53783.703,19440.5
39061,1,100,8466987.0,106.25,29780.53,19040.0
40060,1,100,8868971.5,101.875,49658.231,32500.5
41059,1,100,9274815.5,110.0,52674.57,36360.5
42058,1,100,9635139.0,109.375,70699.635,56600.0
43057,1,100,10157804.0,104.375,52929.091,30400.0
44056,1,100,10601509.5,104.375,49759.105,32220.5
45055,1,100,11004193.5,107.5,58903.94,45560.5
46054,1,100,11445018.0,112.5,80282.378,62000.0
47053,1,100,11961843.5,111.25,61092.778,44940.0
48052,1,100,12438868.0,125.625,74824.999,61180.5
49051,1,100,12971873.0,120.625,66186.635,28020.5
50050,1,100,13408398.0,119.375,101287.489,85781.0
51049,1,100,13975884.0,111.25,75381.876,42980.0
52048,1,100,14484769.5,114.375,69682.273,40260.0
53047,1,100,14998115.0,103.125,89272.748,60240.0
54046,1,100,15570640.0,111.25,80112.262,45200.5
55045,1,100,16143566.0,106.25,61450.152,31280.5
56044,1,100,16648271.0,111.25,96055.146,77761.0
57043,1,100,17217757.5,119.375,118204.893,97701.0
58042,1,100,17808763.5,128.75,95261.582,54400.5
59041,1,100,18445350.5,120.0,112128.209,69560.0
60040,1,100,19002976.0,109.375,89210.473,57160.5
61039,1,100,19635982.0,120.0,90945.364,43480.5
62038,1,100,20200908.0,108.75,110177.947,86560.5
63037,1,100,20722513.0,106.875,125504.431,115901.0
64036,1,100,21266859.0,123.75,123149.697,60201.0
65035,1,100,21878366.0,134.375,97704.862,42121.0
66034,1,100,22522372.0,111.891,92119.279,47880.5
67033,1,100,23175159.0,131.25,103129.136,36540.5
68032,1,100,23910066.0,115.641,147883.239,89540.5
69031,1,100,24726495.0,112.5,149406.088,128381.0
70030,1,100,25528783.0,122.516,125234.701,52040.5
71029,1,100,26082988.5,111.266,162241.83,146641.0
72028,1,100,26610435.0,114.375,190080.22,94341.5
73027,1,100,27621944.5,133.75,165112.794,118501.0
74026,1,100,28358272.0,116.875,195824.779,151802.0
75025,1,100,29084119.5,119.375,219940.956,178542.0
76024,1,100,29724146.5,118.125,201080.447,197702.0
77023,1,100,30299872.0,157.5,204311.605,122101.0
78022,1,100,30975739.0,138.75,116379.747,45740.0
79021,1,100,31761607.5,131.25,126036.513,33780.5
80020,1,100,32887779.0,146.25,198771.196,106741.0
81019,1,100,33755008.0,167.5,187218.903,102621.5
82018,1,100,34524056.0,180.625,238195.153,177342.0
83017,1,100,35464546.0,117.531,141287.021,80361.0
84016,1,100,36289534.0,130.0,191070.892,93501.0
85015,1,100,36903260.5,158.75,236201.527,214942.5
86014,1,100,37785749.5,158.75,176673.468,94981.5
87013,1,100,38710719.0,148.75,232558.64,128881.5
88012,1,100,39547227.5,145.641,202590.748,112721.5
89011,1,100,40131074.0,151.875,254670.436,237802.5
90010,1,100,41202845.0,132.5,257780.797,200482.0
91009,1,100,42211235.5,134.391,237675.036,148402.0
92008,1,100,42602459.0,153.75,287404.967,69340.5
93007,1,100,43491668.5,168.125,226441.543,60260.5
94006,1,100,44892083.0,154.375,248524.546,152001.0
95005,1,100,45436549.0,142.5,241544.678,123181.5
96004,1,100,46277917.5,184.375,182639.602,63780.5
97003,1,100,47779333.0,126.875,206918.443,101501.0
98002,1,100,48721023.0,141.25,246533.014,107300.5
99001,1,100,49701873.0,148.766,251835.796,114161.0
