size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,47568777.5,99.688,283419.513,127260.5
10000,10,10,46915250.5,100.0,301986.49,112380.5
10000,10,10,47375095.5,101.875,299561.109,211542.5
10000,10,11,23804849.0,94.062,130166.435,93961.0
10000,10,11,23768648.0,94.375,140204.359,113862.0
10000,10,12,15914906.0,80.625,103428.546,90661.5
10000,10,12,15944726.5,88.438,89217.838,53560.0
10000,10,13,12031346.0,89.688,64906.74,35580.5
10000,10,13,12033826.0,78.125,85041.783,52480.0
10000,10,14,9682541.0,82.5,59585.984,27080.0
10000,10,14,9683362.0,88.75,55788.536,29660.0
10000,10,15,8105865.0,81.875,48403.381,32100.0
10000,10,15,8116005.0,82.508,32318.488,16640.5
10000,10,16,6988813.0,90.945,37427.964,20620.5
10000,10,17,6131304.0,85.938,46486.9,35160.5
10000,10,17,6068083.0,83.438,25320.121,13260.0
10000,10,18,5421376.5,87.812,22131.323,10500.0
10000,10,19,4910592.0,83.125,28492.696,13980.5
10000,10,19,4917992.0,81.875,31807.518,20960.5
10000,10,20,4530427.0,87.82,25742.568,15660.5
10000,10,21,4175923.5,83.75,27844.292,18820.0
10000,10,22,3878960.5,95.938,22968.719,13880.0
10000,10,23,3607857.5,100.938,27860.228,23419.5
10000,10,24,3398835.5,87.5,17648.092,11380.5
10000,10,25,3206554.0,83.438,22640.416,15700.5
10000,10,26,3034952.0,95.312,26380.878,11060.0
10000,10,27,2873670.5,95.625,25681.123,21060.0
10000,10,28,2721148.0,89.375,20915.895,16360.5
10000,10,29,2590387.0,87.5,19135.276,10920.0
10000,10,30,2489006.0,85.312,21403.256,15140.5
10000,10,31,2388785.0,81.875,21339.307,18060.0
10000,10,32,2292944.0,84.688,20184.581,15820.0
10000,10,34,2119082.0,87.188,12700.549,9740.0
10000,10,35,2050442.0,90.938,12477.466,9100.5
10000,10,36,2005741.0,81.562,18910.848,13780.0
10000,10,38,1887460.0,81.258,21520.652,14400.0
10000,10,39,1827599.0,81.875,20427.455,13660.0
10000,10,41,1723978.0,81.875,19232.568,13440.5
10000,10,42,1675578.0,80.625,13545.887,9780.0
10000,10,44,1608917.0,83.125,18035.568,10740.0
10000,10,46,1540556.0,82.5,16274.083,10680.0
10000,10,48,1476035.5,84.062,18086.435,11380.0
10000,10,50,1422615.0,85.625,21583.391,11800.0
10000,10,52,1366114.5,86.875,16731.724,10220.5
10000,10,54,1316394.0,85.0,13596.383,8720.0
