size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,47424235.5,89.375,182075.206,88261.0
10000,10,3343,459025.0,75.312,11900.948,6280.5
10000,10,6676,471685.0,80.938,11442.042,5080.0
10000,10,10009,474405.0,85.312,10843.288,7000.0
10000,10,13342,474385.0,77.188,10788.085,5960.0
10000,10,16675,480785.0,83.125,14050.901,7100.0
10000,10,20008,478465.0,82.5,10803.033,7360.0
10000,10,23341,480425.0,80.625,11290.057,6560.0
10000,10,26674,478225.0,79.688,10525.255,5880.0
10000,10,30007,481505.0,82.5,10026.888,5540.0
10000,10,33340,483705.0,81.562,12771.035,9260.0
10000,10,36673,481745.0,79.375,9854.149,6440.0
10000,10,40006,479505.0,84.695,9472.212,5700.0
10000,10,43339,479905.0,85.938,12067.545,5920.0
10000,10,46672,479525.0,80.938,11593.539,6900.0
10000,10,50005,479665.0,82.812,10268.045,5460.0
10000,10,53338,481205.0,111.562,12146.196,6360.0
10000,10,56671,480805.0,82.188,11446.03,5380.0
10000,10,60004,482245.0,80.0,10858.15,7300.0
10000,10,63337,482225.0,82.812,10442.932,7060.0
10000,10,66670,481565.0,82.812,11364.627,8080.0
10000,10,70003,483925.0,81.875,10459.583,5880.0
10000,10,73336,480845.0,83.438,10818.873,6480.0
10000,10,76669,484125.0,83.75,10974.59,6460.5
10000,10,80002,481645.0,78.125,11300.341,6680.0
10000,10,83335,481645.0,80.625,12421.705,7240.0
10000,10,86668,478605.0,105.0,10977.498,6080.0
10000,10,90001,481205.0,104.375,10982.183,7900.0
10000,10,93334,478745.0,74.688,10910.793,6640.0
10000,10,96667,481105.0,78.75,10357.454,6260.5
10000,10,100000,475165.0,80.625,10773.465,6020.0
10000,10,103333,474665.0,80.0,9649.32,5660.0
10000,10,106666,477725.0,80.312,10990.583,5940.5
10000,10,109999,481945.0,77.188,10588.368,6100.0
10000,10,113332,483705.0,98.125,11654.674,7020.5
10000,10,116665,481765.0,75.0,11278.465,6840.0
10000,10,119998,483945.0,77.5,10003.219,6280.0
10000,10,123331,484585.0,75.312,11284.489,7680.0
10000,10,126664,484505.0,75.625,11266.84,6460.5
10000,10,129997,483925.0,79.062,9473.265,5840.0
10000,10,133330,483125.0,77.5,10838.269,5540.0
10000,10,136663,482705.5,75.0,11450.099,7440.5
10000,10,139996,483325.5,78.125,9629.191,6200.0
10000,10,143329,478745.0,74.375,9982.1,6680.0
