size,min_val,max_val,time,resolution,stdev,mad
100,1,100,2720.0,93.125,140.988,80.0
102,1,100,2760.0,88.125,109.21,80.0
104,1,100,2840.0,109.375,3112.327,80.0
107,1,100,2920.0,97.5,138.566,80.0
109,1,100,2960.0,109.375,2841.313,80.0
112,1,100,3040.0,101.875,135.039,80.0
114,1,100,3120.0,105.625,136.264,80.0
117,1,100,3220.0,105.0,141.444,100.0
120,1,100,3320.0,102.5,157.273,80.0
123,1,100,3400.0,116.875,3747.787,80.0
125,1,100,3440.0,115.0,148.445,80.0
128,1,100,3520.0,102.5,2157.903,80.0
131,1,100,3680.0,116.25,2116.972,80.0
134,1,100,3680.0,115.0,162.764,80.0
138,1,100,3880.0,116.875,2375.922,80.0
141,1,100,3920.0,111.875,157.743,79.5
144,1,100,4000.0,123.75,1706.779,80.0
147,1,100,4080.0,107.5,3256.32,80.0
151,1,100,4240.0,115.625,2499.231,120.0
154,1,100,4300.0,111.25,158.414,100.0
158,1,100,4420.0,113.75,169.347,100.0
162,1,100,4580.0,128.75,174.582,100.0
165,1,100,4680.0,106.25,2676.618,120.0
169,1,100,4760.0,101.25,178.283,119.5
173,1,100,4920.0,112.516,769.138,160.0
177,1,100,5020.0,111.25,168.052,100.0
181,1,100,5160.0,98.125,185.687,80.0
186,1,100,5280.0,103.125,2880.905,120.0
190,1,100,5360.0,104.375,188.655,120.0
194,1,100,5560.0,103.125,2686.772,120.0
199,1,100,5680.0,107.5,171.691,80.0
204,1,100,5880.0,98.75,1179.406,120.0
208,1,100,5980.0,96.25,1538.93,140.0
213,1,100,6120.0,99.375,818.81,120.0
218,1,100,6280.0,102.5,1660.512,120.5
223,1,100,6440.0,111.25,3272.7,160.0
229,1,100,6640.0,113.766,4275.635,120.0
234,1,100,6840.0,98.75,992.236,160.0
239,1,100,7000.0,95.0,2072.371,140.5
245,1,100,7160.0,100.0,2960.102,140.0
251,1,100,7360.0,109.375,1711.451,160.0
257,1,100,7520.5,87.5,924.493,120.0
263,1,100,7780.0,73.125,4005.564,180.0
269,1,100,7840.0,73.75,3589.872,140.0
275,1,100,8080.0,75.0,1770.22,160.0
281,1,100,8200.0,76.25,957.135,160.0
288,1,100,8500.0,75.0,1643.346,140.0
295,1,100,8740.5,82.5,1413.475,160.0
301,1,100,8940.5,73.75,1238.007,180.5
309,1,100,9120.0,107.5,962.659,160.0
316,1,100,9360.5,76.25,2589.295,200.5
323,1,100,9600.0,75.0,1736.352,200.0
331,1,100,9840.0,73.75,1975.862,160.0
338,1,100,10080.0,75.625,2891.849,200.0
346,1,100,10340.5,75.0,4361.368,180.5
354,1,100,10560.0,77.5,2315.013,240.0
363,1,100,10800.0,120.0,3951.557,200.0
371,1,100,11080.0,73.125,284.705,180.5
380,1,100,11360.0,71.875,2462.695,240.0
389,1,100,11640.0,74.391,2317.181,140.0
398,1,100,11880.0,73.75,2318.591,240.5
407,1,100,12260.0,75.0,2760.499,220.0
416,1,100,12600.0,74.375,2011.57,240.0
426,1,100,12820.0,76.875,4507.511,259.0
436,1,100,13201.0,78.75,4431.748,320.0
446,1,100,13560.0,74.375,3026.769,260.0
457,1,100,13920.0,75.625,3765.258,300.0
467,1,100,14080.0,74.375,3136.333,180.5
478,1,100,14480.0,77.5,4947.494,240.0
489,1,100,14960.0,80.0,1362.434,320.0
501,1,100,15300.5,74.375,5308.238,280.0
512,1,100,15760.0,75.625,3345.156,400.0
524,1,100,15980.0,70.0,4031.082,279.5
537,1,100,16360.0,72.5,1020.424,240.0
549,1,100,16720.0,73.75,1686.896,240.0
562,1,100,17200.0,74.375,3273.389,280.0
575,1,100,17560.0,75.0,923.328,280.0
588,1,100,18000.5,73.75,2272.012,339.5
602,1,100,18600.0,79.375,1109.448,280.0
616,1,100,18940.5,76.25,2730.231,379.5
630,1,100,19480.0,241.25,4520.245,240.0
645,1,100,19900.5,75.0,5205.358,360.0
