size,min_val,max_val,time,resolution,stdev,mad
100,1,100,2880.0,86.875,132.812,80.0
107,1,100,3160.0,89.375,138.409,80.0
114,1,100,3320.0,99.375,3028.86,80.0
123,1,100,3600.0,97.5,1594.11,80.0
131,1,100,3800.5,328.766,140.891,80.5
141,1,100,4120.0,108.125,161.926,80.0
151,1,100,4400.0,105.0,164.599,120.0
162,1,100,4720.0,110.0,178.794,120.0
173,1,100,5040.0,111.875,964.226,120.0
186,1,100,5360.0,121.25,175.513,80.0
199,1,100,5740.0,112.5,1771.929,120.0
213,1,100,6080.5,418.125,185.987,119.5
229,1,100,6460.0,155.625,3050.117,100.0
245,1,100,6960.0,121.25,203.253,120.5
263,1,100,7360.0,73.125,2670.112,120.0
281,1,100,7840.0,73.75,4659.191,160.0
301,1,100,8320.0,75.0,2456.008,160.0
323,1,100,8820.5,75.0,2509.514,180.5
346,1,100,9420.0,73.125,259.544,180.0
371,1,100,9961.0,77.5,2945.37,161.0
398,1,100,10720.0,76.875,4519.059,120.0
426,1,100,11360.0,76.875,241.581,160.0
457,1,100,12080.0,76.875,2490.369,160.0
489,1,100,12860.0,70.0,239.758,180.0
524,1,100,13680.0,73.75,3596.149,200.0
562,1,100,14640.0,73.75,842.694,160.0
602,1,100,15440.5,76.25,5722.807,280.0
645,1,100,16520.0,75.0,3345.626,280.0
691,1,100,17641.0,73.125,2346.393,220.0
741,1,100,18760.0,75.625,865.01,240.0
794,1,100,20060.0,80.0,2975.526,279.5
851,1,100,21240.0,80.0,802.074,320.0
912,1,100,22680.5,73.125,4286.904,260.0
977,1,100,24440.5,79.375,3510.662,359.5
1047,1,100,25700.0,86.25,1844.348,380.0
1122,1,100,27461.0,71.875,5463.241,380.0
1202,1,100,29160.5,77.5,5241.068,359.5
1288,1,100,31240.5,75.625,4019.231,440.0
1380,1,100,33520.0,76.25,5570.006,420.5
1479,1,100,35520.5,80.0,3875.426,560.0
1584,1,100,37740.5,83.75,5165.353,699.5
1698,1,100,40760.5,77.5,5953.566,640.5
1819,1,100,43200.5,83.125,3776.404,680.5
1949,1,100,46300.5,79.375,3873.035,700.5
2089,1,100,49500.5,76.875,5023.167,780.0
2238,1,100,52560.0,89.375,3197.472,740.0
2398,1,100,57440.5,76.875,4456.299,1460.0
2570,1,100,60080.5,76.25,5206.154,719.5
2754,1,100,64340.5,75.625,3771.654,1040.5
2951,1,100,68800.5,73.75,3015.321,960.5
3162,1,100,73781.0,79.375,5892.795,1720.5
3388,1,100,80300.5,75.0,5262.167,2440.5
3630,1,100,84800.5,76.875,4829.355,1740.0
3890,1,100,91801.0,80.625,6257.54,2480.0
4168,1,100,97821.0,85.625,6665.339,1640.0
4466,1,100,104561.0,75.0,5241.614,2720.0
4786,1,100,110501.0,81.25,6025.797,1880.0
5128,1,100,118161.0,93.75,6769.542,2440.5
5495,1,100,125261.0,86.25,5924.799,1639.5
5888,1,100,135902.0,83.125,6906.265,2500.0
6309,1,100,143721.5,90.625,7511.037,2279.5
6760,1,100,154402.0,84.375,6057.558,3100.5
7244,1,100,168622.0,88.125,8933.585,4840.0
7762,1,100,179842.0,85.0,8417.635,3780.0
8317,1,100,194242.0,93.125,7762.143,4680.0
8912,1,100,204362.0,89.375,8947.921,4420.0
9549,1,100,217362.0,88.125,8717.725,5200.0
10232,1,100,232502.5,88.125,8405.986,4659.5
10964,1,100,250763.0,91.875,11021.859,6700.0
11748,1,100,266242.5,83.125,8676.547,5239.5
12589,1,100,285243.0,90.0,6575.541,4120.0
13489,1,100,308023.0,94.375,12250.651,5960.0
14454,1,100,334443.5,93.75,16431.93,7819.5
15488,1,100,354443.0,101.875,13867.336,7900.5
16595,1,100,379124.0,98.75,15022.349,9160.0
17782,1,100,405384.0,94.375,11410.569,7100.0
19054,1,100,434864.5,90.0,12124.213,8100.0
20417,1,100,465784.5,89.375,19457.184,7780.5
21877,1,100,501665.5,87.5,16579.964,8980.0
23442,1,100,535125.5,162.5,15972.276,9740.0
25118,1,100,579586.0,91.25,17409.507,11820.0
26915,1,100,614886.5,89.375,19206.808,12940.5
28840,1,100,662627.0,101.875,21971.169,13460.0
30902,1,100,707807.5,98.75,17339.834,9840.0
33113,1,100,757788.0,100.0,23960.853,12180.5
35481,1,100,815008.5,100.016,22003.895,15100.0
38018,1,100,862369.0,104.375,22768.702,14420.0
40738,1,100,921909.5,95.0,23369.661,16100.0
43651,1,100,992650.5,102.5,27912.796,15280.0
46773,1,100,1059151.0,103.75,31306.474,17740.0
50118,1,100,1137531.5,97.5,29275.371,19460.5
53703,1,100,1218473.0,106.891,39015.867,22820.0
57543,1,100,1311093.5,110.0,32188.591,22100.5
61659,1,100,1401354.5,101.266,41204.528,26399.5
66069,1,100,1491456.0,100.625,42364.819,27180.5
70794,1,100,1589677.0,105.625,41231.577,31601.0
75857,1,100,1703257.5,111.875,60685.295,33820.5
81283,1,100,1816379.0,103.75,51051.324,38960.5
87096,1,100,1941420.0,110.0,49689.577,28760.5
93325,1,100,2084761.5,108.766,45496.396,23320.0
