size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,13480.0,87.5,3253.896,1.0
10000,10,10,13440.0,79.062,1370.839,0.0
10000,10,11,47921.0,81.875,3435.598,1960.0
10000,10,11,47881.0,80.312,3779.654,1860.5
10000,10,12,64621.0,92.5,5928.861,1940.0
10000,10,13,75700.5,79.375,5028.706,2319.5
10000,10,14,85420.5,82.195,5309.275,1900.0
10000,10,14,85241.0,80.625,6173.033,2380.0
10000,10,15,93421.0,78.438,6672.568,3560.0
10000,10,16,99821.0,85.312,6486.118,3680.0
10000,10,17,107261.5,80.938,6320.202,4120.5
10000,10,18,110621.0,83.438,6265.896,3900.0
10000,10,19,114901.5,85.625,7461.038,4280.5
10000,10,21,124641.5,81.562,6714.016,3920.0
10000,10,22,127541.0,81.875,8047.231,4419.5
10000,10,23,132281.5,78.438,7697.932,4279.5
10000,10,25,137041.5,82.508,6882.17,2700.5
10000,10,26,140421.0,78.438,7002.534,3800.0
10000,10,28,144562.0,78.438,8200.012,3700.0
10000,10,29,148141.0,90.625,7424.567,4580.5
10000,10,31,152521.5,85.625,7016.149,5060.0
10000,10,33,154421.0,87.812,8528.891,3601.0
10000,10,35,159422.0,81.562,7546.327,4399.5
10000,10,37,163422.0,83.75,8192.579,4079.5
10000,10,39,169461.0,89.688,7420.923,3920.0
10000,10,42,173181.5,114.062,7801.361,5160.5
10000,10,44,176861.5,85.0,7816.689,4240.0
10000,10,47,179841.5,89.062,8878.56,5620.0
10000,10,50,183762.0,84.375,8218.154,4280.0
10000,10,53,187322.0,77.188,7276.203,4940.0
10000,10,56,187042.0,77.5,6652.662,3540.5
10000,10,59,192902.0,84.383,9009.693,5060.0
10000,10,63,198422.0,85.625,7606.558,3740.5
10000,10,66,201562.0,77.5,8242.477,5040.0
10000,10,70,199382.0,86.883,6973.361,3679.5
10000,10,74,206542.0,83.75,7954.604,4680.0
10000,10,79,212282.5,87.812,8908.087,5640.0
10000,10,84,216262.5,95.938,8530.883,4140.5
10000,10,89,218982.0,83.75,8064.646,5320.0
10000,10,94,222183.0,82.188,8259.817,4559.5
10000,10,100,225142.0,95.938,8632.139,4740.0
10000,10,105,228042.0,81.875,7891.698,5180.0
10000,10,112,232662.5,87.812,9146.046,5300.0
10000,10,118,234462.5,82.828,9719.765,5419.5
10000,10,125,238082.0,86.875,7626.129,4339.5
10000,10,133,244103.0,92.5,8228.34,5520.5
10000,10,141,246262.5,84.688,7873.578,5360.0
10000,10,149,249102.5,85.0,9896.548,5620.0
10000,10,158,253882.5,80.0,8113.285,6060.0
10000,10,167,256703.0,111.875,7986.868,5060.0
10000,10,177,261283.0,86.25,8904.746,4980.5
10000,10,188,264522.5,94.062,8691.865,5220.5
10000,10,199,267203.0,88.438,8578.015,5540.0
10000,10,211,273783.0,82.188,7796.141,5020.0
10000,10,223,275783.0,88.75,10244.565,5160.0
10000,10,237,278403.0,84.062,8818.5,5199.5
10000,10,251,278943.0,85.938,9008.608,5640.0
10000,10,266,281063.0,102.5,7937.374,4560.0
10000,10,281,283163.0,85.312,8808.466,4300.0
10000,10,298,287383.0,90.938,8916.721,4860.0
10000,10,316,292923.0,90.625,9029.202,4800.0
10000,10,334,296803.0,93.438,9605.737,5060.0
10000,10,354,302883.0,94.375,10466.044,5860.0
10000,10,375,307803.5,88.125,9329.86,5760.0
10000,10,398,309823.0,93.75,9461.798,6020.0
10000,10,421,314963.5,93.125,9703.963,4560.0
10000,10,446,317343.0,94.062,10312.257,5860.5
10000,10,473,324083.5,85.625,10237.777,6320.5
10000,10,501,325643.5,86.875,10767.687,5900.0
10000,10,530,326883.0,87.812,8598.026,5200.0
10000,10,562,330963.5,90.312,9479.954,5560.5
10000,10,595,332563.5,87.5,8948.773,5240.0
10000,10,630,336703.0,98.75,9597.748,4579.5
10000,10,668,341864.0,91.562,8900.29,5820.0
10000,10,707,347884.0,84.688,10559.804,5899.5
10000,10,749,351164.0,85.625,8793.808,5640.0
10000,10,794,357224.0,81.875,9264.875,6900.5
10000,10,841,360204.0,104.062,11342.176,6440.0
10000,10,891,360044.0,89.383,9648.601,5800.0
10000,10,944,367844.0,95.312,10943.69,6420.0
10000,10,1000,371864.0,104.688,10049.859,5960.0
10000,10,1059,377064.0,90.312,10859.473,6680.0
10000,10,1122,379324.0,90.312,10214.397,6560.0
10000,10,1188,382964.0,89.062,9823.336,5700.0
10000,10,1258,389864.0,96.25,9725.049,6400.0
10000,10,1333,386564.0,102.812,8796.553,5480.0
10000,10,1412,398204.0,117.812,10715.029,6940.0
10000,10,1496,401044.0,85.312,10921.886,6460.0
10000,10,1584,406424.5,87.812,9873.76,6460.0
10000,10,1678,409584.0,93.125,11387.614,7060.0
10000,10,1778,414864.5,95.625,13285.437,7699.5
10000,10,1883,414924.0,90.0,10601.916,5520.5
10000,10,1995,422465.0,100.625,10362.676,4781.0
10000,10,2113,427505.0,86.883,10672.025,6800.5
10000,10,2238,431184.0,87.5,11670.127,6160.5
10000,10,2371,437704.5,83.75,12183.485,7979.5
10000,10,2511,439545.0,85.633,11421.371,6639.5
10000,10,2660,440104.5,85.633,10647.819,6200.0
10000,10,2818,444885.0,79.062,10348.88,6961.0
10000,10,2985,452224.5,80.0,10371.083,6340.5
10000,10,3162,456464.5,81.586,9635.675,6120.0
10000,10,3349,463364.5,80.625,10679.14,6720.0
10000,10,3548,472385.0,88.75,9148.972,5940.5
10000,10,3758,472805.0,90.312,10319.523,6860.0
10000,10,3981,477325.0,91.562,11577.179,7320.0
10000,10,4216,486365.5,85.625,15653.579,8300.0
10000,10,4466,489665.0,87.188,9719.328,5820.0
10000,10,4731,488825.0,86.25,10116.417,7140.0
10000,10,5011,497845.5,89.688,10371.981,6700.0
10000,10,5308,497905.5,85.625,9322.827,5599.5
10000,10,5623,502005.5,85.938,11318.93,6680.0
10000,10,5956,510905.5,92.5,12105.547,8480.5
10000,10,6309,510685.5,79.688,11395.796,7619.5
10000,10,6683,515165.5,94.062,11796.481,8420.0
10000,10,7079,516945.5,97.5,13082.764,7800.0
10000,10,7498,518545.5,128.125,10678.903,7100.0
10000,10,7943,519126.0,100.938,20977.998,7820.5
10000,10,8413,520845.5,98.75,11910.778,6859.5
10000,10,8912,524345.0,83.758,11868.147,7520.0
10000,10,9440,527726.0,95.008,10458.729,5979.5
10000,10,10000,531265.5,94.383,10730.511,6779.5
10000,10,10592,532185.5,92.5,13091.33,7380.0
10000,10,11220,535745.5,85.0,11670.657,7019.5
10000,10,11885,535266.0,90.945,11694.666,7260.5
10000,10,12589,534766.0,87.812,11204.685,8360.5
10000,10,13335,538425.5,81.875,14986.802,8520.0
10000,10,14125,540206.0,83.75,13760.699,8961.0
10000,10,14962,535046.0,91.258,12059.566,6620.0
10000,10,15848,535865.5,80.0,10719.095,6740.0
10000,10,16788,534905.5,79.391,11124.606,7000.5
10000,10,17782,539725.5,81.883,11412.113,6739.5
10000,10,18836,537605.0,95.938,11021.916,6699.5
10000,10,19952,540385.0,94.688,10461.144,6479.0
10000,10,21134,543005.5,81.562,11513.364,7420.0
10000,10,22387,542166.0,91.875,10983.634,6559.5
10000,10,23713,544346.0,87.188,13516.113,7040.0
10000,10,25118,544005.5,84.375,11463.432,7939.5
10000,10,26607,543046.0,85.0,11694.601,7199.5
10000,10,28183,543705.5,78.438,12435.405,7940.0
10000,10,29853,545905.5,103.438,12271.586,6120.0
10000,10,31622,546326.0,90.938,11363.984,7061.0
10000,10,33496,543805.0,97.812,12528.443,8001.0
10000,10,35481,536206.0,89.688,11282.365,4759.5
10000,10,37583,539445.0,94.062,12429.342,7160.0
10000,10,39810,540525.5,91.25,12145.871,6759.5
10000,10,42169,545786.0,84.062,11358.313,8059.5
10000,10,44668,547626.0,84.062,13280.248,7940.0
10000,10,47315,548285.5,83.75,12688.216,8120.0
10000,10,50118,543945.5,91.875,15462.952,7980.0
10000,10,53088,547666.0,92.812,12200.055,7400.0
10000,10,56234,549305.0,88.125,13489.228,8919.5
10000,10,59566,547805.0,97.188,12064.207,7560.5
10000,10,63095,546926.0,88.438,13210.259,7960.5
10000,10,66834,549866.0,93.445,11691.536,8360.0
10000,10,70794,549226.0,92.188,13095.021,9701.0
10000,10,74989,546686.0,88.438,12843.18,8120.0
10000,10,79432,548506.0,103.125,12957.123,7040.5
10000,10,84139,547546.0,98.438,11537.318,7800.0
10000,10,89125,539486.0,94.375,12523.728,7340.0
10000,10,94406,549566.0,90.625,12454.141,8240.0
10000,10,100000,542226.0,94.375,15643.005,8799.5
10000,10,105925,542805.5,101.562,10598.901,6540.0
10000,10,112201,549325.5,91.875,11332.417,7099.5
10000,10,118850,546745.5,92.5,12053.485,6580.5
10000,10,125892,545166.0,95.008,11246.24,6520.5
10000,10,133352,539805.5,99.062,9462.999,5780.0
10000,10,141253,539685.5,91.875,10195.943,5740.0
10000,10,149623,538906.0,103.445,12381.976,6480.0
10000,10,158489,545346.0,95.0,12438.199,6080.0
10000,10,167880,546866.0,105.0,11088.563,6461.0
10000,10,177827,546125.0,82.5,13697.381,7200.0
10000,10,188364,548605.5,97.188,10714.191,6020.0
10000,10,199526,546785.0,88.438,11526.533,7059.5
10000,10,211348,547865.5,85.625,10318.392,6520.0
10000,10,223872,547405.5,86.57,11737.222,6820.0
10000,10,237137,545105.5,80.625,12506.116,8040.0
10000,10,251188,548765.5,92.188,15163.311,6779.5
10000,10,266072,548786.0,95.0,10455.259,6180.0
10000,10,281838,547245.5,89.375,12584.272,6420.5
10000,10,298538,548786.0,79.688,11766.943,7320.0
10000,10,316227,541266.0,82.812,11016.16,6940.0
10000,10,334965,541706.0,89.688,12320.712,7340.0
10000,10,354813,545046.0,76.875,10067.896,6480.5
10000,10,375837,546425.5,81.875,13309.688,8140.0
10000,10,398107,547325.5,92.5,11968.13,7920.0
10000,10,421696,544686.0,124.375,11489.071,6220.5
10000,10,446683,545466.0,80.625,10896.088,5739.5
10000,10,473151,546366.0,84.688,12180.089,5880.5
10000,10,501187,547986.0,85.625,10843.075,7700.0
10000,10,530884,547646.0,95.625,10528.964,7760.0
10000,10,562341,548366.0,86.25,11817.159,6400.0
10000,10,595662,545825.5,96.562,12509.969,6680.5
10000,10,630957,544766.0,90.312,11766.49,7820.5
10000,10,668343,546986.0,179.688,11005.058,5780.0
10000,10,707945,547145.5,78.125,12041.273,8440.5
10000,10,749894,545405.0,85.0,12377.678,7339.5
10000,10,794328,549545.0,78.125,12869.973,7340.5
10000,10,841395,541145.5,100.312,12698.501,5759.5
10000,10,891250,548246.0,86.57,12982.331,8961.0
10000,10,944060,549246.0,98.438,13325.62,9440.0
