size,min_val,max_val,time,resolution,stdev,mad
100,1,100,2880.0,124.219,354.293,80.0
599,1,100,15401.0,69.688,2930.852,260.0
1098,1,100,27041.0,73.594,2718.761,400.0
1597,1,100,38460.0,76.719,3925.354,700.0
2096,1,100,49920.0,94.062,4887.797,1140.0
2595,1,100,61160.0,74.062,4270.549,1319.5
3094,1,100,73160.5,72.812,5699.32,1959.5
3593,1,100,84221.0,74.688,5243.007,1820.0
4092,1,100,95681.0,89.219,4572.436,2140.0
4591,1,100,105881.0,78.594,5734.839,1640.0
5090,1,100,117061.0,79.379,5978.404,2040.0
5589,1,100,128222.0,81.719,5915.12,2160.0
6088,1,100,141941.5,75.625,7118.272,3800.0
6587,1,100,153722.0,82.035,7338.008,3941.0
7086,1,100,164181.5,77.344,8798.135,3939.5
7585,1,100,177322.0,86.875,7114.199,4139.5
8084,1,100,187022.0,82.969,7797.584,4760.0
8583,1,100,199202.0,80.312,7582.883,4980.0
9082,1,100,210422.0,78.906,7200.82,4420.0
9581,1,100,222542.5,81.094,8063.74,5400.0
10080,1,100,233222.0,82.031,8785.391,5720.0
10579,1,100,245362.0,81.875,9207.516,6179.5
11078,1,100,255963.0,82.508,9020.993,5420.0
11577,1,100,267643.0,76.094,9718.302,5740.0
12076,1,100,278963.0,82.656,11181.188,5540.0
12575,1,100,287663.0,80.469,10134.341,6240.0
13074,1,100,300863.5,85.316,10649.223,6740.5
13573,1,100,310623.0,93.75,11053.897,7020.0
14072,1,100,324023.5,85.0,11559.216,6999.5
14571,1,100,334383.5,80.938,11557.691,7100.0
15070,1,100,347503.5,89.219,11210.136,7180.0
15569,1,100,357544.0,93.754,11601.024,8260.5
16068,1,100,370803.5,88.75,18098.951,7920.0
16567,1,100,380344.0,90.0,12229.225,8120.0
17066,1,100,392724.0,95.938,11210.042,7080.0
17565,1,100,403884.0,85.312,12944.743,8179.5
18064,1,100,413644.0,84.531,13781.165,8580.0
18563,1,100,425284.0,90.16,12093.752,7340.5
19062,1,100,432544.0,96.094,16008.994,9340.0
19561,1,100,447004.5,92.5,13279.116,8980.0
20060,1,100,460825.0,93.125,14806.601,9940.0
20559,1,100,469284.5,103.754,13427.049,8160.5
21058,1,100,479645.0,103.91,15284.58,9320.5
21557,1,100,492025.0,102.344,15836.505,8660.0
22056,1,100,497325.0,100.625,14946.625,8840.0
22555,1,100,513085.0,107.188,16185.524,10440.0
23054,1,100,522946.0,98.285,15722.096,11180.5
23553,1,100,532565.5,100.156,16633.362,9420.5
24052,1,100,547925.5,103.438,17735.821,10939.5
24551,1,100,556085.5,105.0,16671.402,10920.0
25050,1,100,572406.0,106.406,17254.91,11740.0
25549,1,100,583486.0,103.906,17389.601,10740.0
26048,1,100,588706.5,104.223,16391.748,9899.5
26547,1,100,604426.5,105.781,19251.761,13040.0
27046,1,100,608506.0,107.656,17313.299,11240.0
27545,1,100,622546.5,101.25,16854.895,10300.0
28044,1,100,629146.5,108.281,17416.394,11240.0
28543,1,100,650727.0,107.969,17729.825,11740.0
29042,1,100,662307.0,105.469,19175.426,12480.0
29541,1,100,672467.0,101.719,17849.012,11180.0
30040,1,100,685487.0,106.562,20183.484,12741.0
30539,1,100,694567.0,107.812,17430.68,11220.0
31038,1,100,701467.0,103.438,19224.855,12780.5
31537,1,100,711827.5,104.848,19764.848,13260.0
32036,1,100,726048.0,104.219,20677.87,13459.5
32535,1,100,735307.5,102.816,19825.806,13400.5
33034,1,100,745147.5,104.223,21727.205,13840.5
33533,1,100,761408.0,106.723,22777.601,13740.0
34032,1,100,774408.0,105.781,19658.445,13660.5
34531,1,100,786328.0,112.344,20923.295,14781.0
35030,1,100,793348.0,110.004,22401.639,15080.0
35529,1,100,799588.0,104.375,24926.028,16720.5
36028,1,100,815989.0,116.25,21465.232,13259.5
36527,1,100,831689.0,104.062,21164.902,13920.0
37026,1,100,836149.0,105.004,22510.681,14560.0
37525,1,100,849369.0,107.031,26043.684,17740.5
38024,1,100,851509.0,104.531,22198.043,13960.0
38523,1,100,870009.0,130.0,23407.914,15780.0
39022,1,100,877509.0,104.062,24983.293,15800.0
39521,1,100,895449.5,106.719,28680.277,19780.0
40020,1,100,904929.5,113.438,25670.376,17460.5
40519,1,100,917069.5,106.562,25404.001,15840.0
41018,1,100,931030.0,112.188,24617.827,15880.0
41517,1,100,938430.0,108.125,26460.997,17440.0
42016,1,100,947569.5,112.504,26997.16,17840.0
42515,1,100,965630.0,111.41,27106.716,15280.5
43014,1,100,963110.0,111.566,28036.346,19040.5
43513,1,100,976010.0,111.875,24451.562,15000.0
44012,1,100,993990.0,114.062,28395.671,17280.0
44511,1,100,1003710.5,130.312,28483.541,17780.5
45010,1,100,1004890.0,99.844,24381.473,15440.5
45509,1,100,1033270.5,107.656,26911.111,17580.0
46008,1,100,1038671.0,102.5,27356.116,19140.0
46507,1,100,1055051.0,113.438,29712.699,20460.5
47006,1,100,1070511.0,102.188,28147.311,17360.5
47505,1,100,1067791.0,100.625,32499.331,21080.0
48004,1,100,1090591.0,100.0,27749.962,18560.0
48503,1,100,1092951.0,100.316,32954.267,22020.0
49002,1,100,1099872.0,99.375,29570.297,19159.5
49501,1,100,1119671.5,98.594,31753.145,19360.5
50000,1,100,1118991.0,98.125,29069.136,20659.5
50499,1,100,1123471.5,98.438,30391.685,18260.5
50998,1,100,1140472.0,98.75,29299.241,18540.0
51497,1,100,1149892.0,99.379,27982.856,20300.5
51996,1,100,1162412.0,107.344,28322.851,18260.0
52495,1,100,1171572.5,97.812,29071.387,18900.5
52994,1,100,1179312.0,98.906,29955.179,18160.0
53493,1,100,1188992.5,108.438,28137.866,18260.5
53992,1,100,1199793.0,104.844,1486604.07,21180.5
54491,1,100,1221473.0,111.094,32776.345,21940.5
54990,1,100,1232813.0,100.156,33298.721,20720.0
55489,1,100,1237833.0,100.164,28757.389,20220.0
55988,1,100,1245533.0,101.25,30458.135,18560.5
56487,1,100,1262913.0,100.0,33506.274,24060.0
56986,1,100,1267233.0,104.535,30662.337,19100.0
57485,1,100,1278213.0,101.562,32283.488,21680.5
57984,1,100,1297393.5,101.566,31730.973,19580.0
58483,1,100,1303313.5,100.312,31867.266,21060.0
58982,1,100,1329574.0,107.504,37208.758,24600.5
59481,1,100,1345054.0,101.25,39921.671,25660.5
59980,1,100,1352054.0,100.316,37187.318,24540.0
60479,1,100,1359474.0,108.75,37269.319,22220.5
60978,1,100,1371734.0,115.156,33962.292,24580.0
61477,1,100,1385134.0,118.594,37174.774,26140.0
61976,1,100,1400994.0,106.406,37046.331,23639.5
62475,1,100,1400114.5,105.938,38398.6,27460.5
62974,1,100,1421515.0,106.094,39779.867,25600.5
63473,1,100,1431874.5,119.531,39209.699,25259.5
63972,1,100,1438575.0,104.379,39593.785,24080.0
64471,1,100,1448195.0,109.844,41815.311,27981.0
64970,1,100,1474655.0,105.477,39838.545,24840.5
65469,1,100,1461055.5,104.375,39747.292,26600.5
65968,1,100,1483816.0,107.031,36424.156,24461.0
66467,1,100,1499235.5,107.812,40002.854,28440.0
