size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,13440.0,76.875,2234.188,0.0
10000,10,3343,465144.5,75.938,10138.564,6780.0
10000,10,6676,510005.0,83.133,11135.087,6300.5
10000,10,10009,521645.0,78.75,11528.985,5900.5
10000,10,13342,528785.5,75.312,9452.07,5459.5
10000,10,16675,532545.0,76.875,10418.226,5900.0
10000,10,20008,534265.0,77.188,10505.149,6140.0
10000,10,23341,537645.5,83.75,9387.807,5019.5
10000,10,26674,533605.0,76.562,11094.682,4800.5
10000,10,30007,536185.5,75.312,11569.951,5700.0
10000,10,33340,536485.5,76.25,11372.832,5700.5
10000,10,36673,536966.0,73.438,14415.886,7301.0
10000,10,40006,536905.0,79.375,11364.709,5100.0
10000,10,43339,539505.5,78.438,11554.35,6500.5
10000,10,46672,537146.0,76.25,10902.286,5939.5
10000,10,50005,537465.0,73.438,9925.49,5619.0
10000,10,53338,537245.5,75.312,12834.75,7180.5
10000,10,56671,538006.0,76.562,10948.688,6580.0
10000,10,60004,537925.0,79.062,9229.078,5880.0
10000,10,63337,537525.0,74.375,10104.958,6521.0
10000,10,66670,536285.0,75.938,12887.012,6359.0
10000,10,70003,539085.5,85.312,10042.23,6140.0
10000,10,73336,538386.0,74.688,10150.8,5761.0
10000,10,76669,539506.0,91.25,11742.283,6700.0
10000,10,80002,539025.0,73.75,12156.955,6679.5
10000,10,83335,540745.5,84.375,11290.797,6180.0
10000,10,86668,538666.0,82.82,11298.92,5960.0
10000,10,90001,538745.5,77.188,10087.966,6760.5
10000,10,93334,538285.5,77.188,11815.137,6280.5
10000,10,96667,538605.5,85.938,11606.031,5580.5
10000,10,100000,539705.5,87.5,10378.938,4860.5
10000,10,103333,537765.5,76.883,10682.615,6279.5
10000,10,106666,537726.0,73.125,9857.463,5580.5
10000,10,109999,538865.0,83.125,11064.074,5840.5
10000,10,113332,538625.0,83.125,10969.85,6120.5
10000,10,116665,538305.0,83.125,10126.68,5579.5
10000,10,119998,539146.0,74.688,10566.537,7260.5
10000,10,123331,539205.5,80.32,10356.971,6560.0
10000,10,126664,539545.5,75.938,10680.543,7500.5
10000,10,129997,537466.0,77.5,10696.925,6719.0
10000,10,133330,538285.0,75.312,11100.11,6399.5
10000,10,136663,537926.0,80.625,10462.306,6280.0
10000,10,139996,539325.0,86.562,11051.975,5621.0
10000,10,143329,538445.5,83.438,10961.869,5480.0
10000,10,146662,539725.0,83.125,11582.251,7240.0
10000,10,149995,538865.5,77.188,9950.317,5040.5
10000,10,153328,539246.0,80.938,11900.929,7040.5
10000,10,156661,538326.0,81.883,10832.67,5340.0
10000,10,159994,538505.0,75.312,11713.326,5580.0
10000,10,163327,539465.0,74.375,9664.288,5239.5
10000,10,166660,537325.5,76.875,10841.072,4900.0
10000,10,169993,539545.0,79.688,11796.138,6040.5
10000,10,173326,543285.5,83.75,9901.222,5500.0
10000,10,176659,537625.5,80.633,11799.076,6240.5
10000,10,179992,538805.5,74.375,11276.682,5680.0
10000,10,183325,539925.5,75.312,10785.992,5440.0
10000,10,186658,539086.0,80.625,10118.823,6340.5
