size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,47680294.0,178.125,308711.801,122681.0
10000,10,10,47743095.5,158.133,156049.315,89040.5
10000,10,11,23993779.0,120.625,140807.852,61260.5
10000,10,11,24024299.0,121.562,90789.882,35600.0
10000,10,12,16125321.0,113.125,62493.238,35700.5
10000,10,13,12176361.0,118.125,70647.807,36040.0
10000,10,14,9832518.0,133.438,48921.542,33080.0
10000,10,14,9826818.0,118.75,68907.019,39460.5
10000,10,15,8261162.5,115.0,47373.961,24059.5
10000,10,16,7043950.5,97.812,57244.278,19260.0
10000,10,17,6207642.0,89.375,25971.497,8839.5
10000,10,18,5563155.5,94.375,14284.605,9680.5
10000,10,19,5044730.5,87.812,13804.837,9340.5
10000,10,21,4276402.5,95.633,24433.687,8180.0
10000,10,22,3979960.0,99.688,10825.592,6880.5
10000,10,23,3724097.0,92.188,18713.387,7480.0
10000,10,25,3313073.0,90.0,10646.564,6780.5
10000,10,26,3144191.5,94.688,9929.617,6240.0
10000,10,28,2860968.0,83.75,12039.625,8000.5
10000,10,29,2740808.0,92.5,11345.977,7820.5
10000,10,31,2531025.5,90.625,10932.353,8180.5
10000,10,33,2357203.0,90.008,10716.007,7239.0
10000,10,35,2212102.0,90.938,11224.27,8280.0
10000,10,37,2085181.0,95.0,13907.264,8300.0
10000,10,39,1976199.5,92.812,12972.992,8159.5
10000,10,42,1841238.5,91.25,11383.255,9040.0
10000,10,44,1762578.0,92.82,11755.814,8880.5
10000,10,47,1659676.0,92.5,11297.035,8119.5
10000,10,50,1574895.0,93.125,12117.082,7959.5
10000,10,53,1499315.0,88.75,11244.095,8180.5
10000,10,56,1434214.0,88.125,12356.062,7840.0
10000,10,59,1379053.5,95.0,11183.834,8119.5
10000,10,63,1323753.0,92.188,15825.753,11860.5
10000,10,66,1290893.0,85.625,16072.845,11020.0
10000,10,70,1240032.0,91.875,12996.988,9020.5
10000,10,74,1189371.5,85.0,16460.868,11500.5
10000,10,79,1134651.5,96.562,15867.055,10120.5
10000,10,84,1098811.0,113.125,13551.806,8280.0
10000,10,89,1067110.5,88.125,13421.844,8759.5
10000,10,94,1035030.0,93.125,11861.088,7300.5
10000,10,100,999690.0,93.445,13314.858,7920.0
10000,10,105,976410.0,108.438,12280.044,6980.5
10000,10,112,939969.0,87.5,11635.162,8580.5
10000,10,118,914429.5,91.875,13705.152,9059.5
10000,10,125,888569.0,91.25,14624.474,9480.5
10000,10,133,868168.5,84.688,13227.235,7900.0
10000,10,141,845728.5,82.812,13241.449,8280.0
10000,10,149,828348.0,84.062,11164.916,6320.0
