size,min_val,max_val,time,resolution,stdev,mad
10000,10,10,47009169.5,106.562,294344.969,72160.5
10000,10,5009,687187.0,91.875,10190.007,6320.0
10000,10,10008,699087.0,87.812,9925.662,6220.0
10000,10,15007,698367.0,124.383,11701.927,7280.0
10000,10,20006,702667.0,90.312,10858.148,7000.0
10000,10,25005,699067.0,83.75,10236.164,6920.0
10000,10,30004,695487.0,88.75,9843.415,5580.0
10000,10,35003,694447.0,95.938,8318.291,5260.0
10000,10,40002,697827.0,89.375,11183.531,7040.0
10000,10,45001,697187.0,85.0,9705.002,6080.0
10000,10,50000,703907.0,80.938,12339.217,8240.0
10000,10,54999,706327.0,112.5,11943.872,7620.0
10000,10,59998,706367.0,81.25,9244.803,5420.5
10000,10,64997,707747.0,125.312,10082.111,6100.0
10000,10,69996,698987.0,91.25,11170.681,7400.0
10000,10,74995,710067.0,84.688,9701.253,5960.0
10000,10,79994,704087.5,87.812,11506.799,7919.5
10000,10,84993,708067.0,89.375,11991.323,7040.0
10000,10,89992,704507.5,84.688,11730.149,6880.0
10000,10,94991,704347.5,89.688,10432.123,7820.5
10000,10,99990,702947.0,89.688,11733.622,7640.0
10000,10,104989,701067.0,89.375,11440.213,6680.0
10000,10,109988,702967.0,83.133,11933.305,8460.0
10000,10,114987,699027.0,85.625,10747.191,6780.0
10000,10,119986,697887.0,85.312,9439.962,5320.0
10000,10,124985,702827.0,85.0,11201.027,6780.0
10000,10,129984,703447.0,84.688,11961.668,7500.0
10000,10,134983,698167.0,86.25,7951.564,4740.0
10000,10,139982,695647.0,87.812,8685.545,5060.0
10000,10,144981,698047.0,86.875,9729.811,5340.0
10000,10,149980,701707.0,89.688,11403.779,7940.0
10000,10,154979,698087.0,87.812,10559.699,5480.0
10000,10,159978,697427.0,92.812,8862.604,5340.5
10000,10,164977,696687.0,80.625,8106.789,4840.0
10000,10,169976,702127.0,90.945,9143.577,5780.0
10000,10,174975,707307.0,80.0,11925.571,7480.0
10000,10,179974,698087.0,87.5,10403.149,6520.0
10000,10,184973,697907.0,87.812,11806.689,5840.0
10000,10,189972,699227.0,87.188,10700.675,5480.0
10000,10,194971,706887.0,89.688,10619.703,7480.0
10000,10,199970,705087.0,87.188,10924.633,7240.5
10000,10,204969,703627.0,85.008,9977.263,6940.0
10000,10,209968,695426.5,95.625,8299.128,4940.5
10000,10,214967,697867.0,89.375,8512.125,4720.5
10000,10,219966,695487.0,88.75,8272.153,3400.0
10000,10,224965,700007.0,87.5,9698.782,7280.0
10000,10,229964,696547.0,87.812,8661.236,5460.0
10000,10,234963,703467.0,90.938,10582.418,6920.5
10000,10,239962,697767.0,86.258,10142.551,5420.0
10000,10,244961,698827.0,81.562,8747.875,5860.0
10000,10,249960,696667.0,85.938,7962.237,4920.0
10000,10,254959,695567.0,87.5,9062.249,5600.0
