size,min_val,max_val,time,resolution,stdev,mad
100,1,100,4840.0,144.688,548.762,80.0
599,1,100,30801.0,74.688,2770.358,240.0
1098,1,100,59140.5,74.379,3384.472,699.5
1597,1,100,89520.5,72.816,3712.73,660.0
2096,1,100,121541.0,75.625,4559.612,980.0
2595,1,100,155401.5,77.816,5914.692,1180.0
3094,1,100,191382.0,78.281,6402.366,1500.0
3593,1,100,230522.0,73.594,7507.037,2100.0
4092,1,100,271022.5,79.688,7925.88,2780.0
4591,1,100,313543.0,75.629,8085.867,2620.0
5090,1,100,360044.0,80.312,8582.226,3999.0
5589,1,100,408664.0,98.754,10123.918,3880.0
6088,1,100,462985.0,85.938,10660.002,5600.0
6587,1,100,515905.5,86.562,10384.478,5460.5
7086,1,100,576406.0,73.906,11880.306,6980.5
7585,1,100,635746.5,77.812,12300.536,6840.5
8084,1,100,696527.0,75.781,11005.016,7540.0
8583,1,100,759488.0,84.07,12030.357,8640.0
9082,1,100,828708.5,80.473,11796.984,8260.0
9581,1,100,897929.5,80.938,19494.369,7480.5
10080,1,100,968830.0,80.156,17389.731,9360.0
10579,1,100,1028910.5,80.156,15772.335,9600.0
11078,1,100,1097751.0,77.969,13192.493,6520.5
11577,1,100,1169872.0,81.41,13516.699,6979.5
12076,1,100,1250252.0,79.375,10927.056,6660.0
12575,1,100,1339453.5,81.719,15934.55,11020.0
13074,1,100,1439314.5,86.875,17795.154,10840.0
13573,1,100,1527756.0,80.633,16956.678,11760.0
14072,1,100,1614656.0,79.219,17159.492,11800.0
14571,1,100,1707717.5,86.406,18777.553,13200.0
15070,1,100,1784818.0,82.5,18620.055,12680.5
15569,1,100,1889199.0,88.125,19252.995,11400.0
16068,1,100,1992420.0,88.125,19187.299,12040.5
16567,1,100,2096861.5,86.723,18705.488,12960.5
17066,1,100,2200542.0,113.594,17034.544,10940.0
17565,1,100,2308203.0,97.5,18588.907,12439.5
18064,1,100,2416105.0,96.719,20647.704,14759.0
18563,1,100,2513785.0,95.629,22570.59,16959.5
19062,1,100,2632466.0,92.188,21524.744,16660.5
19561,1,100,2753608.0,84.844,19792.908,14200.0
20060,1,100,2869649.0,87.188,19653.595,13000.5
20559,1,100,2991030.5,100.156,21962.905,13380.0
21058,1,100,3113231.0,97.031,21655.844,14860.5
21557,1,100,3232453.0,91.719,24931.811,16199.5
22056,1,100,3333993.0,88.281,28262.173,19899.5
22555,1,100,3500755.5,87.504,23026.9,14360.5
23054,1,100,3630957.0,87.812,23465.571,15180.0
23553,1,100,3764998.0,89.688,29926.238,18540.0
24052,1,100,3857119.0,87.969,28262.779,17880.0
24551,1,100,4024220.5,85.625,31493.984,24720.5
25050,1,100,4178442.0,87.188,27844.011,16960.0
25549,1,100,4316044.0,86.094,30668.797,18900.0
26048,1,100,4470485.0,92.035,24905.052,14920.0
26547,1,100,4595027.0,86.25,33665.228,28520.0
27046,1,100,4724368.0,86.875,39550.608,28900.0
27545,1,100,4882749.0,93.438,39765.382,31940.5
28044,1,100,5011290.0,89.062,36031.957,20160.0
28543,1,100,5220872.5,91.562,36813.855,22940.5
29042,1,100,5379154.5,89.688,36797.267,23180.0
29541,1,100,5551436.0,94.062,32410.916,19940.0
30040,1,100,5700877.5,93.906,44221.046,32900.5
30539,1,100,5812158.5,87.656,38344.632,22140.0
31038,1,100,6041721.0,97.816,48907.986,37821.0
31537,1,100,6179522.5,94.223,48782.878,40540.5
32036,1,100,6378864.5,95.469,49178.131,38520.0
32535,1,100,6485945.0,95.469,36151.559,16460.5
33034,1,100,6655667.0,92.969,20413.692,13540.5
33533,1,100,6850909.0,90.938,43433.446,21101.0
34032,1,100,7029231.0,91.094,51882.835,25920.5
34531,1,100,7215792.5,92.969,49219.111,22060.0
35030,1,100,7403454.5,100.781,56964.065,30160.5
35529,1,100,7627697.0,106.719,56747.799,47460.5
36028,1,100,7768278.5,93.75,46449.258,17260.5
36527,1,100,8034801.0,112.031,56775.799,45480.5
37026,1,100,8201962.5,96.094,63622.113,47180.0
37525,1,100,8374964.5,93.75,68967.442,49520.0
38024,1,100,8609147.0,136.875,62308.158,55640.5
38523,1,100,8876629.5,101.25,52031.217,31900.0
39022,1,100,8989791.0,95.312,71052.854,51720.5
39521,1,100,9272913.5,99.691,66131.179,48100.0
40020,1,100,9441795.0,102.5,72410.578,60281.0
40519,1,100,9675518.0,98.75,80210.433,73820.5
41018,1,100,9796139.0,98.281,25932.104,17160.5
41517,1,100,10135723.0,102.66,78937.847,63440.0
42016,1,100,10338645.0,103.438,77268.581,70820.0
42515,1,100,10563486.5,102.188,81100.723,68501.0
43014,1,100,10758469.0,99.844,77302.089,64680.5
43513,1,100,11032051.5,106.574,79892.768,62880.5
44012,1,100,11265494.0,100.781,80697.125,58721.0
44511,1,100,11408355.0,98.438,77479.318,56100.0
45010,1,100,11753998.5,100.312,73063.208,39380.5
45509,1,100,12003481.5,112.344,66305.901,36500.5
46008,1,100,12118942.5,106.566,87903.172,70700.5
46507,1,100,12458046.0,106.094,81116.832,52961.0
47006,1,100,12701028.5,101.879,83137.73,57500.5
47505,1,100,12952511.0,101.875,85587.583,59460.5
48004,1,100,13222774.0,99.844,72827.78,38521.0
48503,1,100,13370875.5,97.812,93211.873,82661.0
49002,1,100,13556818.0,97.656,67295.337,29700.5
49501,1,100,13970461.5,104.844,104998.862,77700.5
