size,min_val,max_val,time,resolution,stdev,mad
100,1,100,4940.0,94.375,237.004,100.0
103,1,100,5000.5,212.5,3078.993,119.5
107,1,100,5280.5,91.875,713.854,80.5
110,1,100,5400.0,101.875,2004.472,80.0
114,1,100,5680.0,98.125,2016.996,120.0
118,1,100,5820.0,96.25,3422.451,100.0
123,1,100,6100.0,96.25,592.562,100.0
127,1,100,6320.5,98.75,1248.343,120.5
131,1,100,6520.0,108.75,4288.963,120.0
136,1,100,6740.0,102.5,1918.681,60.0
141,1,100,7000.0,103.75,1580.208,120.0
146,1,100,7280.0,118.75,3508.648,120.0
151,1,100,7520.0,96.25,1175.775,160.0
156,1,100,7840.0,184.375,1890.375,100.5
162,1,100,8160.5,103.141,3288.166,120.5
167,1,100,8360.0,109.375,1312.441,160.0
173,1,100,8680.0,108.125,3351.282,120.0
179,1,100,9040.0,111.25,2816.515,140.5
186,1,100,9400.0,106.25,756.162,119.5
192,1,100,9680.0,112.5,229.515,120.0
199,1,100,10000.5,114.375,4993.864,120.0
206,1,100,10400.0,110.0,1616.346,160.0
213,1,100,10740.0,110.625,4498.081,180.0
221,1,100,11160.5,116.875,5577.834,159.5
229,1,100,11600.0,107.5,2831.825,160.0
237,1,100,12000.0,111.875,2336.937,120.0
245,1,100,12440.0,109.375,2351.666,160.0
254,1,100,12800.0,104.375,4719.975,200.0
263,1,100,13380.0,75.0,4039.861,180.0
272,1,100,13840.0,77.5,936.667,160.0
281,1,100,14320.5,78.75,1227.865,160.0
291,1,100,14760.0,77.5,2125.361,180.0
301,1,100,15360.0,78.125,3689.61,200.0
312,1,100,15921.0,77.5,1517.105,199.5
323,1,100,16440.0,76.875,2233.527,199.5
334,1,100,17001.0,75.625,2396.203,200.0
346,1,100,17740.5,108.125,1888.284,220.0
358,1,100,18320.0,80.0,3176.151,200.0
371,1,100,18980.5,75.625,1789.678,180.5
384,1,100,19640.0,115.625,2991.706,259.5
398,1,100,20360.5,77.516,3357.821,220.0
412,1,100,21141.0,80.0,2416.265,240.0
426,1,100,21900.0,76.25,1518.79,259.0
441,1,100,22720.5,76.875,2879.56,279.5
457,1,100,23500.5,76.875,3165.372,340.5
473,1,100,24480.5,77.5,4128.074,319.5
489,1,100,25120.0,78.125,4734.05,280.0
506,1,100,26081.0,78.75,2626.09,320.5
524,1,100,27000.0,73.75,4847.443,280.0
543,1,100,28000.5,75.625,2324.829,339.5
562,1,100,29080.0,111.875,2155.385,380.0
582,1,100,30260.5,74.375,3151.691,480.0
602,1,100,31260.5,79.375,3597.37,420.0
623,1,100,32480.5,78.125,4407.043,640.5
645,1,100,33500.5,76.875,4197.727,360.0
668,1,100,34760.0,77.5,5614.753,420.5
691,1,100,36040.0,77.5,3071.829,640.0
716,1,100,37420.0,78.75,5263.316,580.0
741,1,100,38840.5,78.125,5909.849,580.5
767,1,100,40300.5,79.375,3931.816,420.5
794,1,100,41780.5,79.375,4962.083,460.5
822,1,100,43300.5,79.375,5770.42,540.5
851,1,100,45081.0,84.375,3777.397,601.0
881,1,100,46800.5,76.25,5194.134,440.0
912,1,100,47961.0,79.375,4025.689,340.5
944,1,100,50260.5,80.0,5834.46,539.5
977,1,100,52381.0,77.5,3190.203,900.5
1011,1,100,54700.5,78.125,5169.766,1360.0
1047,1,100,56461.0,77.5,3881.58,1039.5
1083,1,100,58541.0,80.625,5157.451,1100.0
1122,1,100,61360.5,76.875,5280.565,1139.5
1161,1,100,63421.0,79.375,4355.029,1141.0
1202,1,100,65641.0,76.875,3920.097,1061.0
1244,1,100,68201.0,103.75,4506.685,1160.5
1288,1,100,71281.0,77.5,4423.387,1300.0
1333,1,100,75721.0,83.125,3932.589,2120.5
1380,1,100,77360.5,79.375,4797.49,1840.5
1428,1,100,78901.0,76.875,5459.214,820.5
1479,1,100,82421.0,78.75,4868.239,680.0
1531,1,100,85201.0,75.016,7594.121,700.0
1584,1,100,89041.0,81.875,6690.713,880.0
1640,1,100,91961.0,79.375,5326.422,660.0
1698,1,100,96481.0,76.25,4120.232,1480.0
1757,1,100,101341.0,77.5,6404.24,2080.0
1819,1,100,103741.0,76.875,5738.31,1100.0
1883,1,100,109941.0,83.75,5880.072,2720.0
1949,1,100,113421.0,76.875,4814.157,2100.0
2018,1,100,116721.5,78.125,6101.204,1320.0
2089,1,100,121061.0,84.375,5961.885,859.5
2162,1,100,126181.0,78.75,6715.648,1060.0
2238,1,100,131181.0,85.625,6802.7,1020.0
2317,1,100,137101.5,80.0,7557.158,2260.0
2398,1,100,144021.0,78.141,7190.07,2860.5
2483,1,100,148521.0,85.625,6049.585,1599.5
2570,1,100,157601.5,85.625,8693.421,3099.5
2660,1,100,164001.5,93.75,7699.69,3200.0
2754,1,100,170181.5,88.125,5886.714,3060.0
2851,1,100,175081.5,78.75,5117.704,2120.0
2951,1,100,185502.0,79.375,5583.098,3060.0
3054,1,100,192542.0,80.0,7703.674,3620.0
3162,1,100,199422.0,90.0,7777.261,3140.0
3273,1,100,208242.0,76.875,7402.948,3580.0
3388,1,100,217962.5,91.25,7715.359,3320.5
3507,1,100,228843.0,83.75,8177.985,4761.0
3630,1,100,236762.0,84.375,7347.002,3060.0
3758,1,100,249582.5,88.141,9086.331,4799.5
3890,1,100,259103.0,2491.922,8992.921,4560.0
4027,1,100,269542.5,95.625,8144.716,3820.5
4168,1,100,283543.0,78.125,8594.326,4500.0
4315,1,100,296043.0,95.0,8533.3,3660.0
4466,1,100,310203.0,96.25,8366.635,5020.0
4623,1,100,317863.5,78.75,8965.908,4700.5
4786,1,100,332583.5,94.391,11290.603,4180.0
4954,1,100,353884.0,82.5,9744.537,5100.5
5128,1,100,369103.5,87.5,8577.739,4660.5
5308,1,100,387464.0,92.5,8848.733,4900.0
5495,1,100,404804.0,91.25,7160.337,3320.0
5688,1,100,427744.0,81.25,10510.492,4460.5
5888,1,100,446444.5,104.375,8689.63,5140.0
6095,1,100,463364.5,92.5,11225.533,6760.0
6309,1,100,491005.0,102.516,8901.764,5460.0
6531,1,100,514425.0,90.641,8676.179,4420.0
6760,1,100,539985.5,90.016,10754.14,5920.5
6998,1,100,566526.0,141.875,11956.923,7240.0
7244,1,100,594426.0,83.75,10675.665,5320.0
7498,1,100,625607.0,91.875,12514.799,7239.5
7762,1,100,658427.0,98.75,11644.691,7520.5
8035,1,100,695307.0,88.125,32990.224,7740.5
8317,1,100,727627.0,89.391,9738.955,5620.0
8609,1,100,757668.0,98.75,12479.31,6719.5
8912,1,100,798249.0,95.0,14064.574,8420.5
9225,1,100,848468.5,95.0,12542.545,8340.0
9549,1,100,894450.0,94.375,14267.667,9180.0
9885,1,100,939370.0,88.766,12929.156,7080.0
10232,1,100,987670.0,101.25,13205.1,10180.5
10592,1,100,1032851.0,95.0,12576.246,9560.0
10964,1,100,1091991.5,108.125,12940.495,8540.5
11350,1,100,1150751.5,95.625,13819.725,9620.5
11748,1,100,1209592.0,88.75,20751.445,13100.0
12161,1,100,1279933.0,101.25,19076.279,11420.0
12589,1,100,1341694.0,95.0,16943.558,9380.5
13031,1,100,1417534.5,91.25,16966.032,12260.0
13489,1,100,1510975.5,91.875,16364.998,11199.5
13963,1,100,1575436.0,98.766,17887.29,8880.5
14454,1,100,1664097.0,96.25,14737.815,10820.0
14962,1,100,1771258.0,92.5,16915.309,11860.0
15488,1,100,1869699.0,114.375,21182.602,15380.0
16032,1,100,1973400.5,98.75,21370.123,19080.0
16595,1,100,2085101.0,95.0,22482.389,13640.0
17179,1,100,2227462.5,96.875,18579.037,11500.5
17782,1,100,2363944.0,94.375,16944.848,11600.0
18407,1,100,2491306.0,100.0,20383.098,13080.0
19054,1,100,2640287.0,88.75,21421.45,14200.5
19724,1,100,2777508.5,90.0,29734.94,23000.5
20417,1,100,2961891.0,92.5,18387.883,11920.5
21134,1,100,3130912.0,86.25,15848.351,9920.5
21877,1,100,3306014.0,88.75,27088.71,24840.5
22646,1,100,3471276.0,95.0,15160.007,10940.0
23442,1,100,3679578.0,94.375,17703.701,10500.0
24266,1,100,3940420.0,102.5,30685.359,24761.0
25118,1,100,4146762.0,95.016,30404.748,14640.5
26001,1,100,4401285.5,94.375,31426.916,18239.5
26915,1,100,4716508.0,101.875,29947.963,17080.5
27861,1,100,5017632.0,100.625,30355.214,22380.0
28840,1,100,5260974.0,101.875,35876.41,20520.0
29853,1,100,5615658.0,115.625,39441.257,33440.0
30902,1,100,5964221.0,105.0,49531.218,46220.5
31988,1,100,6389166.0,103.125,28265.211,17739.5
33113,1,100,6770969.5,106.875,43983.671,27680.5
34276,1,100,7216314.0,108.125,45995.928,33280.5
35481,1,100,7656859.0,101.875,45654.903,31960.0
36728,1,100,8135764.0,103.125,57242.846,38600.0
38018,1,100,8630868.5,123.125,59121.744,58400.0
39355,1,100,9228715.0,151.25,36572.456,23560.0
40738,1,100,9804781.0,115.625,59339.344,36740.5
42169,1,100,10401007.0,136.25,63375.078,49221.0
43651,1,100,11130074.0,117.516,50001.931,23500.0
45185,1,100,11784581.5,104.375,90450.504,84081.5
46773,1,100,12600229.0,104.375,51284.722,28060.5
48417,1,100,13393178.0,101.25,60800.225,35600.0
50118,1,100,14284847.0,120.0,84653.044,62701.0
51880,1,100,15226697.0,103.141,78983.015,54321.0
53703,1,100,16223027.0,104.375,94967.996,56160.5
55590,1,100,17293798.0,120.0,82150.301,56160.5
57543,1,100,18467709.5,122.5,62610.499,32600.5
59566,1,100,19651262.0,108.75,80997.261,48000.5
61659,1,100,20990716.0,102.5,94059.943,45781.0
63826,1,100,22345810.0,106.891,132316.211,92921.0
66069,1,100,23842205.5,101.25,141904.459,89821.0
68391,1,100,25463221.5,132.5,113158.829,67600.5
70794,1,100,27098179.0,141.875,132401.71,67541.0
73282,1,100,28964477.5,133.75,140420.083,82360.5
75857,1,100,30904537.5,113.125,148526.529,82620.5
78523,1,100,32925578.5,130.625,191149.365,119121.0
81283,1,100,35068900.5,117.5,201578.102,160681.5
84139,1,100,37522886.0,129.375,218186.697,106261.0
87096,1,100,39992751.5,146.25,188037.203,125201.5
90157,1,100,42314855.0,131.25,241324.694,75721.0
93325,1,100,45188184.5,152.5,279894.154,94041.0
96605,1,100,48231536.0,150.625,290736.69,68540.5
