size,min_val,max_val,time,resolution,stdev,mad
100,1,2000000,5000.0,76.042,1433.225,80.0
102,1,2000000,5080.0,75.005,2336.742,80.0
104,1,2000000,5180.5,75.625,1064.19,60.5
107,1,2000000,5320.0,75.0,466.013,80.0
109,1,2000000,5440.0,74.583,2121.243,80.0
112,1,2000000,5600.0,73.333,1302.498,80.0
114,1,2000000,5720.0,74.589,1065.786,80.0
117,1,2000000,5840.0,75.422,1426.786,80.0
120,1,2000000,6001.0,75.417,1486.416,81.0
123,1,2000000,6200.0,76.677,1262.516,80.0
125,1,2000000,6280.0,76.458,2847.309,80.0
128,1,2000000,6440.0,73.75,1874.066,119.0
131,1,2000000,6640.0,75.417,893.518,120.0
134,1,2000000,6800.0,75.417,1693.434,80.0
138,1,2000000,6961.0,76.25,1065.046,119.0
141,1,2000000,7160.0,74.583,1780.158,120.0
144,1,2000000,7360.0,75.208,1218.533,120.0
147,1,2000000,7480.0,74.375,1582.062,120.0
151,1,2000000,7720.0,102.917,1749.578,120.0
154,1,2000000,7840.0,74.583,2957.21,120.0
158,1,2000000,8120.0,74.375,1966.52,120.0
162,1,2000000,8280.5,75.214,1868.962,120.5
165,1,2000000,8480.0,75.0,1736.521,120.0
169,1,2000000,8720.0,74.792,2139.016,120.0
173,1,2000000,8920.0,107.708,2103.853,160.0
177,1,2000000,9120.0,76.458,695.735,120.0
181,1,2000000,9360.0,76.042,1641.149,120.0
186,1,2000000,9620.5,75.208,2089.698,139.5
190,1,2000000,9881.0,73.542,1660.709,159.0
194,1,2000000,10080.0,75.417,1319.031,120.0
199,1,2000000,10400.0,109.375,1855.513,120.0
204,1,2000000,10640.0,75.0,2847.981,120.5
208,1,2000000,10840.0,75.63,1830.795,160.0
213,1,2000000,11160.0,74.583,1528.315,160.0
218,1,2000000,11440.0,74.375,2080.352,160.0
223,1,2000000,11680.0,76.25,2313.551,160.0
229,1,2000000,12040.0,75.0,1885.591,160.0
234,1,2000000,12360.0,75.0,2034.1,120.0
239,1,2000000,12520.0,77.083,1836.394,160.0
245,1,2000000,12960.0,77.292,1740.094,120.0
251,1,2000000,13360.0,74.583,2448.134,160.0
257,1,2000000,13600.0,74.375,1621.799,160.0
263,1,2000000,14000.0,74.583,2362.463,160.0
269,1,2000000,14320.0,75.0,1931.164,160.0
275,1,2000000,14640.0,77.292,2962.054,160.0
281,1,2000000,14960.0,76.25,1563.91,160.0
288,1,2000000,15361.0,75.833,2630.951,199.0
295,1,2000000,15760.0,75.005,2714.095,200.0
301,1,2000000,16121.0,76.458,1402.202,180.0
309,1,2000000,16640.0,75.208,2640.024,200.0
316,1,2000000,17001.0,85.208,1840.952,160.5
323,1,2000000,17380.5,75.208,1895.216,220.5
331,1,2000000,17880.0,77.292,1893.06,200.5
338,1,2000000,18280.0,75.208,2413.057,240.0
346,1,2000000,18800.0,73.964,2389.844,239.0
354,1,2000000,19320.0,76.25,2283.518,200.0
363,1,2000000,19720.0,75.63,1513.202,200.0
371,1,2000000,20280.0,76.458,2772.739,240.0
380,1,2000000,20800.5,75.0,2648.414,279.5
389,1,2000000,21280.0,76.042,2591.27,200.0
398,1,2000000,21840.0,75.208,3334.466,280.0
407,1,2000000,22400.0,74.797,2613.724,240.0
416,1,2000000,22920.0,76.469,3267.669,240.0
426,1,2000000,23560.0,77.083,2606.725,240.0
436,1,2000000,24041.0,75.208,2356.357,280.0
446,1,2000000,24600.0,75.417,2726.219,279.0
457,1,2000000,25321.0,73.333,2469.99,319.0
467,1,2000000,25800.0,74.167,2180.621,280.0
478,1,2000000,26480.5,74.792,3172.676,279.5
489,1,2000000,27240.5,87.292,1906.803,300.0
501,1,2000000,27961.0,76.042,3174.801,280.0
512,1,2000000,28600.0,76.042,2407.344,280.0
524,1,2000000,29281.0,81.667,3653.502,320.0
537,1,2000000,30020.5,77.5,3106.715,340.0
549,1,2000000,30721.0,76.047,5116.309,359.5
562,1,2000000,31681.0,75.833,2150.482,319.5
575,1,2000000,32400.0,75.0,3619.563,399.5
588,1,2000000,33200.0,91.667,4739.17,360.0
602,1,2000000,34040.0,74.583,2170.793,360.0
616,1,2000000,34960.0,73.13,2640.314,399.5
630,1,2000000,35920.0,75.833,2861.695,439.0
645,1,2000000,36600.0,75.0,3416.22,520.0
660,1,2000000,37521.0,75.625,3102.779,420.0
676,1,2000000,38801.0,74.167,2950.742,560.5
691,1,2000000,39480.0,74.172,3093.424,420.0
707,1,2000000,40600.0,74.583,4062.935,459.5
724,1,2000000,41680.0,74.792,3670.41,519.0
741,1,2000000,42540.5,76.875,3547.798,540.5
758,1,2000000,43760.5,73.958,3193.14,520.5
776,1,2000000,44801.0,76.458,3625.005,481.0
794,1,2000000,45681.0,74.792,3464.444,480.0
812,1,2000000,47160.5,74.172,3191.851,560.5
831,1,2000000,48280.5,114.583,3628.465,720.5
851,1,2000000,49520.0,75.417,4250.874,620.5
870,1,2000000,50600.0,75.0,3825.738,560.0
891,1,2000000,52040.5,74.792,3600.708,840.5
912,1,2000000,53201.0,75.0,3428.336,799.5
933,1,2000000,54300.5,77.708,3186.115,480.0
954,1,2000000,55841.0,76.464,3793.67,480.0
977,1,2000000,57520.0,75.417,2048.082,479.5
