size,min_val,max_val,time,resolution,stdev,mad
100,1,500000,2920.0,100.0,1414.42,80.0
349,1,500000,12080.0,88.75,2973.545,120.0
598,1,500000,22160.0,103.75,4529.975,100.5
847,1,500000,34380.5,93.75,4896.88,280.0
1096,1,500000,44760.5,98.75,8775.015,320.5
1345,1,500000,57500.5,96.25,6421.128,820.5
1594,1,500000,70960.5,107.5,8666.456,420.0
1843,1,500000,85501.0,101.25,10259.792,1080.0
2092,1,500000,94541.0,90.0,8473.089,1860.0
2341,1,500000,107621.0,91.25,11535.139,1700.0
2590,1,500000,121261.0,103.75,7144.541,1700.0
2839,1,500000,143622.0,100.0,11406.005,8300.5
3088,1,500000,152981.5,98.75,10489.091,3999.5
3337,1,500000,172982.0,91.25,13647.935,7880.0
3586,1,500000,192042.0,90.0,16799.769,9740.0
3835,1,500000,203122.0,93.75,9970.662,7000.0
4084,1,500000,224502.5,105.0,11962.931,10960.0
4333,1,500000,222183.0,93.75,10763.632,8041.0
4582,1,500000,236542.5,116.25,8624.421,7480.5
4831,1,500000,253882.5,93.75,16741.21,9600.0
5080,1,500000,268103.0,96.25,10842.028,7160.0
5329,1,500000,292483.0,91.25,21554.637,12560.5
5578,1,500000,296943.0,105.0,8510.935,7140.0
5827,1,500000,319963.0,102.5,17245.002,11740.0
6076,1,500000,335183.0,102.5,16094.244,8580.5
6325,1,500000,353463.5,98.75,16686.991,11660.0
6574,1,500000,368024.0,102.5,13877.659,9220.0
6823,1,500000,380484.0,108.75,12714.5,7620.0
7072,1,500000,400764.0,110.0,16048.284,12540.0
7321,1,500000,422485.0,110.0,13649.567,8960.5
7570,1,500000,436045.0,90.0,16200.089,13700.5
7819,1,500000,467645.0,115.0,18778.553,11240.5
8068,1,500000,477205.0,113.75,12362.951,7460.0
8317,1,500000,464185.0,95.0,16959.827,13100.0
8566,1,500000,481585.0,98.75,13413.267,9840.5
8815,1,500000,505225.0,97.5,15434.019,12940.0
9064,1,500000,520285.5,98.75,20244.506,17980.5
9313,1,500000,523065.5,101.25,14929.804,9160.5
9562,1,500000,544886.0,101.25,14550.971,7740.5
9811,1,500000,561946.0,97.5,19374.226,12040.0
10060,1,500000,582326.0,98.75,11444.416,6960.0
10309,1,500000,594626.5,101.25,14002.579,8800.5
10558,1,500000,619987.0,97.5,17098.137,10980.5
10807,1,500000,635467.0,98.75,19645.734,16340.5
11056,1,500000,652387.0,97.5,17907.188,12221.0
11305,1,500000,664567.0,103.75,14850.928,8140.0
11554,1,500000,683907.5,103.75,19048.894,11120.5
11803,1,500000,701668.0,98.75,16140.79,6980.5
12052,1,500000,719567.0,111.281,18435.351,14160.5
12301,1,500000,733608.0,103.75,16472.585,8020.0
12550,1,500000,752308.0,107.5,18215.112,9100.0
12799,1,500000,774508.0,98.75,19705.254,10500.5
13048,1,500000,786868.0,107.5,20240.53,15100.0
13297,1,500000,806408.5,91.25,17027.236,9620.0
13546,1,500000,826408.5,105.031,18082.325,9600.0
13795,1,500000,842949.0,105.0,19008.931,5200.0
14044,1,500000,865469.0,96.25,18928.213,12220.5
14293,1,500000,877529.0,111.25,17209.502,11500.5
14542,1,500000,892789.5,96.25,17910.45,11400.0
14791,1,500000,918909.0,102.5,18705.699,12240.0
15040,1,500000,938830.0,110.0,18031.685,8380.5
15289,1,500000,950950.0,250.0,16351.834,6680.0
15538,1,500000,972490.5,96.25,20604.234,14380.5
15787,1,500000,989070.5,97.5,21497.858,16240.5
16036,1,500000,1009190.5,98.75,14574.525,11740.5
16285,1,500000,1027210.5,101.25,17296.539,10740.0
16534,1,500000,986130.5,98.75,19499.514,8460.0
16783,1,500000,1008030.0,96.25,15136.667,9180.5
17032,1,500000,1030150.5,105.0,19413.84,14939.5
17281,1,500000,1049631.0,96.25,19665.526,13560.5
17530,1,500000,1069611.0,98.75,18725.25,14260.5
17779,1,500000,1089751.0,106.25,17290.156,10520.0
18028,1,500000,1096211.0,113.75,17904.145,13680.0
18277,1,500000,1109431.5,93.75,17705.247,12059.5
18526,1,500000,1135092.0,97.5,19207.196,10980.0
18775,1,500000,1152212.5,93.75,16424.445,10460.5
19024,1,500000,1169532.5,102.5,18591.704,10660.5
19273,1,500000,1192793.0,97.5,19473.426,9300.5
19522,1,500000,1204713.0,95.0,16903.817,12760.5
19771,1,500000,1222233.0,97.5,19030.445,14020.0
20020,1,500000,1239892.5,103.75,16363.055,10759.5
20269,1,500000,1253933.0,92.5,18083.326,13140.5
20518,1,500000,1280993.0,101.25,19848.698,10360.0
20767,1,500000,1297933.0,100.0,16971.722,10800.0
21016,1,500000,1315834.0,100.0,15618.927,9500.0
21265,1,500000,1337794.0,101.25,20799.987,16280.5
21514,1,500000,1345754.0,93.75,28619.602,20241.0
21763,1,500000,1365914.5,93.75,22343.96,13700.0
22012,1,500000,1382774.5,106.25,21903.025,13520.5
22261,1,500000,1400135.0,98.75,22844.175,17900.0
22510,1,500000,1417894.5,93.75,22498.355,18140.0
22759,1,500000,1444615.0,100.0,21433.791,13980.0
23008,1,500000,1459955.5,102.5,21975.021,16320.5
23257,1,500000,1479776.0,110.0,19647.918,13800.0
23506,1,500000,1497415.5,93.75,21551.714,11480.0
23755,1,500000,1500995.5,107.5,23671.719,13400.5
24004,1,500000,1535876.0,101.25,24865.526,15560.0
24253,1,500000,1552776.0,97.5,18916.59,12320.5
24502,1,500000,1569856.5,101.25,20173.464,11260.0
24751,1,500000,1592216.0,101.25,20179.07,14620.0
25000,1,500000,1610617.0,100.0,20267.982,15600.0
25249,1,500000,1626317.0,107.5,27404.496,23580.0
25498,1,500000,1644257.5,95.0,22916.556,11760.5
25747,1,500000,1668117.5,101.25,17212.907,11900.0
25996,1,500000,1685657.5,97.5,26395.546,17800.5
