size,min_val,max_val,time,resolution,stdev,mad
100,1,500000,3740.0,93.75,970.952,140.0
349,1,500000,12020.5,147.5,225.432,140.0
598,1,500000,22141.0,101.25,3404.445,281.0
847,1,500000,33640.0,100.0,5242.853,419.0
1096,1,500000,49601.0,115.0,4759.646,420.5
1345,1,500000,65841.0,110.0,9081.381,3260.0
1594,1,500000,77601.0,107.5,9930.194,820.5
1843,1,500000,98641.0,112.5,6162.997,5600.0
2092,1,500000,140242.0,121.25,7046.521,6000.0
2341,1,500000,161341.5,112.5,11528.733,6240.0
2590,1,500000,176642.0,130.0,9917.107,6820.5
2839,1,500000,198322.0,112.531,13017.216,7059.5
3088,1,500000,216122.5,120.0,10082.58,6880.5
3337,1,500000,230782.5,126.25,12545.304,5600.0
3586,1,500000,259983.0,138.75,13300.306,9320.0
3835,1,500000,282843.0,122.531,13515.851,10040.0
4084,1,500000,306123.0,110.0,12747.483,7900.0
4333,1,500000,465125.0,106.25,15276.625,11000.0
4582,1,500000,491625.0,102.5,13808.908,8560.5
4831,1,500000,523205.0,101.25,12045.2,8620.0
5080,1,500000,547125.5,117.5,17898.869,9539.5
5329,1,500000,584886.5,130.0,10164.793,6820.0
5578,1,500000,608346.0,122.5,13358.484,8220.0
5827,1,500000,654087.0,131.25,16355.713,11821.0
6076,1,500000,675127.0,125.0,19228.754,14040.0
6325,1,500000,699767.5,112.5,15062.681,11260.5
6574,1,500000,733227.5,118.75,13039.325,7300.5
6823,1,500000,774948.5,105.0,13927.107,10600.5
7072,1,500000,807489.0,108.75,14117.347,10800.5
7321,1,500000,827508.5,111.25,19523.589,10280.5
7570,1,500000,863549.0,98.75,14790.206,10280.0
7819,1,500000,893470.0,120.0,15104.749,9780.0
8068,1,500000,929510.0,111.25,16948.001,13020.0
8317,1,500000,1529436.0,127.5,17180.303,13220.0
8566,1,500000,1558856.5,105.0,19196.715,12040.5
8815,1,500000,1609397.0,115.0,26261.492,18140.5
9064,1,500000,1648077.0,108.75,20043.597,16460.5
9313,1,500000,1703118.0,110.0,21852.528,14060.0
9562,1,500000,1757338.5,112.5,25705.451,15960.0
9811,1,500000,1811239.0,120.0,28281.118,17920.5
10060,1,500000,1867179.5,115.0,27719.447,14200.0
10309,1,500000,1929020.0,127.5,28060.432,25060.5
10558,1,500000,1969680.5,111.25,28432.163,16940.5
10807,1,500000,2021141.0,115.0,28843.809,20960.5
11056,1,500000,2073782.0,102.5,26762.647,18760.0
11305,1,500000,2124743.0,107.5,27338.455,17620.0
11554,1,500000,2190143.0,141.25,23718.71,12960.0
11803,1,500000,2236083.5,111.281,28496.05,20420.5
12052,1,500000,2288544.0,111.25,24119.821,19400.0
12301,1,500000,2333345.0,116.25,34966.176,21659.5
12550,1,500000,2386125.0,106.25,39001.823,23920.5
12799,1,500000,2458826.0,133.75,37865.244,18580.5
13048,1,500000,2492006.0,121.25,23494.588,15320.0
13297,1,500000,2554487.0,102.5,23955.504,15980.5
13546,1,500000,2612468.0,100.0,37041.58,26000.0
13795,1,500000,2668108.0,97.5,36911.507,22160.0
14044,1,500000,2721349.0,100.031,35178.035,21200.5
14293,1,500000,2777209.0,107.5,34656.854,23980.0
14542,1,500000,2822089.5,100.0,29160.078,16759.5
14791,1,500000,2886150.5,111.25,32814.461,26701.0
15040,1,500000,2926471.0,110.0,43828.4,34040.5
15289,1,500000,3011131.0,96.25,28357.583,19760.5
15538,1,500000,3069652.0,115.0,35539.265,18840.5
15787,1,500000,3126132.5,106.25,40001.394,22880.5
16036,1,500000,3155413.0,125.0,39764.873,21680.0
16285,1,500000,3192853.0,118.75,40287.745,27420.5
16534,1,500000,5623439.0,115.0,33964.738,21960.5
16783,1,500000,5804961.0,105.0,40294.285,16840.5
17032,1,500000,5789200.0,117.5,57974.341,28601.0
17281,1,500000,5952582.5,128.75,44736.553,37360.5
17530,1,500000,5960263.0,120.0,80251.292,55980.5
17779,1,500000,6141824.5,127.5,53760.74,34080.5
18028,1,500000,6076923.0,125.0,46625.175,31601.0
18277,1,500000,6241746.0,113.75,38867.46,19680.5
18526,1,500000,6277726.0,113.75,72869.976,47100.0
18775,1,500000,6464008.0,105.0,69333.351,56381.0
19024,1,500000,6475447.5,111.25,49316.647,49741.5
19273,1,500000,6577609.0,115.0,33277.74,16480.0
19522,1,500000,6593149.0,131.25,55054.203,22740.5
19771,1,500000,6718531.0,111.25,53883.553,32240.0
20020,1,500000,6736730.0,112.5,59659.066,30481.0
20269,1,500000,6905732.5,108.75,39810.938,25840.5
20518,1,500000,6905713.0,113.75,61090.071,29120.0
20767,1,500000,7113214.5,115.0,54943.178,24420.0
21016,1,500000,7125015.0,111.25,55720.468,26340.5
21265,1,500000,7273336.5,111.25,52534.539,18640.5
21514,1,500000,7289917.0,97.5,37705.877,21681.0
21763,1,500000,7459738.5,106.281,23020.04,17059.5
22012,1,500000,7599540.0,95.0,48573.847,20460.5
22261,1,500000,7606380.0,101.25,45254.474,21700.0
22510,1,500000,7768221.0,106.25,38731.253,18639.5
22759,1,500000,7797982.0,103.75,59886.331,23080.5
23008,1,500000,7972623.5,107.5,59147.382,20240.5
23257,1,500000,7972023.5,112.5,23569.494,17720.0
23506,1,500000,8102105.0,96.25,66757.114,13740.0
23755,1,500000,8161345.5,105.0,55945.55,25420.5
24004,1,500000,8295887.0,113.75,51989.242,28840.5
24253,1,500000,8307067.0,102.5,33617.476,20720.5
24502,1,500000,8457508.5,108.75,53474.904,12740.0
24751,1,500000,8530069.5,116.25,70414.956,36880.5
25000,1,500000,8660891.0,112.5,53569.469,32400.5
25249,1,500000,8649030.5,107.5,64106.171,25180.5
25498,1,500000,8821732.5,118.75,41945.664,28220.5
25747,1,500000,8821672.5,106.25,37060.37,26720.5
25996,1,500000,9020414.0,140.0,61398.786,32621.0
26245,1,500000,9009114.5,98.75,37934.831,23400.0
26494,1,500000,9195677.0,146.25,29906.277,21600.0
26743,1,500000,9201196.5,102.5,64054.702,22780.5
26992,1,500000,9352018.0,126.25,61823.518,33760.5
27241,1,500000,9371858.5,118.75,51673.8,28680.5
27490,1,500000,9555100.5,107.531,55999.655,38160.5
27739,1,500000,9572100.5,110.0,60854.624,28620.0
27988,1,500000,9705381.5,115.0,62239.359,26480.5
28237,1,500000,9708001.5,118.75,38970.761,23040.5
28486,1,500000,9857543.5,132.5,60856.973,23840.0
28735,1,500000,9907964.0,107.5,37113.071,18020.0
28984,1,500000,10060825.5,118.75,64470.23,24140.5
29233,1,500000,10101346.0,111.25,62903.336,31040.5
29482,1,500000,10263907.5,122.5,50353.372,19180.5
29731,1,500000,10253367.5,116.281,36620.145,31480.0
29980,1,500000,10449529.0,133.75,69692.129,32320.0
30229,1,500000,10421509.0,133.75,42238.779,29980.5
30478,1,500000,10589531.0,131.25,68176.164,25640.0
30727,1,500000,10624192.0,122.5,35399.688,18941.0
30976,1,500000,10783053.0,160.0,71269.74,33820.0
31225,1,500000,10941855.0,115.0,50755.245,21340.5
31474,1,500000,10971835.0,140.0,47072.444,26180.5
31723,1,500000,11134276.5,115.0,64542.848,29140.5
31972,1,500000,11163437.0,113.75,63656.506,29380.5
32221,1,500000,11290759.0,122.5,48142.974,26441.0
32470,1,500000,11292838.5,111.25,68680.976,32140.5
32719,1,500000,11477801.0,135.0,41706.056,24021.0
32968,1,500000,20838718.0,107.5,85848.623,35359.5
33217,1,500000,21165282.0,136.25,155499.346,95801.0
33466,1,500000,21544746.0,118.75,127564.404,97781.5
33715,1,500000,21806988.5,127.5,154512.815,61901.0
33964,1,500000,21712627.5,138.75,129673.008,94041.0
34213,1,500000,22056071.5,112.5,122212.239,97640.5
34462,1,500000,22414374.5,112.5,137784.927,51961.0
34711,1,500000,22658697.0,126.25,125843.581,69121.0
34960,1,500000,22404995.0,122.5,169766.472,94521.0
35209,1,500000,22637677.5,132.5,173995.199,167141.5
35458,1,500000,23100022.5,115.0,144067.432,65421.0
35707,1,500000,23362425.0,115.0,131822.596,63380.5
